GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",5064479000,5398978000,5843381000,6032040000,6128713000,6344464000,6710501000,7058117000,7469280000,7869911000,8048631000,7745669000,7909812000,8208702000,8550417000,8819078000,9234825000,9685115000,9952886000,10413790000,10938085000,11427646000,11567143000,12515937000
 "00000","United States", ,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",4177471000,4456769000,4823765000,4950126000,4992622000,5133728000,5416803000,5688398000,6051357000,6392832000,6531099000,6241491000,6363368000,6615753000,6918166000,7104786000,7467705000,7851802000,8084567000,8469518000,8888359000,9313088000,9441264000,10277411000
 "00000","United States", ,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",887008000,942209000,1019616000,1081914000,1136091000,1210736000,1293698000,1369719000,1417923000,1477079000,1517532000,1504178000,1546444000,1592949000,1632251000,1714292000,1767120000,1833313000,1868319000,1944272000,2049726000,2114558000,2125879000,2238526000
 "00000","United States", ,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",580252000,619356000,674890000,724466000,770625000,828879000,885655000,942364000,971322000,1016102000,1046848000,1046866000,1078294000,1101118000,1119860000,1188894000,1221625000,1264870000,1288281000,1340434000,1426058000,1465075000,1467953000,1541596000
 "00000","United States", ,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",306756000,322853000,344726000,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568443000,580038000,603838000,623668000,649483000,657926000,696930000
 "00000","United States", ,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38391,40062,42463,43922,44965,46662,48838,50654,52727,54969,56448,56852,58421,59953,61241,62136,63811,65599,66370,68535,70860,73002,78566,82443
 "00000","United States", ,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",18138000,18806000,19644000,20831000,20791000,20489000,22180000,22035000,21887000,25338000,25681000,25747000,24281000,23096000,28303000,28553000,29109000,27204000,29031000,30858000,28422000,28627000,30592000,31509000
 "00000","United States", ,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",5046341000,5380172000,5823737000,6011209000,6107922000,6323975000,6688321000,7036082000,7447393000,7844573000,8022950000,7719922000,7885531000,8185606000,8522114000,8790525000,9205716000,9657911000,9923855000,10382932000,10909663000,11399019000,11536551000,12484428000
 "00000","United States", ,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",4129272000,4411181000,4792401000,4912177000,4936648000,5086036000,5383827000,5671917000,6022517000,6344423000,6449896000,6100944000,6217311000,6508871000,6843249000,7066724000,7439582000,7835995000,8060653000,8468610000,8924631000,9357543000,9429214000,10306729000
 "00000","United States", ,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",11375000,11751000,12372000,12094000,12432000,12863000,14604000,14549000,16109000,16461000,16549000,16929000,17373000,18065000,19745000,20273000,21852000,23389000,24595000,25309000,26776000,27547000,30138000,29850000
 "00000","United States", ,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",2930000,2935000,2961000,2865000,2898000,2866000,3245000,3180000,3278000,3284000,3103000,2796000,2898000,2943000,3116000,3105000,3353000,3496000,3448000,3296000,3449000,3403000,3693000,3674000
 "00000","United States", ,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",560000,633000,655000,596000,606000,620000,701000,729000,746000,745000,735000,713000,771000,855000,887000,798000,795000,795000,846000,894000,965000,948000,949000,1017000
 "00000","United States", ,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",7885000,8183000,8756000,8633000,8928000,9377000,10658000,10640000,12085000,12432000,12711000,13420000,13704000,14267000,15742000,16370000,17704000,19098000,20301000,21119000,22362000,23196000,25496000,25159000
 "00000","United States", ,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",34348000,33418000,34720000,38613000,35758000,37121000,41516000,47195000,56999000,62708000,72819000,64695000,69169000,80268000,90527000,93551000,101138000,91868000,74500000,76882000,84773000,86236000,70685000,67307000
 "00000","United States", ,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",11956000,11927000,12801000,14099000,13249000,13654000,15578000,17201000,20896000,22579000,27291000,25867000,27580000,30627000,34978000,36435000,39295000,38814000,33721000,29293000,29839000,30827000,28175000,24828000
 "00000","United States", ,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",13342000,13007000,12643000,13238000,12357000,12519000,13461000,14378000,15757000,16262000,17525000,16014000,16777000,18201000,18913000,18573000,18455000,18055000,16384000,17624000,19022000,18994000,17572000,18533000
 "00000","United States", ,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",9050000,8484000,9276000,11276000,10152000,10948000,12477000,15616000,20346000,23867000,28003000,22814000,24812000,31440000,36636000,38543000,43388000,34999000,24395000,29965000,35912000,36415000,24938000,23946000
 "00000","United States", ,SAINC6N,300,"22","   Utilities ","Thousands of dollars",41229000,43040000,45471000,53903000,54651000,52936000,55636000,56131000,60886000,63082000,66284000,66831000,67654000,71182000,69761000,72830000,75188000,77627000,81409000,81577000,84491000,87953000,92998000,93294000
 "00000","United States", ,SAINC6N,400,"23","   Construction ","Thousands of dollars",258998000,287978000,316397000,325453000,327104000,335803000,357937000,387536000,421299000,440006000,433951000,368353000,343759000,347308000,365911000,388093000,422380000,458487000,485878000,520415000,558295000,598519000,598262000,635573000
 "00000","United States", ,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",64275000,71277000,77887000,80577000,82630000,85754000,92186000,101655000,110663000,113165000,109254000,90256000,83031000,82494000,86215000,91485000,100202000,110029000,117643000,126239000,135472000,144658000,144644000,154294000
 "00000","United States", ,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",41588000,45662000,49444000,50937000,50925000,51170000,53531000,57839000,63215000,67467000,68812000,61849000,59892000,61801000,66381000,69206000,74858000,79231000,81220000,87828000,94961000,101806000,101701000,105430000
 "00000","United States", ,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",153135000,171039000,189066000,193939000,193549000,198879000,212220000,228042000,247421000,259374000,255885000,216248000,200836000,203013000,213315000,227402000,247320000,269227000,287015000,306348000,327862000,352055000,351917000,375849000
 "00000","United States", ,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",824459000,848475000,897697000,881871000,846530000,846980000,873692000,895470000,923980000,943639000,931891000,835182000,847173000,882356000,916952000,932047000,973022000,1006429000,1013152000,1053403000,1101174000,1127979000,1116499000,1183660000
 "00000","United States", ,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",544669000,560834000,599059000,582734000,552590000,549330000,572875000,590034000,614809000,627422000,615472000,539222000,546225000,578686000,604385000,612162000,638562000,662699000,665971000,694849000,732304000,747265000,730109000,778644000
 "00000","United States", ,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",20406000,21750000,22233000,21568000,21535000,21751000,23239000,24822000,24803000,23603000,21241000,16312000,15854000,16258000,16655000,17709000,19372000,20429000,21053000,22261000,23538000,24646000,25431000,28148000
 "00000","United States", ,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",23020000,24141000,26013000,26169000,25882000,25912000,26696000,28195000,29253000,29685000,27777000,22708000,22324000,22691000,23381000,24086000,25636000,27080000,28006000,29469000,30732000,31794000,31485000,33190000
 "00000","United States", ,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",33120000,33179000,33446000,31665000,29313000,28570000,30054000,30701000,31978000,32497000,33007000,25598000,26683000,29683000,31220000,30881000,31827000,31638000,30389000,31763000,33977000,34045000,31213000,33889000
 "00000","United States", ,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",74124000,75908000,79620000,77110000,74072000,73493000,77179000,81070000,85391000,88907000,90493000,77502000,77964000,83943000,90275000,91213000,95324000,97089000,95607000,99340000,105285000,106880000,101853000,107967000
 "00000","United States", ,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",73745000,74571000,78431000,74925000,69568000,68686000,71844000,75459000,79303000,82799000,84208000,73944000,75166000,83233000,88410000,88707000,92622000,94664000,90789000,94780000,100458000,101921000,96536000,101965000
 "00000","United States", ,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",114943000,123984000,143127000,136219000,120046000,115828000,119633000,123200000,129632000,131825000,128167000,118619000,123468000,128743000,130662000,128163000,132262000,137531000,142700000,150704000,158130000,161202000,170212000,183746000
 "00000","United States", ,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",26953000,28546000,30101000,30044000,28039000,27704000,28558000,29092000,30290000,31036000,30870000,28568000,29199000,30646000,31888000,33029000,33583000,34671000,34952000,36458000,37627000,38232000,37616000,40560000
