GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "93000","Great Lakes",3,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",25953106,26332508,26830018,26554355,26272457,26219630,26440226,26681985,26874698,27135396,26871751,25773421,25659131,26127720,26416804,26731751,27123259,27533547,27817157,28024562,28346958,28335234,27187407,27893883
 "93000","Great Lakes",3,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",22131481,22487073,22792145,22468655,22125912,21929398,21967646,22028223,22101708,22111916,21843103,20650352,20546528,20824900,21158004,21397978,21706205,22038865,22299256,22475549,22682936,22799170,21303534,21854342
 "93000","Great Lakes",3,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",3821625,3845435,4037873,4085700,4146545,4290232,4472580,4653762,4772990,5023480,5028648,5123069,5112603,5302820,5258800,5333773,5417054,5494682,5517901,5549013,5664022,5536064,5883873,6039541
 "93000","Great Lakes",3,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",366182,363803,360944,353043,327331,313360,304689,301740,294239,301447,297710,295703,296514,295409,289501,291721,289090,288431,286305,281580,280070,279599,277826,275951
 "93000","Great Lakes",3,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",3455443,3481632,3676929,3732657,3819214,3976872,4167891,4352022,4478751,4722033,4730938,4827366,4816089,5007411,4969299,5042052,5127964,5206251,5231596,5267433,5383952,5256465,5606047,5763590
 "93000","Great Lakes",3,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",452205,457885,456353,445452,405751,401924,390258,388784,381702,393019,377957,375401,380875,383958,380243,379929,372385,379465,377787,366454,374404,369032,362586,362713
 "93000","Great Lakes",3,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",25500901,25874623,26373665,26108903,25866706,25817706,26049968,26293201,26492996,26742377,26493794,25398020,25278256,25743762,26036561,26351822,26750874,27154082,27439370,27658108,27972554,27966202,26824821,27531170
 "93000","Great Lakes",3,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",22339500,22678649,23108562,22822308,22546062,22500877,22748141,23009421,23215069,23456566,23194772,22097652,21998616,22528971,22854988,23191111,23595312,23999154,24263428,24478193,24791852,24774234,23756919,24473983
 "93000","Great Lakes",3,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",63868,61069,56680,55741,60297,54312,57697,59678,58583,61835,64041,63095,62788,64200,67588,68603,74268,69714,71604,71628,73540,71198,(D),71916
 "93000","Great Lakes",3,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",15172,15573,13837,(D),13664,12393,13356,14777,14322,13734,13961,12127,10997,(D),(D),(D),14128,(D),(D),(D),13710,13147,12557,12737
 "93000","Great Lakes",3,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",5830,5425,5270,(D),5326,4338,5213,5370,5542,5266,5388,5100,5117,(D),(D),(D),5176,(D),(D),(D),4767,5206,(D),5096
 "93000","Great Lakes",3,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",42866,40071,37573,37557,41307,37581,39128,39531,38719,42835,44692,45868,46674,47518,48113,48734,54964,49752,51417,53722,55063,52845,54813,54083
