GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",1877486,1896080,1915254,1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038926,2059837,2066677,2061851,2076092,2071092,2010409,2049278
 "19000","Iowa",4,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",1500525,1521119,1534288,1522116,1507604,1500007,1521678,1545547,1568789,1579953,1586287,1540936,1535646,1551027,1570535,1592602,1607489,1627084,1633478,1630255,1638411,1646092,1566087,1595083
 "19000","Iowa",4,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",376961,374961,380966,380082,372109,373323,380549,388372,396989,414078,411328,418206,414798,424933,422895,426878,431437,432753,433199,431596,437681,425000,444322,454195
 "19000","Iowa",4,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",97315,95648,94983,91481,81029,76864,74640,73612,71617,74324,73353,72595,72352,72700,72109,72641,72021,71502,70831,70112,70045,69477,69189,69148
 "19000","Iowa",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",279646,279313,285983,288601,291080,296459,305909,314760,325372,339754,337975,345611,342446,352233,350786,354237,359416,361251,362368,361484,367636,355523,375133,385047
 "19000","Iowa",4,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",113359,109060,109851,106748,96375,91662,89651,91214,87603,90028,91461,88852,91009,90855,88093,91874,86854,90662,89517,86707,87003,88558,88223,89036
 "19000","Iowa",4,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",1764127,1787020,1805403,1795450,1783338,1781668,1812576,1842705,1878175,1904003,1906154,1870290,1859435,1885105,1905337,1927606,1952072,1969175,1977160,1975144,1989089,1982534,1922186,1960242
 "19000","Iowa",4,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",1515477,1536090,1549147,1538705,1525856,1523268,1552550,1582838,1616374,1640592,1639997,1600268,1590711,1616904,1637873,1660388,1683993,1700977,1708060,1704256,1718432,1709038,1658052,1692511
 "19000","Iowa",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",11763,11349,10472,10129,11135,10336,11012,11264,11489,12705,13536,14334,15224,15325,15985,16581,16552,15223,15638,16077,16555,15933,16306,15856
 "19000","Iowa",4,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",641,658,591,531,526,433,466,534,543,524,541,451,401,439,(D),583,570,604,601,(D),556,501,521,527
 "19000","Iowa",4,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),362,442,358,426,454,460,459,460,465,459,438,(D),471,471,425,441,(D),414,436,439,438
 "19000","Iowa",4,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",10505,10106,9312,9236,10167,9545,10120,10276,10486,11722,12535,13418,14364,14448,14971,15527,15511,14194,14596,15145,15585,14996,15346,14891
 "19000","Iowa",4,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",2861,2892,2673,2756,2555,2695,2791,2934,3124,3345,3800,3812,4204,4070,5107,5244,4956,5088,4906,4310,3809,3565,3407,3327
 "19000","Iowa",4,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",(T),(T),(T),(D),510,681,602,714,815,899,1371,1374,1787,1584,2280,2568,2333,2466,2337,1445,1065,901,841,(D)
 "19000","Iowa",4,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",2170,2209,2031,2159,(D),1985,2160,2186,2269,2393,2352,2374,2354,2425,2738,2599,2509,2486,2476,2731,2651,2564,2462,2416
 "19000","Iowa",4,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),(D),29,29,34,40,53,77,64,63,61,89,77,114,136,93,134,93,100,104,(D)
