GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",18136011,18712485,20122417,21309233,22325307,23340268,24404323,26061238,27793409,29869101,32907654,33028359,35451983,37981757,39265976,38978032,41209955,42555117,41837407,42431384,43981166,45056762,45965064,48219215
 "02000","Alaska",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732441,732673
 "02000","Alaska",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62756,65813
 "02000","Alaska",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",14527361,14882097,15867110,17029542,18022964,18952127,19930380,21160967,22329781,23393319,24430431,25470720,26980175,28475085,29655718,29872721,30607567,31433054,30583213,30669986,31614736,32216250,31830476,33314932
 "02000","Alaska",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1548437,1569942,1644198,1737867,1827564,1891380,2015222,2156197,2362647,2461784,2543244,2587043,2676798,2545526,2697695,3119794,3115826,3164068,3056486,3082257,3153304,3274469,3270811,3446898
 "02000","Alaska",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",732080,745525,783746,840321,885319,919379,976311,1039153,1146409,1214233,1263406,1284901,1338543,1101091,1146434,1514874,1548114,1587011,1545038,1572670,1626059,1710656,1713139,1801321
 "02000","Alaska",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",816357,824417,860452,897546,942245,972001,1038911,1117044,1216238,1247551,1279838,1302142,1338255,1444435,1551261,1604920,1567712,1577057,1511448,1509587,1527245,1563813,1557672,1645577
 "02000","Alaska",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-822099,-826793,-877709,-862962,-791627,-700011,-607712,-512611,-419820,-307912,-173320,-178715,-179836,-194345,-205430,-206239,-219758,-223342,-194433,-181325,-191244,-196806,-190531,-190542
 "02000","Alaska",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",12156825,12485362,13345203,14428713,15403773,16360736,17307446,18492159,19547314,20623623,21713867,22704962,24123541,25735214,26752593,26546688,27271983,28045644,27332294,27406404,28270188,28744975,28369134,29677492
 "02000","Alaska",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3508463,3511665,3699810,3660987,3614138,3733671,3888469,4164627,4630629,5161660,5732438,5575723,5992472,6708048,7111086,7017751,7457864,7870573,7945927,8048260,8151162,8363468,8225238,8268530
 "02000","Alaska",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",2470723,2715458,3077404,3219533,3307396,3245861,3208408,3404452,3615466,4083818,5461349,4747674,5335970,5538495,5402297,5413593,6480108,6638900,6559186,6976720,7559816,7948319,9370692,10273193
 "02000","Alaska",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",10328924,10482804,11077295,11733847,12324298,12794870,13460848,14256293,15122617,16103298,17038036,17532551,17998133,18772293,19588221,19949098,20515254,21225799,20517759,20396696,21056706,21846142,21560474,22478810
 "02000","Alaska",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",2531496,2648664,2818378,3153314,3382590,3730593,3993476,4327237,4471755,4680984,4773068,5004495,5174337,5696146,6147150,6409221,6620381,6595763,6675017,6758728,7245606,7181856,6846767,7243125
 "02000","Alaska",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",1715139,1824247,1957926,2255768,2440345,2758592,2954565,3210193,3255517,3433433,3493230,3702353,3836082,4251711,4595889,4804301,5052669,5018706,5163569,5249141,5718361,5618043,5289095,5597548
 "02000","Alaska",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",816357,824417,860452,897546,942245,972001,1038911,1117044,1216238,1247551,1279838,1302142,1338255,1444435,1551261,1604920,1567712,1577057,1511448,1509587,1527245,1563813,1557672,1645577
 "02000","Alaska",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",1666941,1750629,1971437,2142381,2316076,2426664,2476056,2577437,2735409,2609037,2619327,2933674,3807705,4006646,3920347,3514402,3471932,3611492,3390437,3514562,3312424,3188252,3423235,3592997
 "02000","Alaska",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",9608,9183,13946,13108,12679,5681,8187,7849,4004,2980,-12852,-14145,-12598,-12562,-9152,-10513,-9465,-7922,-5809,-14469,-11120,-10954,-15232,-7883
 "02000","Alaska",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",1657333,1741446,1957491,2129273,2303397,2420983,2467869,2569588,2731405,2606057,2632179,2947819,3820303,4019208,3929499,3524915,3481397,3619414,3396246,3529031,3323544,3199206,3438467,3600880
 "02000","Alaska",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",17124,19240,20809,20006,19515,11732,14549,13947,10272,9403,373,4965,6328,5660,11218,9880,11399,11420,14857,10813,12249,12271,9039,18634
 "02000","Alaska",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",14510237,14862857,15846301,17009536,18003449,18940395,19915831,21147020,22319509,23383916,24430058,25465755,26973847,28469425,29644500,29862841,30596168,31421634,30568356,30659173,31602487,32203979,31821437,33296298
 "02000","Alaska",8,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",9853746,10085272,10867298,11749385,12303104,12854474,13556636,14404022,15248445,16019775,16780750,17300362,18523952,19545809,20341429,20737291,21227611,22010355,20903003,20868379,21329700,21998892,21704495,22874335
 "02000","Alaska",8,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",258713,277988,329210,(D),270925,301427,290598,327626,355232,249046,241450,244482,409909,386715,392301,395813,394035,490748,404242,396980,381199,402033,(D),407900
 "02000","Alaska",8,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",57646,59061,60442,40222,35946,33962,(D),39097,28359,19834,16509,21764,(D),(D),25124,33334,41176,54469,39469,(D),30401,34372,36999,29468
 "02000","Alaska",8,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",198564,216940,266371,(D),(D),263255,248717,283801,(D),(D),(D),217325,367292,340310,362305,357164,348049,429786,359551,364504,(D),360066,375305,369065
 "02000","Alaska",8,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",(T),(T),(T),(D),(D),4210,(D),4728,(D),(D),(D),5393,(D),(D),4872,5315,4810,6493,5222,(D),(D),7595,(D),9367
 "02000","Alaska",8,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",885068,696260,907933,(D),955638,910141,1093709,1216120,1511373,1763755,2124312,2071354,2172917,2418898,2502243,2591263,2780777,2785649,2209827,2249942,2290487,2257010,2002026,1972327
 "02000","Alaska",8,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",328084,298989,340636,406642,403487,373519,427333,463062,512553,600196,721023,734722,758834,814619,926909,1005939,1123203,1119771,931598,1086285,1071012,994416,819314,854634
 "02000","Alaska",8,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",113480,104872,109184,(D),109366,116389,117702,140433,176185,202207,224998,204626,236892,280778,291168,273638,278349,302481,332423,357931,425201,410135,493356,519058
 "02000","Alaska",8,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",443504,292399,458113,504494,442785,420233,548674,612625,822635,961352,1178291,1132006,1177191,1323501,1284166,1311686,1379225,1363397,945806,805726,794274,852459,689356,598635
 "02000","Alaska",8,SAINC5N,300,"22","   Utilities ","Thousands of dollars",104474,105089,109135,128717,147614,151978,159852,165343,172632,180070,200831,217531,230208,255050,250093,273984,281540,291522,296124,280066,318991,328106,366439,400598
 "02000","Alaska",8,SAINC5N,400,"23","   Construction ","Thousands of dollars",1105874,1183122,1242029,1382124,1512871,1660758,1741522,1865492,1921804,1947942,1968793,2107803,2285065,2275430,2340455,2196948,2331253,2424882,2186759,2050124,2146103,2276564,2243466,2284837
 "02000","Alaska",8,SAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",315036,331870,328774,357153,409118,482296,488370,535797,567987,643286,675889,765848,787184,815665,781483,641891,622442,627835,565513,576639,647256,729737,736439,767876
 "02000","Alaska",8,SAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",238155,221784,243358,275342,281077,306012,328792,360207,393321,370933,391409,427529,463641,424712,461505,487590,585581,652014,572877,505074,540098,586803,563833,550601
 "02000","Alaska",8,SAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",552683,629468,669897,749629,822676,872450,924360,969488,960496,933723,901495,914426,1034240,1035053,1097467,1067467,1123230,1145033,1048369,968411,958749,960024,943194,966360
