GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01000","Alabama",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",99847704,103369398,108215370,111947357,114904537,120123434,128828691,136861148,145692271,152984377,158450580,155913476,162531112,168474324,173361655,175185262,181078773,189115437,192363456,199191774,206712014,216587513,232040332,250828813
 "01000","Alabama",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5024803,5039877
 "01000","Alabama",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33946,35010,35824,36014,37055,38531,39014,40223,41539,43288,46179,49769
 "01000","Alabama",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",72164908,75429135,77978535,80308883,82645763,85907277,91564139,96823916,102220883,105561949,106217575,104185812,107052777,109806401,112662543,115980543,119108501,122895559,125188959,130017437,135713611,140993339,145493632,156348795
 "01000","Alabama",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",8228142,8592883,8886335,9189154,9484439,9830517,10331771,10989414,11666988,12223556,12605992,12335562,12709922,11646384,11885060,13695815,14069496,14540791,14817402,15393950,16252827,16857379,17559449,18473912
 "01000","Alabama",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",4251133,4466173,4612784,4806639,4991778,5160995,5458247,5836209,6309884,6639797,6860464,6728491,6808192,5569397,5721495,7429798,7698340,7956033,8207667,8578173,9145416,9419591,9880667,10378307
 "01000","Alabama",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",3977009,4126710,4273551,4382515,4492661,4669522,4873524,5153205,5357104,5583759,5745528,5607071,5901730,6076987,6163565,6266017,6371156,6584758,6609735,6815777,7107411,7437788,7678782,8095605
 "01000","Alabama",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1064569,1131213,1256892,1315123,1374215,1454845,1488726,1554655,1610559,1725867,1834078,1803653,1887506,2033209,2293860,2377744,2367794,2352012,2434812,2392499,2537003,2638763,2538831,2870751
 "01000","Alabama",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",65001335,67967465,70349092,72434852,74535539,77531605,82721094,87389157,92164454,95064260,95445661,93653903,96230361,100193226,103071343,104662472,107406799,110706780,112806369,117015986,121997787,126774723,130473014,140745634
 "01000","Alabama",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18859277,18748919,20116581,20305660,19814947,20779490,23000732,24620828,26763925,29108638,30826141,27582774,28322411,29560742,31428600,30812642,32355078,34147735,34728438,36540969,37412837,40009479,40322097,41194188
 "01000","Alabama",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",15987092,16653014,17749697,19206845,20554051,21812339,23106865,24851163,26763892,28811479,32178778,34676799,37978340,38720356,38861712,39710148,41316896,44260922,44828649,45634819,47301390,49803311,61245221,68888991
 "01000","Alabama",5,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",52742568,55189942,57239267,58650321,60175123,62193386,65590703,69328192,73732100,77268978,79137577,76306324,77298137,78941778,81166884,82339334,85163867,88398848,90619512,94029912,98097977,102550863,105042494,112280102
 "01000","Alabama",5,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",11572592,12108428,12689372,13413968,14006658,14925787,16034406,17068676,17414599,18017236,18501348,19032694,19528576,19966924,19201853,19846237,20849049,21598265,22223908,22567495,23481816,24432341,24858911,26721977
 "01000","Alabama",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",7595583,7981718,8415821,9031453,9513997,10256265,11160882,11915471,12057495,12433477,12755820,13425623,13626846,13889937,13038288,13580220,14477893,15013507,15614173,15751718,16374405,16994553,17180129,18626372
 "01000","Alabama",5,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",3977009,4126710,4273551,4382515,4492661,4669522,4873524,5153205,5357104,5583759,5745528,5607071,5901730,6076987,6163565,6266017,6371156,6584758,6609735,6815777,7107411,7437788,7678782,8095605
 "01000","Alabama",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",7849748,8130765,8049896,8244594,8463982,8788104,9939030,10427048,11074184,10275735,8578650,8846794,10226064,10897699,12293806,13794972,13095585,12898446,12345539,13420030,14133818,14010135,15592227,17346716
