GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",123090038,132293877,147242413,154444546,154639616,157851893,163872909,175069160,189465506,202115932,210029393,199351557,205866132,223492650,236759086,249512681,271410156,284836823,289672968,309417333,331850951,356341335,378051379,410948218
 "08000","Colorado",7,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784308,5812069
 "08000","Colorado",7,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55251,58453,62124,65358,70706
 "08000","Colorado",7,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",95221761,104750108,117250346,122914630,123161460,124743933,129754466,137447804,146427659,153571994,156146198,147500684,151257663,160442276,169755570,183689260,198909681,205364305,207639130,223977747,239678222,254607366,260698608,284315350
 "08000","Colorado",7,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9709966,10549121,11703526,12313813,12725032,12954664,13826559,14683975,15587371,16420263,17112927,16490241,16667528,15796369,16572185,19222930,20676067,21819871,22565794,23930167,25511914,26947905,27640207,29440166
 "08000","Colorado",7,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",5089199,5541259,6136889,6454529,6441259,6529440,6869398,7279403,7833364,8364694,8748179,8528245,8593590,7082474,7424842,9934670,10644172,11239442,11671430,12491032,13553726,14320696,14765503,15751021
 "08000","Colorado",7,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",4620767,5007862,5566637,5859284,6283773,6425224,6957161,7404572,7754007,8055569,8364748,7961996,8073938,8713895,9147343,9288260,10031895,10580429,10894364,11439135,11958188,12627209,12874704,13689145
 "08000","Colorado",7,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",231023,260685,288140,308776,339231,363444,398251,429251,475850,505005,522937,563221,663105,826914,1027089,1183051,1231922,1231762,1203809,1319310,1345732,1386392,1378116,1551534
 "08000","Colorado",7,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",85742818,94461672,105834960,110909593,110775659,112152713,116326158,123193080,131316138,137656736,139556208,131573664,135253240,145472821,154210474,165649381,179465536,184776196,186277145,201366890,215512040,229045853,234436517,256426718
 "08000","Colorado",7,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",26628607,26428712,29358715,30180222,29022593,30115913,31305683,34327529,39296413,44266684,46949430,41647749,41020153,47469200,51847788,52000939,57749946,62642609,64416937,68072521,72986613,81651663,82104398,85564120
 "08000","Colorado",7,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",10718613,11403493,12048738,13354731,14841364,15583267,16241068,17548551,18852955,20192512,23523755,26130144,29592739,30550629,30700824,31862361,34194674,37418018,38978886,39977922,43352298,45643819,61510464,68957380
 "08000","Colorado",7,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",69857397,76636393,86411500,89129887,88062736,89252317,93550345,98774325,105649178,112525622,116709771,112227532,113670270,118413999,124947216,129521465,138625855,146578213,151165010,160930735,170808031,182958418,187610640,205270875
 "08000","Colorado",7,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",13878321,15078911,16956791,18188861,18552487,19458863,20417155,21811592,22231140,22923241,23720448,24400346,24620019,24603951,25828422,27369538,29271125,29953594,30766824,32277579,34762064,36358656,36770081,38796409
 "08000","Colorado",7,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",9257554,10071049,11390154,12329577,12268714,13033639,13459994,14407020,14477133,14867672,15355700,16438350,16546081,15890056,16681079,18081278,19239230,19373165,19872460,20838444,22803876,23731447,23895377,25107264
 "08000","Colorado",7,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",4620767,5007862,5566637,5859284,6283773,6425224,6957161,7404572,7754007,8055569,8364748,7961996,8073938,8713895,9147343,9288260,10031895,10580429,10894364,11439135,11958188,12627209,12874704,13689145
 "08000","Colorado",7,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",11486043,13034804,13882055,15595882,16546237,16032753,15786966,16861887,18547341,18123131,15715979,10872806,12967374,17424326,18979932,26798257,31012701,28832498,25707296,30769433,34108127,35290292,36317887,40248066
 "08000","Colorado",7,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",464886,584021,384629,666812,261705,352189,535078,652837,372471,600605,424063,239796,552917,869268,721332,742429,838001,1134143,741633,364505,286225,609753,230231,580848
 "08000","Colorado",7,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",11021157,12450783,13497426,14929070,16284532,15680564,15251888,16209050,18174870,17522526,15291916,10633010,12414457,16555058,18258600,26055828,30174700,27698355,24965663,30404928,33821902,34680539,36087656,39667218
 "08000","Colorado",7,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",806189,937041,777385,1074255,713792,753579,957261,1115393,811492,1106047,907042,765530,1017404,1326140,1250276,1339413,1414767,1619916,1306906,967154,879780,1058779,847466,1271602
 "08000","Colorado",7,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",94415572,103813067,116472961,121840375,122447668,123990354,128797205,136332411,145616167,152465947,155239156,146735154,150240259,159116136,168505294,182349847,197494914,203744389,206332224,223010593,238798442,253548587,259851142,283043748
 "08000","Colorado",7,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",79635232,88100989,99700542,103634387,102755972,103289337,107220215,113556117,122006240,127881527,128993174,119201660,121777872,130405813,139542102,152518588,166343867,171256161,172354305,187899202,201905942,215125029,219849131,241395201
 "08000","Colorado",7,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",115460,123599,139171,152732,150818,150590,163631,175601,191939,174014,167231,192809,235795,239230,292388,308162,307899,326280,313204,335558,341339,322403,358072,320845
 "08000","Colorado",7,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",10426,10648,14522,12557,(D),(D),(D),(D),(D),(D),(D),(D),14896,6004,17052,16324,6717,(D),7731,8483,15347,10288,24410,20016
 "08000","Colorado",7,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),1296,(D),(D),(D),(D),(D),(D),(D),(D),-5370,-1455,-1800,-221,1155,(D),-519,-472,2983,2641,1207,692
 "08000","Colorado",7,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",103946,111287,123022,138879,137390,138188,152865,165155,185848,167884,169125,194046,226269,234681,277136,292059,300027,316020,305992,327547,323009,309474,332455,300137
 "08000","Colorado",7,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1242733,1258025,1405341,1891745,1755396,1917489,2262990,3387323,4235579,4353594,8176211,5012834,6441952,9399212,10320283,11994252,13061832,8165130,5742639,11855384,12842936,13133727,10345124,12297287
 "08000","Colorado",7,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",712916,663684,876769,1304247,1174578,1346997,1571511,2435152,3003055,2811114,6158092,3500181,4713789,7279188,8112385,9992652,10729470,6282266,4516802,10186432,10625020,10707239,8617722,10571917
 "08000","Colorado",7,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",371325,447597,347759,350003,354012,309546,324118,401674,446695,492293,619817,607344,713044,732195,598114,435850,336860,303038,215451,280074,442553,429559,487730,509563
 "08000","Colorado",7,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",158492,146744,180813,237495,226806,260946,367361,550497,785829,1050187,1398302,905309,1015119,1387829,1609784,1565750,1995502,1579826,1010386,1388878,1775363,1996929,1239672,1215807
 "08000","Colorado",7,SAINC5N,300,"22","   Utilities ","Thousands of dollars",614544,633274,656823,841222,845736,892753,1068238,1052337,1390923,1058399,1187511,1042192,1121845,1171551,1119847,1038961,1204555,1265775,1193632,1191386,1273014,1582045,1874950,1942237
