GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",416327815,436360727,472851789,497538688,514203187,540473560,588257449,642291218,697349656,727260678,729994125,686755798,732457478,771409454,800551723,802975701,861412339,919834894,954069719,1023855349,1088794675,1165093072,1235793410,1356318587
 "12000","Florida",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21569932,21781128
 "12000","Florida",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49055,51520,54560,57292,62270
 "12000","Florida",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",265915440,284906081,308751767,327004403,343045358,361990839,391971693,425120042,452502313,459534466,445378616,420306539,438983914,450498606,468410475,482898301,512375290,544408719,569769284,603630190,639303389,672627275,686243741,764483116
 "12000","Florida",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",29129738,30995595,33262318,35634392,37184203,39192768,42579437,46456979,50370182,51860881,51691637,49960577,50687919,46682044,48813521,56725464,59770106,62910086,65677820,69201167,73839065,78903065,81066185,87829312
 "12000","Florida",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",15506665,16546164,17688776,18938962,19847131,20883398,22636672,24840489,26870304,27964135,28062143,27264857,27615316,22563768,23345399,30705967,32638683,34717967,36511533,38876345,41897771,44946964,46510850,50253937
 "12000","Florida",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",13623073,14449431,15573542,16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27131423,28192119,29166287,30324822,31941294,33956101,34555335,37575375
 "12000","Florida",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1221176,1353094,1516255,1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051767,3210837,3343465,3374874,3460315,3522297,3593900,3553388,3715814
 "12000","Florida",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",238006878,255263580,277005704,292988415,307537163,324570691,351309891,380742756,404429938,410270222,396473380,372989734,391022353,406748110,422613929,429224604,455816021,484842098,507466338,537889338,568986621,597318110,608730944,680369618
 "12000","Florida",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",116952011,117300428,127836432,130411821,126798364,130637594,145235305,163062160,187842368,205183939,206531857,175282774,189749011,206903563,221824885,212830992,235888472,256147818,260396581,290385386,314641342,349699226,352209310,364845906
 "12000","Florida",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",61368926,63796719,68009653,74138452,79867660,85265275,91712253,98486302,105077350,111806517,126988888,138483290,151686114,157757781,156112909,160920105,169707846,178844978,186206800,195580625,205166712,218075736,274853156,311103063
 "12000","Florida",5,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",199099985,212076660,231180254,242318487,250893670,264523997,285403426,309874331,332428236,343027610,339020649,320654389,322573479,332057251,346080504,358216215,378841977,404274497,424727152,447305374,473094186,499702495,511488007,576535990
 "12000","Florida",5,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",42184590,45210975,48084033,52645571,56945255,61050948,65494024,71150914,71553664,74577342,75960711,72399448,75485064,73664759,76125028,80385943,82030386,85895463,88602835,94783646,101520717,106738525,106107637,114540829
 "12000","Florida",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",28561517,30761544,32510491,35950141,39608183,42741578,45551259,49534424,48053786,50680596,52331217,49703728,52412461,49546483,50656906,54366446,54898963,57703344,59436548,64458824,69579423,72782424,71552302,76965454
 "12000","Florida",5,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",13623073,14449431,15573542,16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27131423,28192119,29166287,30324822,31941294,33956101,34555335,37575375
 "12000","Florida",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",24630865,27618446,29487480,32040345,35206433,36415894,41074243,44094797,48520413,41929514,30397256,27252702,40925371,44776596,46204943,44296143,51502927,54238759,56439297,61541170,64688486,66186255,68648097,73406297
 "12000","Florida",5,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",1694067,1810928,1612955,1314931,1308354,1130622,986008,1491266,1272375,942012,600494,775327,1072500,952396,1541895,1372956,1469588,2417798,1369140,1876937,1007934,1032523,616621,297597
 "12000","Florida",5,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",22936798,25807518,27874525,30725414,33898079,35285272,40088235,42603531,47248038,40987502,29796762,26477375,39852871,43824200,44663048,42923187,50033339,51820961,55070157,59664233,63680552,65153732,68031476,73108700
 "12000","Florida",5,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",2643728,2703204,2582381,2581914,2515225,2199817,2274914,2689336,2639885,2266429,2063817,2185727,2475121,2184431,2780329,2833973,2835748,3602687,2738520,3068221,2316964,2488661,2322291,2393804
 "12000","Florida",5,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",263271712,282202877,306169386,324422489,340530133,359791022,389696779,422430706,449862428,457268037,443314799,418120812,436508793,448314175,465630146,480064328,509539542,540806032,567030764,600561969,636986425,670138614,683921450,762089312
 "12000","Florida",5,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",219025657,235835479,256753303,271996175,284188817,299540539,324814979,354143571,377923364,381567048,364993125,339391186,356341774,369328406,387553041,400910157,429126035,458566414,482184285,512681940,546554952,576366888,586188425,660846171
 "12000","Florida",5,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1220649,1227548,1298421,1360619,1316493,1360003,1520821,1445474,1514273,1384595,1318938,1397679,1518142,1484254,1615072,1666493,1736907,1871904,1840044,1847038,1914482,1949384,2182933,2014507
 "12000","Florida",5,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",152865,148802,161423,162841,149861,(D),210918,216363,(D),(D),131766,154339,245804,219291,251774,251358,254656,293394,237326,204307,205292,200089,263632,228240
 "12000","Florida",5,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",68809,75000,89189,89831,82885,(D),53586,41260,(D),(D),27829,21522,46644,63765,80436,67440,64470,70802,78575,83186,56078,31847,20361,14533
 "12000","Florida",5,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",998975,1003746,1047809,1107947,1083747,1099321,1256317,1187851,1294349,1215595,1159343,1221818,1225694,1201198,1282862,1347695,1417781,1507708,1524143,1559545,1653112,1717448,1898940,1771734
 "12000","Florida",5,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",318586,299801,310388,289068,257697,359229,500926,795242,665087,494722,420126,239332,258677,278318,188374,86749,180051,244420,283025,462981,410074,447888,381188,410258
 "12000","Florida",5,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),16617,26436,26090,21942,29175,44645,68466,52494,172206,90556,106266,131614,86381,96466,27284,-3041,-41421,87056,11712,100048,2758,4433
 "12000","Florida",5,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",306015,289031,287979,257579,226651,323582,451265,708262,544002,392717,204152,124348,118913,96720,45679,-42014,110967,207216,288973,311548,316685,302790,333215,362699
 "12000","Florida",5,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),5053,4956,13705,20486,42335,52619,49511,43768,24428,33498,49984,56314,32297,41800,40245,35473,64377,81677,45050,45215,43126
 "12000","Florida",5,SAINC5N,300,"22","   Utilities ","Thousands of dollars",1777179,1894806,2052999,2500083,2154890,2055080,2231318,2166434,2237912,2269710,2562943,2531770,2529389,2742571,2703471,3061349,3324869,3498290,3444122,4098231,4785205,4798315,5752146,5910329
 "12000","Florida",5,SAINC5N,400,"23","   Construction ","Thousands of dollars",18193137,20341458,22525797,24491629,26047312,28324103,32884220,38550764,43250572,39401375,31423057,24507403,26697687,26943068,24584558,22853790,27782655,31927872,36268802,40496182,44929180,48201149,50165440,54405218
 "12000","Florida",5,SAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",5113144,5835096,6501099,7186185,7843879,8597568,10517628,13046903,15060946,13033354,9100393,7111061,10281527,11062721,7956813,5054090,7933824,9623434,11412655,12747874,14371888,14768198,15030092,16590109
 "12000","Florida",5,SAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",2644509,2897378,3129453,3276227,3258238,3568303,4225679,4643189,5075138,4845753,4204788,3114558,3032217,2664834,2662029,2806081,3074945,3519105,4092475,4853280,5194576,5768277,6141452,6617180
 "12000","Florida",5,SAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",10435484,11608984,12895245,14029217,14945195,16158232,18140913,20860672,23114488,21522268,18117876,14281784,13383943,13215513,13965716,14993619,16773886,18785333,20763672,22895028,25362716,27664674,28993896,31197929
 "12000","Florida",5,SAINC5N,500,"31-33","   Manufacturing ","Thousands of dollars",19464891,20196391,21088926,21553320,21726656,21965620,22930643,23935833,25204172,25236604,24577389,21850175,21817124,22165809,22817876,23384739,24520144,26242453,27241938,28950275,30518372,32402394,34045628,36541881
 "12000","Florida",5,SAINC5N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",12868583,13311997,14030189,14271472,14340943,14551604,15705095,16749572,17956051,17874178,17218305,15145341,15100086,15346162,15728659,16259771,17034857,18460431,19161718,20625866,22034703,23034883,23993631,25843069
 "12000","Florida",5,SAINC5N,511,"321","     Wood product manufacturing ","Thousands of dollars",548137,566227,588964,635115,705278,740808,864966,1060317,1017908,756596,548139,412790,399436,414613,416061,497914,602393,693929,766290,849429,893320,871682,965979,1061251
 "12000","Florida",5,SAINC5N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",867339,937284,1043877,1064003,1108729,1130150,1223889,1397916,1751685,1661093,1294270,928261,846423,856540,904896,1025162,1126014,1257754,1324117,1470580,1620537,1816892,1896048,2042762
 "12000","Florida",5,SAINC5N,513,"331","     Primary metal manufacturing ","Thousands of dollars",182652,184270,188007,143196,161043,186813,259228,305280,317612,312966,320559,271757,276689,270750,283910,287570,286108,253385,223103,317611,374030,401910,397491,397493
 "12000","Florida",5,SAINC5N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",1504382,1583705,1701401,1633912,1613593,1661577,1763782,1959036,2177392,2121079,2100012,1767645,1680725,1708651,1758934,1902831,2003809,2123334,2273519,2436352,2651740,2682821,2795098,3042972
 "12000","Florida",5,SAINC5N,515,"333","     Machinery manufacturing ","Thousands of dollars",1285165,1302799,1434359,1445900,1441549,1516782,1469882,1563122,1710602,1748971,1844961,1671783,1648502,1723592,1813943,1954433,1992009,2147460,2134294,2348379,2529064,2729367,2814787,3021770
 "12000","Florida",5,SAINC5N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",3582671,3683014,3943433,4238220,4116433,3818463,3936628,4035597,4078420,4218000,4212558,3998814,3939605,3949270,4098819,4009328,4036921,4233864,4286713,4603107,4822378,5055481,5333402,5661577
 "12000","Florida",5,SAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",596200,621319,648704,617170,610354,506316,366312,394373,544689,626564,659956,618458,646101,654781,663166,619729,665468,723835,760624,812563,848410,851997,926591,933384
 "12000","Florida",5,SAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",514528,448557,495257,465036,438146,494854,491279,543560,542697,532853,469225,353498,353262,(D),(D),(D),432538,455440,476403,474936,494975,521821,505646,551029
 "12000","Florida",5,SAINC5N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",2158073,2236745,2098338,2074689,2092950,2190077,2630819,2617102,2607531,2624365,2592935,2353605,2461636,(D),(D),(D),2835531,3099975,3296146,3496999,3929105,4330796,4452440,4852279
 "12000","Florida",5,SAINC5N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",615426,641443,683678,703632,704762,755084,759545,791792,825866,761236,632116,468303,421556,448221,475960,520450,603235,729413,770278,816640,838741,824109,867762,955118
 "12000","Florida",5,SAINC5N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",1014010,1106634,1204171,1250599,1348106,1550680,1938765,2081477,2381649,2510455,2543574,2300427,2426151,2312185,2191143,2196590,2450831,2742042,2850231,2999270,3032403,2948007,3038387,3323434
 "12000","Florida",5,SAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",6596308,6884394,7058737,7281848,7385713,7414016,7225548,7186261,7248121,7362426,7359084,6704834,6717038,6819647,7089217,7124968,7485287,7782022,8080220,8324409,8483669,9367511,10051997,10698812
 "12000","Florida",5,SAINC5N,531,"311","     Food manufacturing ","Thousands of dollars",1414495,1539966,1599373,1665642,1808446,1745198,1719250,1622530,1587935,1621681,1651772,1600217,1583963,1620807,1595302,1601685,1646153,1651661,1745665,1815543,1894277,2016011,2195645,2331519
