GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "93000","Great Lakes",3,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1234434647,1285398208,1370277374,1411718191,1427690565,1464134445,1522011034,1573033777,1654969768,1728248143,1783643606,1716691132,1776452227,1879159998,1960700261,1991993693,2079147061,2171984261,2213769833,2285391579,2389048106,2476684131,2647244207,2825996093
 "93000","Great Lakes",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46450820,46580609,46702192,46858230,46981634,47048673,47136309,47234338,47306617,47358868,47321463,47204190
 "93000","Great Lakes",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27599,28584,30305,31094,31343,32032,33200,34234,35922,37418,38544,37033,38244,40342,41983,42511,44254,46165,46965,48384,50501,52296,55942,59867
 "93000","Great Lakes",3,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",938584027,993297686,1054963925,1083764675,1101282553,1127679089,1174303552,1201631657,1249018909,1284553833,1295157095,1228215017,1266858481,1333999750,1389953821,1439273372,1484820860,1539225100,1568748112,1623670452,1692211477,1742385405,1758732242,1884108509
 "93000","Great Lakes",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",104853850,110196318,114558783,116267169,117883011,121240395,127570215,132744176,138350435,142423324,145147185,138919487,140959862,132003646,137137107,157359874,162452287,168304333,172690199,180085585,187157865,193703592,195913572,205112808
 "93000","Great Lakes",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",52539481,55482078,57922752,58987173,60374393,61589277,64250095,66900956,70406306,73138790,74947688,71993456,72994202,60103287,62005617,81684837,85212332,88617491,91422154,95764116,100958873,104890714,106918186,112428759
 "93000","Great Lakes",3,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",52314369,54714240,56636031,57279996,57508618,59651118,63320120,65843220,67944129,69284534,70199497,66926031,67965660,71900359,75131490,75675037,77239955,79686842,81268045,84321469,86198992,88812878,88995386,92684049
 "93000","Great Lakes",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",3019799,3448769,3791831,4089370,4145223,4422586,4926838,5346823,5657182,5774385,6359811,5478599,5351731,5314412,5636331,5410358,5841770,6351438,6497717,6884853,7984184,8570551,7887456,8702858
 "93000","Great Lakes",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",836749976,886550137,944196973,971586876,987544765,1010861280,1051660175,1074234304,1116325656,1147904894,1156369721,1094774129,1131250350,1207310516,1258453045,1287323856,1328210343,1377272205,1402555630,1450469720,1513037796,1557252364,1570706126,1687698559
 "93000","Great Lakes",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",242145286,237188767,254850922,252255705,240494742,244929080,253213930,265282210,293181882,314899396,328482494,289434411,289206126,318901080,349195543,343242530,375020039,399143607,408496432,422736912,448445176,470077622,470479403,479961478
 "93000","Great Lakes",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",155539385,161659304,171229479,187875610,199651058,208344085,217136929,233517263,245462230,265443853,298791391,332482592,355995751,352948402,353051673,361427307,375916679,395568449,402717771,412184947,427565134,449354145,606058678,658336056
 "93000","Great Lakes",3,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",703086091,742124523,782688148,791356051,798465052,815013711,847209312,872202124,906394235,939450265,949757612,894027355,908796720,948859921,989410351,1011665222,1054372023,1103580851,1131501476,1175192214,1221717397,1261131909,1262729963,1358663570
 "93000","Great Lakes",3,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",153601197,161846132,172741295,182319790,189244737,198074170,208910662,219017297,226949029,232278486,235151132,229429509,232226447,239923155,245623391,254212245,258552315,266023481,269159181,278790979,293385134,298240876,293917006,305695386
