GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",32514628,33608141,35579023,37058606,38747097,40621407,43654661,47022853,50399032,53272076,55911098,55325988,56751099,59288116,61557042,62521242,66036681,69109054,71571666,74542815,76168302,79699710,83109524,87857663
 "15000","Hawaii",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1365064,1384943,1405024,1423171,1434212,1446479,1457008,1458361,1460183,1457034,1451911,1441553
 "15000","Hawaii",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41574,42809,43812,43931,46044,47777,49122,51114,52164,54700,57241,60947
 "15000","Hawaii",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",24118706,25075968,26592658,28063097,29837114,31760662,34048466,36522602,38590202,39887517,40680719,40167280,40953046,42453496,44495820,45821395,47635103,50012263,51623372,53809888,55482203,57266561,53939388,57921085
 "15000","Hawaii",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2671029,2739827,2888904,3047811,3244371,3491299,3667189,3934370,4247407,4442476,4531688,4475992,4706903,4476995,4633026,5412477,5452236,5699238,5829894,6073642,6284017,6539137,6237416,6623962
 "15000","Hawaii",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1343636,1386501,1458479,1541650,1632324,1726243,1851587,1988375,2145054,2279845,2353692,2315641,2337851,1914170,1966540,2596437,2734486,2893368,3020494,3155425,3291450,3462743,3295044,3494112
 "15000","Hawaii",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1327393,1353326,1430425,1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2717750,2805870,2809400,2918217,2992567,3076394,2942372,3129850
 "15000","Hawaii",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",21447677,22336141,23703754,25015286,26592743,28269363,30381277,32588232,34342795,35445041,36149031,35691288,36246143,37976501,39862794,40408918,42182867,44313025,45793478,47736246,49198186,50727424,47701972,51297123
 "15000","Hawaii",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",7300700,7349818,7745100,7592949,7347283,7389128,7981762,8707315,10014516,11190430,12035324,11340980,11217629,11658547,12179774,12248548,13225079,13784604,14338469,14869220,14818634,16267699,16077824,16367252
 "15000","Hawaii",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",3766251,3922182,4130169,4450371,4807071,4962916,5291622,5727306,6041721,6636605,7726743,8293720,9287327,9653068,9514474,9863776,10628735,11011425,11439719,11937349,12151482,12704587,19329728,20193288
 "15000","Hawaii",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",17621036,18185436,19173030,19831092,20867549,22005611,23664894,25185778,26870576,28394242,29195819,28516537,28599421,29451257,30667315,31514150,32830812,34592423,35912573,37253810,38109065,39274486,36709625,39663860
 "15000","Hawaii",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",4098585,4214313,4474279,4803051,5294429,5930003,6309787,6831071,6994848,7362838,7620854,7507054,7962499,8714959,8872721,9307148,9664580,9924302,10185728,10456767,10971093,11147584,11141936,11691722
 "15000","Hawaii",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",2771192,2860987,3043854,3296890,3682382,4164947,4494185,4885076,4892495,5200207,5442858,5346703,5593447,6152134,6206235,6491108,6946830,7118432,7376328,7538550,7978526,8071190,8199564,8561872
 "15000","Hawaii",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",1327393,1353326,1430425,1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2717750,2805870,2809400,2918217,2992567,3076394,2942372,3129850
 "15000","Hawaii",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",2399085,2676219,2945349,3428954,3675136,3825048,4073785,4505753,4724778,4130437,3864046,4143689,4391126,4287280,4955784,5000097,5139711,5495538,5525071,6099311,6402045,6844491,6087827,6565503
 "15000","Hawaii",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",38283,43843,40387,39138,49889,51285,43923,63156,69370,53353,43955,87232,79623,114529,62139,33852,-447,45234,-3900,41517,10364,-7177,-12188,-29714
 "15000","Hawaii",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",2360802,2632376,2904962,3389816,3625247,3773763,4029862,4442597,4655408,4077084,3820091,4056457,4311503,4172751,4893645,4966245,5140158,5450304,5528971,6057794,6391681,6851668,6100015,6595217
 "15000","Hawaii",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",217524,244550,240333,236703,250715,249793,250656,259736,259904,247013,252944,293944,279241,306444,345414,318746,291367,315512,284427,264596,217546,199618,205730,204924
 "15000","Hawaii",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",23901182,24831418,26352325,27826394,29586399,31510869,33797810,36262866,38330298,39640504,40427775,39873336,40673805,42147052,44150406,45502649,47343736,49696751,51338945,53545292,55264657,57066943,53733658,57716161
 "15000","Hawaii",8,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",17096942,17686901,18989298,20082958,21065572,22313904,23961952,25760603,27174010,27856918,27962458,26968018,27451059,28360912,30152474,31499054,32642372,34597279,35978774,37971407,39590559,41060476,37163414,40639902
 "15000","Hawaii",8,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",43145,45528,48654,45129,44897,42751,36568,32886,39474,29219,32912,38661,48618,54863,64166,68126,69862,81064,86480,91611,85088,82656,84850,(D)
 "15000","Hawaii",8,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),824,(D),(D),490,412,802,1552,2260,3014,2500,2645,2443,3356,(D),5048,4433,3787,3909,3355,(D)
 "15000","Hawaii",8,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",10672,11696,13098,(D),10378,(D),(D),1833,3636,-3116,-718,1601,8607,11780,15960,17937,13356,(D),20994,27793,23549,18341,9505,13206
 "15000","Hawaii",8,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",31250,32572,34293,31583,33695,33468,32044,30563,35426,31533,32078,34800,36997,40583,45561,47746,53150,58981,60438,59385,57752,60406,71990,65337
 "15000","Hawaii",8,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",16773,16431,17947,18360,17743,22226,27606,30022,30216,31388,36569,34306,34002,38884,34376,33237,35539,37432,30176,29115,28880,28502,29903,29898
 "15000","Hawaii",8,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),21,22,-54,519,-45,-86,-547,(D),(D),(D),(D),(D),(D),(D),(D),(D),1655,697,(D),(D),984
 "15000","Hawaii",8,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",16777,16436,17949,18336,17716,(D),(D),(D),(D),(D),34733,33997,32997,35021,33347,29241,29122,33089,26940,(D),(D),28343,(D),(D)
 "15000","Hawaii",8,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),3,5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAINC5N,300,"22","   Utilities ","Thousands of dollars",205977,211219,218082,251861,259425,271494,290873,302002,336351,336996,368175,362506,385196,441011,448404,509225,531899,559397,560685,569686,601516,597888,634740,617187
 "15000","Hawaii",8,SAINC5N,400,"23","   Construction ","Thousands of dollars",1499719,1549132,1768906,1843649,2016220,2267032,2497317,3020653,3356469,3601565,3571300,3228476,3073666,3008802,3165555,3185215,3428756,3951117,4342991,4376887,4355636,4614054,4594454,4676401
 "15000","Hawaii",8,SAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",463433,485765,566446,603807,677704,783321,848633,990294,1126944,1202080,1202589,1107341,967180,919830,1006777,926103,1023724,1265445,1395979,1494860,1424716,1501596,1468820,1502209
 "15000","Hawaii",8,SAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",239512,251574,290493,294486,324449,339861,350570,448906,503530,528969,529882,495089,503467,493130,419774,404705,430829,503868,510102,494021,572338,668387,573167,566329
 "15000","Hawaii",8,SAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",796774,811793,911967,945356,1014067,1143850,1298114,1581453,1725995,1870516,1838829,1626046,1603019,1595842,1739004,1854407,1974203,2181804,2436910,2388006,2358582,2444071,2552467,2607863
 "15000","Hawaii",8,SAINC5N,500,"31-33","   Manufacturing ","Thousands of dollars",579890,610338,650794,695545,673634,697192,757746,757586,782949,797342,820400,757898,727627,762615,799935,828966,881389,887902,927347,955814,1001249,1013857,947207,(D)
 "15000","Hawaii",8,SAINC5N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",195535,205588,227712,(D),(D),(D),291606,281423,293806,297760,326735,283177,266861,284365,286763,293416,296698,297603,308002,330725,332502,331121,335730,(D)
 "15000","Hawaii",8,SAINC5N,511,"321","     Wood product manufacturing ","Thousands of dollars",21083,24442,23459,(D),(D),(D),(D),19081,20479,(D),(D),(D),15842,14521,15677,18754,(D),16692,13447,19406,17657,21840,(D),11165
 "15000","Hawaii",8,SAINC5N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",62231,65701,66186,69991,79238,88545,107865,95379,103555,94766,105542,65903,60959,60787,86610,94591,97786,89408,89705,91598,87332,82670,98104,80668
 "15000","Hawaii",8,SAINC5N,513,"331","     Primary metal manufacturing ","Thousands of dollars",(T),(T),(T),449,529,659,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAINC5N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",18578,15402,19800,19487,21075,24284,25917,28386,27770,27933,27498,(D),21615,21153,22170,23065,22503,22846,24580,24689,24801,22552,24221,27094
 "15000","Hawaii",8,SAINC5N,515,"333","     Machinery manufacturing ","Thousands of dollars",(T),(T),(T),4013,4748,3158,1885,2066,2554,2374,2723,4463,4426,3150,(D),(D),(D),(D),(D),(D),(D),(D),4057,3278
 "15000","Hawaii",8,SAINC5N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",(T),11980,16842,31137,(D),(D),(D),5479,4760,5534,9996,12254,10625,11967,11963,15491,17873,18218,15262,18174,19558,20093,21236,23415
 "15000","Hawaii",8,SAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),2109,3482,3149,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),2331,1382,(D),(D),(D),(D),(D),572,608,(D),484,126,258,320,195,743,797
 "15000","Hawaii",8,SAINC5N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",16071,17158,22044,(D),(D),(D),(D),31988,33679,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),89949,92016,96387,77440
 "15000","Hawaii",8,SAINC5N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",22927,24137,30590,30572,29686,31981,36691,31724,33232,33024,35557,26878,24530,24155,21893,22283,22978,23969,23792,26281,25465,25348,23238,24015
 "15000","Hawaii",8,SAINC5N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",36650,39379,40190,43239,42707,49620,56407,62005,62807,59200,59523,55148,58026,57091,57352,50687,50664,49502,51921,55627,59875,59775,53585,65909
 "15000","Hawaii",8,SAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",384355,404750,423082,(D),(D),(D),466140,476163,489143,499582,493665,474721,460766,478250,513172,535550,584691,590299,619345,625089,668747,682736,611477,623933
 "15000","Hawaii",8,SAINC5N,531,"311","     Food manufacturing ","Thousands of dollars",200955,207382,212569,208163,207338,213197,222911,226542,226826,229071,225187,212595,218089,219884,243524,259626,285414,287354,297893,299064,309134,304001,256960,271325
