GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",73171914,75098662,80228537,82571095,84424009,86443807,93643080,96704540,102746788,110011004,116756720,113084524,116906023,125978180,132158943,134757839,139531286,144587626,145790014,149420300,155916366,160360644,169994224,182524514
 "19000","Iowa",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3051447,3069937,3082570,3102253,3121583,3136111,3149432,3162621,3171441,3183831,3188669,3193079
 "19000","Iowa",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47246,49163,50367,53312,57163
 "19000","Iowa",4,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",53438326,55618867,59219351,60578124,61919400,64189880,70703088,73018016,76516810,81010935,84559001,80977968,83653949,89363768,93739268,98024269,100348881,103017843,102805037,105444563,109748425,111452330,113086037,122603543
 "19000","Iowa",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",6289244,6557828,6805512,6966785,7117727,7442033,7832698,8243014,8683860,9120175,9545638,9425786,9738850,9091689,9384342,10787326,11113732,11382232,11876626,12200571,12725383,13151249,13711259,14192351
 "19000","Iowa",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3253112,3389009,3515245,3625573,3724242,3869085,4102577,4348670,4593334,4844109,5067932,5026592,5100414,4206829,4374409,5684611,5914892,6106275,6309386,6483345,6882958,7133859,7458510,7742886
 "19000","Iowa",4,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",3036132,3168819,3290267,3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5198840,5275957,5567240,5717226,5842425,6017390,6252749,6449465
 "19000","Iowa",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",694649,795634,880711,904868,942681,971962,988807,906506,840928,1078953,1149225,1149579,1187347,1305994,1229451,1210476,1047705,1001448,1048774,1365395,1357705,1402282,1652008,1760475
 "19000","Iowa",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",47843731,49856673,53294550,54516207,55744354,57719809,63859197,65681508,68673878,72969713,76162588,72701761,75102446,81578073,85584377,88447419,90282854,92637059,91977185,94609387,98380747,99703363,101026786,110171667
 "19000","Iowa",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",15558940,15108979,16081519,16309190,15747693,15847356,16442670,16768839,18353237,20315466,21540198,19999178,20083020,22340386,24591067,23841387,25599935,27045207,28299914,29363066,29890163,31401894,31605209,32023935
 "19000","Iowa",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",9769243,10133010,10852468,11745698,12931962,12876642,13341213,14254193,15719673,16725825,19053934,20383585,21720557,22059721,21983499,22469033,23648497,24905360,25512915,25447847,27645456,29255387,37362229,40328912
 "19000","Iowa",4,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",38197432,40182058,41958028,42987825,43744456,45213217,47892131,50008032,52641178,55522152,57466395,56072611,57199134,59354406,62154133,63998856,67140766,70062887,71740600,73765131,76431087,78556511,80058488,84727919
 "19000","Iowa",4,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",8328687,8732564,9548470,10043589,10328830,10843220,11648917,12386345,12936797,13596736,14270243,14588856,14695930,14763992,15687592,16044359,17196707,17386782,18339857,18883608,19921095,19967095,19948497,20795914
 "19000","Iowa",4,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",5292555,5563745,6258203,6702377,6935345,7270272,7918796,8492001,8846271,9320670,9792537,10189662,10057494,9879132,10677659,10941644,11997867,12110825,12772617,13166382,14078670,13949705,13695748,14346449
 "19000","Iowa",4,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",3036132,3168819,3290267,3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5198840,5275957,5567240,5717226,5842425,6017390,6252749,6449465
 "19000","Iowa",4,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",6912207,6704245,7712853,7546710,7846114,8133443,11162040,10623639,10938835,11892047,12822363,10316501,11758885,15245370,15897543,17981054,16011408,15568174,12724580,12795824,13396243,12928724,13079052,17079710
 "19000","Iowa",4,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",1796673,1248369,2108863,1881041,1753625,1767324,4246292,3421033,2439329,3211561,4207906,2638675,3038227,6807062,5953323,7873200,5021922,4497500,2068878,2526491,3090887,2492680,2298488,5893422
 "19000","Iowa",4,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",5115534,5455876,5603990,5665669,6092489,6366119,6915748,7202606,8499506,8680486,8614457,7677826,8720658,8438308,9944220,10107854,10989486,11070674,10655702,10269333,10305356,10436044,10780564,11186288
 "19000","Iowa",4,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",2160615,1600578,2461843,2273057,2127723,2252953,4787242,3871025,2848286,3899133,4807486,3234318,3653181,7397056,6738975,8567453,5839433,5174925,2747364,3401341,3847907,3279606,2990896,6744314
 "19000","Iowa",4,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",51277711,54018289,56757508,58305067,59791677,61936927,65915846,69146991,73668524,77111802,79751515,77743650,80000768,81966712,87000293,89456816,94509448,97842918,100057673,102043222,105900518,108172724,110095141,115859229
