GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",28531415,30218461,32723608,34054339,35161640,36440794,39412241,41979226,46227770,49227031,50388905,48624503,50432553,53273739,56177068,58403714,61801361,65475653,68009336,71888435,76435163,83031533,91448460,99549587
 "16000","Idaho",7,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571266,1586530,1600013,1618042,1640181,1662421,1696089,1734030,1768643,1808039,1847772,1900923
 "16000","Idaho",7,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32097,33579,35110,36095,37680,39386,40098,41457,43217,45924,49491,52369
 "16000","Idaho",7,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",20669390,22307327,24303725,25019718,25962613,26458935,28513914,30144799,33105975,34926133,34678125,33174509,34050237,35182471,36387185,38964528,40872558,42956305,44425502,47097644,50277180,54056800,58497776,63210380
 "16000","Idaho",7,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2483086,2615828,2847151,2893822,2978667,3100919,3310107,3588961,3997464,4193691,4225490,4134585,4316896,3945479,4045344,4667715,4856205,5072664,5327102,5694988,6056472,6394211,6972301,7479710
 "16000","Idaho",7,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1181569,1260049,1370989,1402679,1452074,1510801,1625347,1767524,1972303,2090455,2131367,2076276,2089058,1713072,1768350,2340503,2479932,2604951,2747837,2954194,3223412,3414006,3747160,4032531
 "16000","Idaho",7,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1301517,1355779,1476162,1491143,1526593,1590118,1684760,1821437,2025161,2103236,2094123,2058309,2227838,2232407,2276994,2327212,2376273,2467713,2579265,2740794,2833060,2980205,3225141,3447179
 "16000","Idaho",7,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",445740,510276,524248,516165,500616,511483,519787,513048,488864,510453,561797,655003,724161,869977,1098248,1130910,1233228,1222061,1284625,1338249,1384053,1624474,1620800,1789814
 "16000","Idaho",7,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",18632044,20201775,21980822,22642061,23484562,23869499,25723594,27068886,29597375,31242895,31014432,29694927,30457502,32106969,33440089,35427723,37249581,39105702,40383025,42740905,45604761,49287063,53146275,57520484
 "16000","Idaho",7,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6300920,6193554,6598109,6781394,6651464,7234399,7970828,8732299,9923909,10702110,10897119,9605842,9725620,10872740,12306521,12201989,13208907,14350169,15075468,15961393,16797004,18613774,19095534,19899815
 "16000","Idaho",7,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",3598451,3823132,4144677,4630884,5025614,5336896,5717819,6178041,6706486,7282026,8477354,9323734,10249431,10294030,10430458,10774002,11342873,12019782,12550843,13186137,14033398,15130696,19206651,22129288
