GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",154708362,160797555,171501465,175494336,178021079,182928699,191918747,198189001,209756226,217254190,227486536,221343202,231707192,246494012,258136431,261702287,272244928,282821367,290604355,300964630,315740439,329625049,354337721,384520045
 "18000","Indiana",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6491352,6521259,6546242,6581101,6609839,6628556,6658366,6685900,6725753,6761742,6785644,6805985
 "18000","Indiana",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52219,56497
 "18000","Indiana",3,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",116395080,122871003,130046205,131851519,134380026,138199357,145357255,149213187,156080151,159733412,163033538,155661176,163554317,173621800,181487667,187402906,192526442,198784362,204847140,212248788,222926703,231021065,237917301,256403842
 "18000","Indiana",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",13176087,13815370,14396496,14582080,14954327,15462977,16260094,16990277,17853615,18367739,18787163,18023903,18440790,17084034,17786533,20661528,21414524,22311262,22790113,23706089,24813881,25921823,27031323,28499537
 "18000","Indiana",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6858789,7205875,7500604,7634928,7863087,8077738,8487169,8846523,9388324,9711059,9987862,9626021,9847485,8044372,8343774,10957489,11384124,11887824,12221941,12805662,13537650,14172790,14857935,15711827
 "18000","Indiana",3,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",6317298,6609495,6895892,6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10030400,10423438,10568172,10900427,11276231,11749033,12173388,12787710
 "18000","Indiana",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2574168,2826151,3114474,3359929,3431386,3515224,3801090,4105028,4322089,4695529,4685977,4600637,4464649,4722386,4728953,5230674,5178181,5760391,5887416,6284515,6539425,7225008,7549207,7782639
 "18000","Indiana",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",105793161,111881784,118764183,120629368,122857085,126251604,132898251,136327938,142548625,146061202,148932352,142237910,149578176,161260152,168430087,171972052,176290099,182233491,187944443,194827214,204652247,212324250,218435185,235686944
 "18000","Indiana",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29610432,28713340,31001753,30836722,29661168,30163998,30947264,31293072,34211138,36580901,38512403,34854346,34814119,37874914,40848687,40493698,43365218,45900814,46653187,48618560,51169183,53731148,54220078,55208497
 "18000","Indiana",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",19304769,20202431,21735529,24028246,25502826,26513097,28073232,30567991,32996463,34612087,40041781,44250946,47314897,47358946,48857657,49236537,52589611,54687062,56006725,57518856,59919009,63569651,81682458,93624604
 "18000","Indiana",3,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",87044130,91587831,95775772,96496186,97991272,100505583,105572465,108663077,113129738,116694686,118218938,111453201,114358549,119136930,124641790,127532806,132284372,138764573,142956736,149639676,156189799,161236908,162830767,176914373
 "18000","Indiana",3,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",18558941,19903604,21642387,22101445,22823748,24027522,25156084,26564304,27802169,28764112,29329134,26892538,28005628,28672303,30248100,30325520,32883179,32981218,34047418,34960346,37329543,37773778,38076469,40125431
 "18000","Indiana",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",12241643,13294109,14746495,15154293,15732508,16642283,17383159,18420550,19336878,20107432,20529833,18494656,19412323,19632641,20805341,20621481,22852779,22557780,23479246,24059919,26053312,26024745,25903081,27337721
 "18000","Indiana",3,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",6317298,6609495,6895892,6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10030400,10423438,10568172,10900427,11276231,11749033,12173388,12787710
