GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",69763065,72120692,76105125,78664651,79365190,81890340,84335940,89346228,98610188,105943199,115852478,111697350,114239828,123558772,130948127,133979908,136878718,138336768,138533890,142421603,148523185,155125901,164333575,172918312
 "20000","Kansas",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858822,2872476,2891101,2901661,2911506,2922671,2927230,2927419,2931572,2933747,2935880,2934582
 "20000","Kansas",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39960,43015,45294,46174,47013,47332,47326,48651,50663,52876,55974,58924
 "20000","Kansas",4,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",51247463,53778182,56072632,58081418,58855424,60814217,62913216,66153579,71888398,76540586,82121092,79526565,81750298,87822825,93080405,98366974,98506858,99847600,98996720,101425494,105503429,109745773,112699130,117865091
 "20000","Kansas",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",6068454,6343138,6655813,6869934,7008361,7172781,7556560,7911241,8406937,8806941,9207010,9002859,9235760,8515986,8816128,10225399,10609601,11028204,10915915,11220230,11749655,12246527,12588261,12996797
 "20000","Kansas",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3125673,3276392,3432380,3537223,3618138,3680850,3857965,4067219,4355258,4656866,4858083,4778979,4812387,3949754,4071996,5347502,5597532,5736150,5835183,6009649,6344273,6644507,6843700,7051705
 "20000","Kansas",4,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2942781,3066746,3223433,3332711,3390223,3491931,3698595,3844022,4051679,4150075,4348927,4223880,4423373,4566232,4744132,4877897,5012069,5292054,5080732,5210581,5405382,5602020,5744561,5945092
 "20000","Kansas",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1064475,1018286,1121270,1133213,1197567,1169091,1118363,1260086,1368092,1253547,1413451,1694162,1674190,1238596,1640024,1366763,1187807,1156102,1275015,1540671,1552728,1650896,1442173,1588920
 "20000","Kansas",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",46243484,48453330,50538089,52344697,53044630,54810527,56475019,59502424,64849553,68987192,74327533,72217868,74188728,80545435,85904301,89508338,89085064,89975498,89355820,91745935,95306502,99150142,101553042,106457214
 "20000","Kansas",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",14975354,14765201,15916201,15770830,15111563,15370764,15820469,17147069,20117848,22269186,24972485,21453879,20861351,23387567,25689368,24832212,27412684,27244414,27293441,28126035,29586461,30916331,30790793,31472025
 "20000","Kansas",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",8544227,8902161,9650835,10549124,11208997,11709049,12040452,12696735,13642787,14686821,16552460,18025603,19189749,19625770,19354458,19639358,20380970,21116856,21884629,22549633,23630222,25059428,31989740,34989073
 "20000","Kansas",4,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",37317819,39438463,41766878,43269734,43875159,44488560,46702068,48537956,52083584,55442368,57623385,55605578,56089711,58104706,60616457,61872023,64457652,66729598,67253399,68820510,71585892,74420352,75849952,79971122
 "20000","Kansas",4,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",8125947,8565690,9056739,9521681,9799101,10325204,11057801,11550725,11695243,12686414,13659662,13011441,13852844,14333034,14171253,15554101,15863771,16281153,16090951,16405078,17173320,17595689,17522736,18056909
 "20000","Kansas",4,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",5183166,5498944,5833306,6188970,6408878,6833273,7359206,7706703,7643564,8536339,9310735,8787561,9429471,9766802,9427121,10676204,10851702,10989099,11010219,11194497,11767938,11993669,11778175,12111817
