GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",89452395,93315383,100691406,104126894,106568397,109876646,116453381,122305663,129361302,135056801,141572559,139861726,145301180,152218739,157635717,159224753,166717085,174331189,177190630,182391515,188348347,197356047,214052499,231179756
 "21000","Kentucky",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349138,4374212,4394010,4415821,4428679,4443606,4457599,4475723,4487233,4498141,4503958,4509394
 "21000","Kentucky",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33409,34799,35875,36058,37645,39232,39750,40751,41974,43875,47525,51266
 "21000","Kentucky",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",65425209,69459277,74352005,76453440,78538370,81600659,86825099,91231022,94922453,97771760,100015432,97209398,101246091,105326821,108897516,111809891,114725649,119196115,120747202,124445845,128675297,134399542,136712906,147305258
 "21000","Kentucky",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",7747591,8257424,8524750,8743239,9022213,9278053,9669427,10146761,10680700,11164069,11636074,11506230,11821947,10928454,11284036,12899098,13454492,14040357,14380159,14763969,15296105,15818543,16420340,17411577
 "21000","Kentucky",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3876479,4105370,4299045,4465680,4603944,4756861,4978733,5257227,5593738,5876630,6130552,6053661,6154683,5080812,5209163,6734360,7030056,7317394,7559442,7857509,8284891,8564011,8945091,9508138
 "21000","Kentucky",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",3871112,4152054,4225705,4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6424436,6722963,6820717,6906460,7011214,7254532,7475249,7903439
 "21000","Kentucky",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-187520,-271795,-294600,-443465,-509761,-735881,-927489,-1312817,-1359828,-1501814,-1792859,-1855045,-2140690,-2344115,-2397235,-2040997,-1974039,-2053379,-2009673,-2139983,-2420519,-2717451,-3004271,-3788805
 "21000","Kentucky",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",57490098,60930058,65532655,67266736,69006396,71586725,76228183,79771444,82881925,85105877,86586499,83848123,87283454,92054252,95216245,96869796,99297118,103102379,104357370,107541893,110958673,115863548,117288295,126104876
 "21000","Kentucky",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",16791305,16648953,18250587,18433537,17828744,17943088,18324869,19327195,21478340,23053676,24657285,22547395,22563310,24234255,26443993,25512278,27233062,28789180,30136468,30901456,32124113,34263719,34371425,35227124
