GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",163853853,173588820,189023506,199273079,206925251,216521541,230980240,243351451,256471520,267560847,279622862,277627489,287652437,303517765,312175752,311524042,322438196,337702762,350384383,361606216,371870268,384074286,405454629,430429331
 "24000","Maryland",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791559,5854282,5913919,5962350,6008975,6049289,6079669,6112835,6138786,6163628,6172679,6165129
 "24000","Maryland",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",31483,33036,35591,37076,38035,39394,41641,43515,45576,47327,49186,48448,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65685,69817
 "24000","Maryland",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",109283695,117257593,127177092,135214123,142349410,149255745,159794404,168325776,176506127,181506892,188435546,189003032,196501714,205952316,212269267,214207511,220091268,231235655,241592290,248638536,253811907,257709078,259114035,276098594
 "24000","Maryland",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11980412,12720933,13591068,14645922,15366456,16068117,17263176,18188886,19379291,20236448,21008973,20984809,21767921,20183227,20764377,23557147,24139196,25377874,25960404,26786711,28082675,29029705,29242442,31130262
 "24000","Maryland",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6118535,6538989,6966470,7518088,7923956,8270351,8721110,9273839,9911276,10441397,10866155,10880911,11071321,8968773,9172757,12108134,12553186,13169291,13563637,14164486,15004745,15545948,15635622,16464924
 "24000","Maryland",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",5861877,6181944,6624598,7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11586010,12208583,12396767,12622225,13077930,13483757,13606820,14665338
 "24000","Maryland",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",15668302,16746842,18990066,19867511,20232671,21098146,22545803,23607394,22949090,23614611,23076564,23232247,23631375,23278352,22940995,22902979,22088117,22416912,22488821,23039072,24571699,26560363,28013381,30065989
 "24000","Maryland",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",112971585,121283502,132576090,140435712,147215625,154285774,165077031,173744284,180075926,184885055,190503137,191250470,198365168,209047441,214445885,213553343,218040189,228274693,238120707,244890897,250300931,255239736,257884974,275034321
 "24000","Maryland",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",34594528,35043064,38201460,38960809,38359941,39253311,41908387,43623349,49358311,53321725,55687953,50361214,50093389,54115604,56961801,55755460,59580374,62853437,63298628,66764817,69048290,73773455,73464357,75265493
 "24000","Maryland",2,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",16287740,17262254,18245956,19876558,21349685,22982456,23994822,25983818,27037283,29354067,33431772,36015805,39193880,40354720,40768066,42215239,44817633,46574632,48965048,49950502,52521047,55061095,74105298,80129517
 "24000","Maryland",2,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",81897458,87495848,94526490,99865656,104280405,108724489,115067277,121409934,128331306,134318671,137461051,136268113,139248195,144310937,148855819,150129435,155246199,162493487,167576190,173710183,179739946,186253854,188881873,201439513
 "24000","Maryland",2,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",17306167,18658695,20095719,21055085,22740758,24284834,26370506,28169612,28874135,30158532,31388467,32872345,34171254,36044544,35940744,37290843,38777556,39843752,41113751,41850517,43420778,44019511,44526534,47169948
 "24000","Maryland",2,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",11444290,12476751,13471121,13927251,15298258,16487068,17828440,19254565,19406120,20363481,21245649,22768447,23474654,24830090,24349124,25841830,27191546,27635169,28716984,29228292,30342848,30535754,30919714,32504610
 "24000","Maryland",2,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",5861877,6181944,6624598,7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11586010,12208583,12396767,12622225,13077930,13483757,13606820,14665338
 "24000","Maryland",2,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",10080070,11103050,12554883,14293382,15328247,16246422,18356621,18746230,19300686,17029689,19586028,19862574,23082265,25596835,27472704,26787233,26067513,28898416,32902349,33077836,30651183,27435713,25705628,27489133
 "24000","Maryland",2,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",200833,234835,280584,275172,48414,151411,287350,256403,172862,136062,265386,282942,238132,352756,446607,603248,430108,317613,192812,379334,163550,382241,100919,443508
 "24000","Maryland",2,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",9879237,10868215,12274299,14018210,15279833,16095011,18069271,18489827,19127824,16893627,19320642,19579632,22844133,25244079,27026097,26183985,25637405,28580803,32709537,32698502,30487633,27053472,25604709,27045625
 "24000","Maryland",2,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",325008,349784,415977,417464,225400,309936,443846,383793,315453,307561,428672,437885,386534,479708,628270,786774,626099,480254,378208,593296,357676,542458,267165,611031
 "24000","Maryland",2,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",108958687,116907809,126761115,134796659,142124010,148945809,159350558,167941983,176190674,181199331,188006874,188565147,196115180,205472608,211640997,213420737,219465169,230755401,241214082,248045240,253454231,257166620,258846870,275487563
 "24000","Maryland",2,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",83961117,90889307,99050722,105498733,109355721,114333627,123100333,129499403,135599209,138407365,143195886,141446957,146437961,153860139,160104548,160928382,165695118,175120813,184240315,189581482,193268552,195474401,194268835,208255646
 "24000","Maryland",2,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",69168,73583,86804,91735,91927,84449,108059,107132,123496,97473,91504,87178,96337,89206,101967,102936,113559,129241,139288,143294,137833,137648,139186,134660
 "24000","Maryland",2,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",19459,18080,19151,17860,18248,19665,26918,28944,28454,17899,16267,12189,12053,12605,21893,24403,29496,31318,30399,29771,26425,28430,29252,26591
 "24000","Maryland",2,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",16456,19387,24366,24806,24898,15798,11479,9833,13450,11240,6635,6030,7620,7443,6716,5687,6867,12040,16395,18822,14889,13352,9708,14571
 "24000","Maryland",2,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",33253,36116,43287,49069,48781,48986,69662,68355,81592,68334,68602,68959,76664,69158,73358,72846,77196,85883,92494,94701,96519,95866,100226,93498
