GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",31232562,32656992,35107378,37058391,38323541,40247620,42315564,43421280,45599656,47357327,49445354,49402953,50603646,52789038,53782491,53742001,55863585,58331304,59959246,62372138,65015131,68862973,74805899,80254426
 "23000","Maine",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327961,1330029,1330899,1332596,1336530,1335653,1340177,1344851,1350525,1357487,1362280,1372247
 "23000","Maine",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54912,58484
 "23000","Maine",1,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",21468191,23055161,24661701,26114648,27166862,28261775,29737450,30299775,31853073,32515725,32991493,32676891,33749518,34171513,34910789,35368345,36478643,37949306,38959931,40514009,42262117,44144152,45954494,49770658
 "23000","Maine",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2543703,2683491,2815262,2949232,2973645,3059199,3217638,3322418,3540312,3696967,3802484,3723454,3830486,3509709,3610295,4183231,4270785,4494908,4618501,4787885,5055511,5268443,5507579,5914374
 "23000","Maine",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1278554,1357252,1419889,1518398,1576090,1634557,1736120,1806378,1936299,2031198,2090394,2053767,2083868,1714860,1759463,2283128,2352861,2476050,2586775,2695856,2884369,2994463,3147252,3374203
 "23000","Maine",1,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1265149,1326239,1395373,1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1917924,2018858,2031726,2092029,2171142,2273980,2360327,2540171
 "23000","Maine",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",518681,584388,701159,712421,676701,656573,682295,689232,722479,722914,705716,687764,729439,796248,831859,870341,928085,985450,1002684,1019733,1069366,1125768,1136099,1336763
 "23000","Maine",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",19443169,20956058,22547598,23877837,24869918,25859149,27202107,27666589,29035240,29541672,29894725,29641201,30648471,31458052,32132353,32055455,33135943,34439848,35344114,36745857,38275972,40001477,41583014,45193047
 "23000","Maine",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6648547,6409546,6937820,7124718,6992599,7359210,7624281,7611419,8225253,8867087,9226591,8552381,8623746,9513804,9897153,9690429,10388057,11048441,11463891,12021862,12348819,13718434,13744157,14055207
