GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",287264744,300654040,330613568,341787737,346163495,354361814,370214789,384731419,413114576,438001097,451052135,436503978,449927051,470008136,487527661,492488242,515515069,537105894,552051391,573105544,598428675,633651027,663544070,713720594
 "34000","New Jersey",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8809058,8876959,8933292,8984801,9033845,9076577,9119862,9174898,9218858,9258804,9279743,9267130
 "34000","New Jersey",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71505,77016
 "34000","New Jersey",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",201798426,213357244,234153627,242111326,249787119,257236522,268300867,277308510,290110258,300404324,305489929,300804181,306929720,313041574,325057571,335301053,346995402,359563483,367220069,380690283,396641517,411955633,411690734,440469029
 "34000","New Jersey",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",22685478,23765518,25554912,26592891,27298962,27735899,29106383,30543159,31791701,33660139,34557185,33747394,34242763,31436044,32108163,37383583,38484048,39787801,40434220,42190055,43437171,45014856,45124752,48462844
 "34000","New Jersey",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",11448130,12065743,12938158,13490987,14007838,14372869,15132393,15988795,16884321,17734211,18193104,17776731,17929870,14538664,14660467,19410927,20159843,20906035,21487962,22694996,23601588,24629943,24645170,26458869
 "34000","New Jersey",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18881766,18946258,19495059,19835583,20384913,20479582,22003975
 "34000","New Jersey",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",19596251,21496265,24547035,25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40739809,43679343,45674393,47416858,50580432,55139476,61753678,60148569,70885860
 "34000","New Jersey",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",198709199,211087991,233145750,240699828,245293937,252553880,265317043,275331356,292171600,307019699,310477936,298167700,307720801,320702220,332691560,338657279,352190697,365450075,374202707,389080660,408343822,428694455,426714551,462892045
 "34000","New Jersey",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",56840667,56526774,62206197,61890154,58467401,58929745,61443122,63640449,71255541,78926571,81846374,73071889,71487999,77852151,84513076,82852722,89399435,95171370,98652458,103180141,105957916,116751266,116128839,119365762
