GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",600946914,637109240,685783350,711466252,709784990,720548897,754007427,782224915,843047510,907402575,925727617,907953383,947076555,997755770,1049158190,1062135398,1105907821,1154722863,1194534615,1270251568,1311427484,1362298580,1442624642,1524128529
 "36000","New York",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19419964,19600908,19757479,19892169,20002008,20088855,20150838,20190489,20222664,20222325,20154933,19835913
 "36000","New York",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",32040,33740,36090,37283,37088,37576,39329,40884,44128,47428,48184,47027,48768,50904,53102,53395,55290,57481,59280,62913,64849,67366,71577,76837
 "36000","New York",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",469693251,505520129,548638706,572190478,568796172,574122019,600412718,620243695,664142288,712531182,718658019,696326666,733082932,762983515,798319288,819361847,849097075,879355800,908085336,961720058,1009225864,1044083679,1035767068,1121341126
 "36000","New York",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",47879824,50241586,54136576,56439048,57355886,59157857,62072631,64893755,68629118,72625473,75326751,73029289,74823119,68971060,70737515,83124881,87657079,91563774,93800325,99217968,102941474,107451540,106014370,113618024
 "36000","New York",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",23737501,25199464,27025328,28105928,28432117,29241119,30710168,32386111,34486555,36839939,38231597,37325747,38214460,31063938,31651656,42442669,44559732,46636333,48262060,51500375,54144080,56747214,56090412,59790836
 "36000","New York",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",24142323,25042122,27111248,28333120,28923769,29916738,31362463,32507644,34142563,35785534,37095154,35703542,36608659,37907122,39085859,40682212,43097347,44927441,45538265,47717593,48797394,50704326,49923958,53827188
 "36000","New York",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-27292787,-28503108,-32299036,-33136832,-30952046,-31551264,-36227480,-40206593,-46842264,-55897849,-56377481,-43993043,-50245939,-53963637,-56380011,-56260008,-60207271,-62458581,-64052377,-69831979,-76616777,-87090019,-85198672,-100892491
 "36000","New York",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",394520640,426775435,462203094,482614598,480488240,483412898,502112607,515143347,548670906,584007860,586953787,579304334,608013874,640048818,671201762,679976958,701232725,725333445,750232634,792670111,829667613,849542120,844554026,906830611
 "36000","New York",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",113098542,114167058,122934001,121638976,112710987,115632687,121021038,136756031,156883423,179712146,181702555,156587103,156591284,172074385,193668068,196286249,214754768,229153194,239075415,255957754,267131981,282223334,278556563,285407979
