GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",74933702,77034229,83519163,88786321,90797895,95327581,103161585,113042769,125269188,129786517,144283135,133523584,140140348,150709925,161128385,169382612,180468965,175133987,166547739,174159575,182341177,191851585,200152893,214760676
 "40000","Oklahoma",6,SAINC5N,20,"...","Population (persons) 2/","Number of persons",3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3962031,3986639
 "40000","Oklahoma",6,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44423,46415,48646,50518,53870
 "40000","Oklahoma",6,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",53397021,54842686,59043757,62898658,64569664,67850580,74048465,81176457,89605846,90441658,100701145,91220148,95585726,102460175,110270824,119829783,127657081,122246846,113349404,118883733,124682713,130478299,129527629,136833849
 "40000","Oklahoma",6,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",6032894,6218019,6599721,7047315,7256379,7472677,7997921,8476381,9115668,9592885,10043832,9852370,10092092,9729618,10320293,11897321,12224014,12303460,12059411,12540750,13263527,13750286,13949452,14472527
 "40000","Oklahoma",6,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3158378,3293291,3479513,3683285,3762537,3825059,4040503,4324550,4735789,5042774,5335890,5236277,5357358,4460121,4652168,6085079,6395142,6514722,6571651,6849510,7284544,7557528,7715015,7964614
 "40000","Oklahoma",6,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2874516,2924728,3120208,3364030,3493842,3647618,3957418,4151831,4379879,4550111,4707942,4616093,4734734,5269497,5668125,5812242,5828872,5788738,5487760,5691240,5978983,6192758,6234437,6507913
 "40000","Oklahoma",6,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",892751,938922,1018803,1013994,986582,967672,950012,912281,884117,848225,792980,681730,614695,563848,554791,474506,464933,437420,458433,443368,476090,481968,491084,645489
 "40000","Oklahoma",6,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",48256878,49563589,53462839,56865337,58299867,61345575,67000556,73612357,81374295,81696998,91450293,82049508,86108329,93294405,100505322,108406968,115898000,110380806,101748426,106786351,111895276,117209981,116069261,123006811
 "40000","Oklahoma",6,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",15088178,15365604,17259503,17788789,17400050,17890703,19162041,21169945,23891346,26642613,28774512,25529350,26344515,29392198,31981266,31716512,34398145,33567066,32647967,34089180,36091173,38022623,37916488,39565305
 "40000","Oklahoma",6,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",11588646,12105036,12796821,14132195,15097978,16091303,16998988,18260467,20003547,21446906,24058330,25944726,27687504,28023322,28641797,29259132,30172820,31186115,32151346,33284044,34354728,36618981,46167144,52188560
 "40000","Oklahoma",6,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",38191567,39820646,42486440,44622573,45163471,46229981,48461585,51103311,56331289,59591186,63295061,61158965,62362798,66167722,70150020,72301874,75566564,76949862,75695069,78195802,82163596,85260288,84169376,88053358
