GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",87241012,90336969,97354718,99975868,101008586,104740846,110638813,116691610,127440174,133555555,139412180,134493278,138291590,145596106,153547958,156130012,167077325,179600218,188283318,198957532,211541630,222256958,241790308,261546508
 "41000","Oregon",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837611,3872655,3900071,3924064,3965387,4018466,4093179,4147186,4183414,4215976,4241544,4246155
 "41000","Oregon",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26023,26617,28386,28829,28749,29526,30996,32296,34716,35879,36992,35313,36036,37596,39371,39788,42134,44694,45999,47974,50567,52718,57005,61596
 "41000","Oregon",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",67000387,70515926,76476184,77901978,78893035,81753912,86826374,91516988,98741277,102280159,103230207,97638055,99556290,103608064,109896809,113774680,119703667,128203551,135073702,143219011,152351432,159761541,165380900,178777570
 "41000","Oregon",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",8365892,8725945,9417230,9449281,9605017,9913988,10617007,11208388,12041905,12548793,12716501,12203628,12551370,11569438,12111936,14201431,15043027,15900091,16632979,17835241,18597440,19583976,20110756,21476533
 "41000","Oregon",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3930829,4132997,4404028,4500813,4586180,4699005,5006006,5379006,5874753,6186444,6315282,6060902,6158038,5079312,5273897,7013846,7470935,7956752,8397975,9008462,9563494,10157948,10543021,11137024
 "41000","Oregon",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",4435063,4592948,5013202,4948468,5018837,5214983,5611001,5829382,6167152,6362349,6401219,6142726,6393332,6490126,6838039,7187585,7572092,7943339,8235004,8826779,9033946,9426028,9567735,10339509
 "41000","Oregon",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1663632,-1757016,-1998797,-2110990,-2190262,-2367909,-2593911,-2885429,-3274417,-3545631,-3666728,-3489946,-3370645,-3702636,-3913659,-3908944,-3890025,-4144728,-4526825,-4749990,-5129949,-5479185,-5721234,-5991994
 "41000","Oregon",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",56970863,60032965,65060157,66341707,67097756,69472015,73615456,77423171,83424955,86185735,86846978,81944481,83634275,88335990,93871214,95664305,100770615,108158732,113913898,120633780,128624043,134698380,139548910,151309043
 "41000","Oregon",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18871446,17897814,19245187,18981770,18090008,19009809,20293712,21599466,25010794,26949017,28854704,25467714,25375592,27573548,30017627,29716090,32634632,35598080,37487819,40325683,42639367,44866431,45417353,46810409
 "41000","Oregon",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",11398703,12406190,13049374,14652391,15820822,16259022,16729645,17668973,19004425,20420803,23710498,27081083,29281723,29686568,29659117,30749617,33672078,35843406,36881601,37998069,40278220,42692147,56824045,63427056
 "41000","Oregon",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",47926280,50950564,55205663,55728283,55852595,57246037,60498099,64328444,68962522,72685962,73776161,69788357,70863621,73912672,77112304,80131040,85059610,91061479,95880669,101316835,107236658,112925287,115778938,126291390
 "41000","Oregon",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",11707717,12171219,13542037,14318377,14608720,15377770,16223752,16909780,18035291,18857414,19176114,18944233,18785167,19073536,20551640,20858073,21039544,22124254,22905055,24537209,26247285,27642865,28612104,30493856
 "41000","Oregon",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",7272654,7578271,8528835,9369909,9589883,10162787,10612751,11080398,11868139,12495065,12774895,12801507,12391835,12583410,13713601,13670488,13467452,14180915,14670051,15710430,17213339,18216837,19044369,20154347
 "41000","Oregon",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",4435063,4592948,5013202,4948468,5018837,5214983,5611001,5829382,6167152,6362349,6401219,6142726,6393332,6490126,6838039,7187585,7572092,7943339,8235004,8826779,9033946,9426028,9567735,10339509
 "41000","Oregon",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",7366390,7394143,7728484,7855318,8431720,9130105,10104523,10278764,11743464,10736783,10277932,8905465,9907502,10621856,12232865,12785567,13604513,15017818,16287978,17364967,18867489,19193389,20989858,21992324
 "41000","Oregon",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",225629,97803,85203,93196,142372,411930,478421,351192,449591,297940,298823,5003,64951,303450,437154,565627,552059,941246,743699,190860,265390,336715,286368,182916
