GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",18111949,18989979,20275491,20953759,20955087,22890291,24671652,26202314,27640275,30673887,32898723,31893747,33804000,36842808,37844222,38365923,40252253,41912669,42336778,43599021,45660858,48797036,53621515,57717754
 "46000","South Dakota",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816078,823160,832800,841206,847634,852134,860650,870163,875300,882507,887099,895376
 "46000","South Dakota",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",24277,25306,26825,27645,27572,29972,32025,33788,35299,38748,41168,39518,41423,44758,45442,45608,47488,49186,49192,50104,52166,55294,60446,64462
 "46000","South Dakota",4,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",13131755,13834836,14674234,14921574,14920469,16561638,17968485,18884059,19462632,21478390,22685300,22178144,23583669,25888278,26098820,27230424,28027572,28746019,28650122,29392171,31132793,33067578,35992603,38919395
 "46000","South Dakota",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1385188,1481896,1567511,1617184,1677458,1753910,1847355,1937412,2081327,2214162,2321764,2317618,2427065,2225056,2328351,2684596,2842597,2947474,3031219,3161271,3288877,3506735,3767698,3957154
 "46000","South Dakota",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",763451,814885,858558,878499,910913,959185,1010166,1067597,1147660,1224697,1279895,1277481,1310840,1096755,1145649,1474394,1566838,1636120,1674133,1763963,1851303,1983731,2138158,2250754
 "46000","South Dakota",4,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",621737,667011,708953,738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275759,1311354,1357086,1397308,1437574,1523004,1629540,1706400
 "46000","South Dakota",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-232595,-249329,-267140,-264747,-236732,-225216,-220982,-171335,-141308,-139451,-103518,-68843,-71299,-113017,-72008,-38575,-21515,-11479,-53237,-111921,-126355,-139902,-166514,-209904
 "46000","South Dakota",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",11513972,12103611,12839583,13039643,13006279,14582512,15900148,16775312,17239997,19124777,20260018,19791683,21085305,23550205,23698461,24507253,25163460,25787066,25565666,26118979,27717561,29420941,32058391,34752337
 "46000","South Dakota",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4209089,4402956,4778112,5040385,4883612,5143143,5434016,5853657,6518674,7387992,7904122,7123856,7340530,7822158,8669886,8252802,9152806,9862417,10253610,10675959,10798833,11798080,11923439,12198838
 "46000","South Dakota",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",2388888,2483412,2657796,2873731,3065196,3164636,3337488,3573345,3881604,4161118,4734583,4978208,5378165,5470445,5475875,5605868,5935987,6263186,6517502,6804083,7144464,7578015,9639685,10766579
 "46000","South Dakota",4,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",8416334,9029033,9631622,10013729,10340108,10719482,11318653,11812080,12487547,13348539,14043928,13943470,14346751,14949889,15753600,16135987,17002592,17736550,18368838,19065125,19826705,20695206,21771937,23346225
