GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",139897242,145517190,154378504,158384637,162942356,170160259,180115351,189003815,201325219,210986900,219027311,217218572,227882962,241617612,254470632,256753847,267288734,281281093,290239862,302461645,319022245,338609203,362278148,394520369
 "47000","Tennessee",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356320,6404344,6463111,6507640,6558710,6612901,6672356,6739437,6806545,6862378,6920119,6975218
 "47000","Tennessee",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25116,25807,27066,27541,28113,29098,30472,31548,33065,34164,35059,34446,35851,37727,39373,39454,40753,42535,43499,44879,46870,49343,52351,56560
 "47000","Tennessee",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",110303791,115606593,121921922,124037951,128551659,133541387,142092192,147630221,156151059,160569827,162066032,159126076,164571873,173608092,183866940,188643192,196880005,207075935,214320309,223707545,235168216,246878279,254807131,279397971
 "47000","Tennessee",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11707894,12360800,12927670,13336813,13951719,14455489,15256754,15888777,16747649,17528759,17985573,17638661,17983394,16677575,17198836,19853377,20599829,21641506,22455362,23726239,24855544,26161827,27306720,28769151
 "47000","Tennessee",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6106700,6478622,6769394,7040087,7378828,7618897,8093325,8562412,9161142,9646179,9866359,9583638,9773522,8132833,8380803,10957551,11574565,12141197,12675586,13431451,14225466,14919180,15644000,16535958
 "47000","Tennessee",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",5601194,5882178,6158276,6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9025264,9500309,9779776,10294788,10630078,11242647,11662720,12233193
 "47000","Tennessee",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1174757,-1358853,-1549708,-1563074,-1548337,-1555383,-1639356,-1454069,-1382024,-1482005,-1383193,-968162,-746817,-759518,-1072824,-1241281,-1197260,-1317462,-1591231,-1752543,-1959843,-2315224,-2280807,-2556714
 "47000","Tennessee",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",97421140,101886940,107444544,109138064,113051603,117530515,125196082,130287375,138021386,141559063,142697266,140519253,145841662,156170999,165595280,167548534,175082916,184116967,190273716,198228763,208352829,218401228,225219604,248072106
 "47000","Tennessee",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",21983731,22253434,23738918,23956302,22764843,23838402,24295458,25952412,28705620,31387852,33558399,30679422,31630774,34060436,36986764,35776677,38137268,40313951,41882179,44454617,47848715,53518432,53478633,54568033
 "47000","Tennessee",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",20492371,21376816,23195042,25290271,27125910,28791342,30623811,32764028,34598213,38039985,42771646,46019897,50410526,51386177,51888588,53428636,54068550,56850175,58083967,59778265,62820701,66689543,83579911,91880230
 "47000","Tennessee",5,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",76348383,80562188,84731811,86150248,88371883,91357612,96727527,100725381,107003912,111984284,113679172,107955297,111157095,115350719,121832599,124031573,129860237,137496233,142847705,149234251,156798808,163719440,167587498,185473365
 "47000","Tennessee",5,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",16027029,17151876,18408618,18906719,19859202,21520445,23024518,24191086,24120489,25358034,26295282,25280617,25200495,26346792,28777542,29511672,29445921,30258696,31027036,32572117,34557290,35796669,36494903,38732094
 "47000","Tennessee",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",10425835,11269698,12250342,12609993,13286311,14683853,15861089,16864721,16533982,17475454,18176068,17225594,16990623,17802050,19959509,20615846,20420657,20758387,21247260,22277329,23927212,24554022,24832183,26498901
 "47000","Tennessee",5,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",5601194,5882178,6158276,6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9025264,9500309,9779776,10294788,10630078,11242647,11662720,12233193
 "47000","Tennessee",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",17928379,17892529,18781493,18980984,20320574,20663330,22340147,22713754,25026658,23227509,22091578,25890162,28214283,31910581,33256799,35099947,37573847,39321006,40445568,41901177,43812118,47362170,50724730,55192512
 "47000","Tennessee",5,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",50185,-99616,186964,296639,-104339,-18263,168288,369746,79601,-346365,20157,105335,-84637,344545,99579,780164,139189,139646,-256943,-214583,-549255,-163232,-255483,400209
