GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",515146583,545418168,594465991,631990751,640381588,665861136,698584438,757968624,832292050,883810360,971051195,924343949,985165114,1077403282,1152725226,1184840515,1274636863,1300510099,1296480756,1387922561,1482714132,1560503548,1624525770,1767681687
 "48000","Texas",6,SAINC5N,20,"...","Population (persons) 2/","Number of persons",20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29217653,29527941
 "48000","Texas",6,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39034,42037,44241,44816,47370,47465,46586,49231,52005,54076,55601,59865
 "48000","Texas",6,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",409826731,437476646,476392598,508673770,512831199,527957282,553934873,591728001,649052502,680174875,725432341,688288264,730869845,790794845,848505462,888553594,952403483,961959985,959118595,1024722545,1094931549,1141706004,1130400645,1221380863
 "48000","Texas",6,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",40840384,43359862,46650055,49028237,49635751,51831794,54535196,58075232,62119572,66491807,69842857,69360826,72174368,67989236,72069483,85197008,90377090,94470237,96840678,102437312,107505646,112837464,114080970,122171747
 "48000","Texas",6,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",21230023,22608868,24285563,25549897,25987803,26386925,27871030,29893256,32395036,34886813,37154170,36880826,37817769,31408014,33141925,44751777,47645292,49731746,51171557,54345220,57715585,60848072,61624283,66219528
 "48000","Texas",6,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",19610361,20750994,22364492,23478340,23647948,25444869,26664166,28181976,29724536,31604994,32688687,32480000,34356599,36581222,38927558,40445231,42731798,44738491,45669121,48092092,49790061,51989392,52456687,55952219
 "48000","Texas",6,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1058403,-1082765,-1180108,-1184953,-1134783,-1059545,-977475,-947660,-1033813,-1121288,-1190061,-1395910,-1527471,-1839812,-2207927,-2397312,-2463091,-2451699,-2149479,-1890155,-1992824,-2393669,-2173655,-2173771
 "48000","Texas",6,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",367927944,393034019,428562435,458460580,462060665,475065943,498422202,532705109,585899117,612561780,654399423,617531528,657168006,720965797,774228052,800959274,859563302,865038049,860128438,920395078,985433079,1026474871,1014146020,1097035345
 "48000","Texas",6,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",87823061,91249602,101116483,102568503,100260677,107297531,112121674,127709098,142164897,156726138,186423584,164026407,169382622,192215132,214785197,214338939,237005839,245488145,236753244,262826694,282988003,307860108,304653942,321299965
 "48000","Texas",6,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",59395578,61134547,64787073,70961668,78060246,83497662,88040562,97554417,104228036,114522442,130228188,142786014,158614486,164222353,163711977,169542302,178067722,189983905,199599074,204700789,214293050,226168569,305725808,349346377
 "48000","Texas",6,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",291035692,310514965,339022925,352372323,351936090,358092262,377505841,403719889,441805989,479339340,503933460,487488989,501475412,532550324,568953207,590997212,633138813,661819462,671133850,701771599,743499736,787639807,793112287,861407563
 "48000","Texas",6,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",57014643,60687168,66507393,71701148,74563859,80000305,83005179,87896692,94170625,97807112,100372484,103417770,108343763,110586011,117676948,126227917,132565183,138757953,141420167,148148965,158569443,164962478,164361522,172992114
 "48000","Texas",6,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",37404282,39936174,44142901,48222808,50915911,54555436,56341013,59714716,64446089,66202118,67683797,70937770,73987164,74004789,78749390,85782686,89833385,94019462,95751046,100056873,108779382,112973086,111904835,117039895
 "48000","Texas",6,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",19610361,20750994,22364492,23478340,23647948,25444869,26664166,28181976,29724536,31604994,32688687,32480000,34356599,36581222,38927558,40445231,42731798,44738491,45669121,48092092,49790061,51989392,52456687,55952219
 "48000","Texas",6,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",61776396,66274513,70862280,84600299,86331250,89864715,93423853,100111420,113075888,103028423,121126397,97381505,121050670,147658510,161875307,171328465,186699487,161382570,146564578,174801981,192862370,189103719,172926836,186981186
 "48000","Texas",6,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",2049299,3393056,2494841,3030323,3283744,4390269,4344291,3817255,2274766,2293310,-185254,-433376,1992627,1267828,1026526,3775048,2771099,4895675,1330194,2093431,1114394,1691900,1689805,3412509
