GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",48227506,50859248,54450819,56922719,58562908,60872629,64886832,71095264,79116039,86153056,90386888,86761575,89439153,96356694,102990773,106176204,112620169,121339160,127881434,135162181,145255769,157045208,171385445,186990527
 "49000","Utah",7,SAINC5N,20,"...","Population (persons) 2/","Number of persons",2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776094,2818261,2860480,2908068,2950652,2999092,3063043,3125784,3180896,3232701,3281684,3337975
 "49000","Utah",7,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32218,34190,36005,36511,38168,40459,41750,43241,45665,48580,52225,56019
 "49000","Utah",7,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",38657871,41176495,43743721,45587013,46606453,48157122,51874820,56031232,62657897,67272950,68551369,65579774,66943359,71061136,76465084,80398262,84821494,90423853,95120665,100469393,108262900,116428931,124919057,135242519
 "49000","Utah",7,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4484349,4729934,5046092,5291643,5426809,5651106,6128272,6638718,7281619,7829310,8021946,7768344,7863091,7463861,7853910,9301952,9791145,10231954,10759232,11411854,12015498,12781041,13747397,14768516
 "49000","Utah",7,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",2232340,2381583,2531562,2636880,2699852,2771203,2978408,3221142,3574376,3914432,4013317,3928393,4006173,3270612,3440013,4668526,4943847,5206484,5498701,6004172,6377644,6805909,7342564,7869186
 "49000","Utah",7,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2252009,2348351,2514530,2654763,2726957,2879903,3149864,3417576,3707243,3914878,4008629,3839951,3856918,4193249,4413897,4633426,4847298,5025470,5260531,5407682,5637854,5975132,6404833,6899330
 "49000","Utah",7,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3824,-1320,4884,-216,-2433,956,1675,14979,19274,15625,33392,7019,946,-1393,16092,27239,33755,8047,-27600,-33461,-30888,-48744,-101339,-142949
 "49000","Utah",7,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",34169698,36445241,38702513,40295154,41177211,42506972,45748223,49407493,55395552,59459265,60562815,57818449,59081214,63595882,68627266,71123549,75064104,80199946,84333833,89024078,96216514,103599146,111070321,120331054
 "49000","Utah",7,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",9210528,9295071,10249099,10596339,10784503,11340307,11699604,13577930,14909770,17091995,18609887,16533580,16591376,18540892,20252764,20461878,22452827,25082659,26768913,28898946,30705279,33496254,34494413,36161563
 "49000","Utah",7,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",4847280,5118936,5499207,6031226,6601194,7025350,7439005,8109841,8810717,9601796,11214186,12409546,13766563,14219920,14110743,14590777,15103238,16056555,16778688,17239157,18333976,19949808,25820711,30497910
 "49000","Utah",7,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",28814471,30632372,32974823,34266548,34841351,35682709,38109151,40870280,45069706,49200072,50592034,48863474,49604354,51946746,55084989,57349385,60570007,64650201,68337987,72531809,78010004,83825443,89680125,98905986
 "49000","Utah",7,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",6220505,6674161,7141124,7669638,7957267,8445775,9292508,10130620,11319316,12044872,12472520,12138899,12178107,13179342,13326083,14591270,14821458,15484264,16326626,17252282,18640844,19321326,20071716,21218296
