GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",15426625,16303841,17687618,18804820,19212249,19980138,21131250,21666544,23051976,24280942,25603938,25291705,26140047,27690554,28554400,28964344,30195918,31078990,31575635,32445456,33576982,35584488,38097699,39949416
 "50000","Vermont",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642495,645570
 "50000","Vermont",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41733,43982,45277,45770,47641,48876,49621,50771,52409,55442,59296,61882
 "50000","Vermont",1,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",10834640,11689580,12684504,13506631,13971133,14468931,15316843,15791300,16277548,16831342,17362003,17133953,17818411,18606644,19111377,19531088,19836769,20318578,20642809,21360110,22059640,22870801,23098764,24539875
 "50000","Vermont",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1266159,1343292,1434689,1522650,1552415,1620412,1709047,1795068,1884137,1991102,2054387,2032121,2065371,1930846,2005007,2326198,2427317,2523411,2581426,2688316,2755311,2792616,2848359,2909764
 "50000","Vermont",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",659335,703714,749035,800736,825058,862799,914678,966939,1021605,1086376,1110198,1094693,1102905,911069,926197,1216167,1279204,1326443,1361658,1420903,1486020,1528213,1571785,1641125
 "50000","Vermont",1,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",606824,639578,685654,721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1148113,1196968,1219768,1267413,1269291,1264403,1276574,1268639
 "50000","Vermont",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",174300,195548,226789,236785,234822,251074,237467,249710,281370,291302,285510,331562,330181,305269,312528,337802,370649,370716,378320,418976,430770,493484,543915,657820
 "50000","Vermont",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",9742781,10541836,11476604,12220766,12653540,13099593,13845263,14245942,14674781,15131542,15593126,15433394,16083221,16981067,17418898,17542692,17780101,18165883,18439703,19090770,19735099,20571669,20794320,22287931
 "50000","Vermont",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3566763,3498040,3773804,3911435,3703046,3891187,4163353,4020150,4597507,4968934,5350288,4799868,4709302,5312471,5610806,5625316,6358593,6660218,6761075,6891343,7099919,7957363,7890137,8100491
