GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",170274853,180875799,193410020,198030996,201013586,209084894,224764687,233923199,255002627,276678424,290319382,277305285,285579891,302075863,326698847,333763661,359690641,381158080,401774275,426442657,454583523,490322144,527581834,570920801
 "53000","Washington",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743597,6830460,6904030,6974173,7068026,7180454,7315935,7446807,7548537,7638689,7718785,7738692
 "53000","Washington",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29513,30958,32723,33084,33212,34253,36378,37384,40027,42819,44241,41591,42348,44225,47320,47857,50890,53083,54918,57265,60221,64189,68350,73775
 "53000","Washington",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",128638260,139694124,148773616,151171177,154079968,159188865,167580571,177025528,190041201,202944339,208018283,198671590,204082996,213750656,229964477,241127222,254023962,268017753,282071422,302112248,326137045,346057808,361129239,392581079
 "53000","Washington",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16245428,17001737,18407022,18148607,18542781,19320398,20549909,21864184,23187134,24437534,25047004,24818219,25467946,23940496,24700218,28901382,30392377,32080694,33518335,36100903,38229303,39749043,41827700,44402855
 "53000","Washington",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",7368796,7847343,8400551,8318550,8579845,8832430,9296057,9953241,10820592,11591170,12067283,11882024,11983758,9814827,10239055,13812426,14530487,15398512,16297919,17669951,18957810,20161743,21053146,22288287
 "53000","Washington",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",8876632,9154394,10006471,9830057,9962936,10487968,11253852,11910943,12366542,12846364,12979721,12936195,13484188,14125669,14461163,15088956,15861890,16682182,17220416,18430952,19271493,19587300,20774554,22114568
 "53000","Washington",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1891989,1958446,2281047,2375974,2432446,2568234,2767428,3034985,3441882,3665107,3681602,3394079,3240932,3524946,3609326,3581459,3536379,3829555,4107553,4279890,4618636,4759239,4960540,5165600
 "53000","Washington",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",114284821,124650833,132647641,135398544,137969633,142436701,149798090,158196329,170295949,182171912,186652881,177247450,181855982,193335106,208873585,215807299,227167964,239766614,252660640,270291235,292526378,311068004,324262079,353343824
 "53000","Washington",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",36196289,35239227,38347479,37515499,36332277,38680345,46560012,45629846,52403891,59512533,63375485,54613264,53545186,58792999,67779437,67010332,76852669,84654781,89214617,94568460,97597259,110525496,110446208,114052054
