GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",37123018,38114073,40327673,42791913,44263425,44986864,46658446,49118578,52467619,54490757,58167097,58608638,60753800,64227278,65898534,65572756,67764369,69178579,68630112,71344508,74740033,77329870,80971182,86451772
 "54000","West Virginia",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1789798,1782959
 "54000","West Virginia",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",20447,21037,22317,23754,24517,24823,25687,26981,28704,29711,31607,31718,32762,34581,35453,35318,36570,37468,37380,39140,41279,42951,45240,48488
 "54000","West Virginia",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",24934470,25907045,27406301,28659645,29420371,30020968,31555056,33322736,35267160,35548677,37155834,36978934,38140888,40293735,41538059,41645557,42215037,42401292,41271675,43336908,46583445,47096657,45679978,48098879
 "54000","West Virginia",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3720719,3826208,4141034,4114559,4061066,4253249,4381327,4570932,4626997,4508075,4545899,4598330,4701860,4381205,4499170,5048561,5202580,5259018,5280150,5511247,5838119,5842700,5882744,6098017
 "54000","West Virginia",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1544870,1604918,1658166,1754041,1777464,1859290,1959810,2074978,2216444,2337051,2466577,2474461,2532033,2116295,2162610,2720259,2816210,2844265,2857561,3027146,3231427,3249834,3293898,3439373
 "54000","West Virginia",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175849,2221290,2482868,2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2386370,2414753,2422589,2484101,2606692,2592866,2588846,2658644
 "54000","West Virginia",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",438830,500815,625245,772281,816823,961222,1090186,1289302,1336431,1485513,1440814,1328214,1458926,1467494,1214866,1255878,1469461,1468781,1712085,1619117,1232824,1725341,2091078,2342813
 "54000","West Virginia",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",21652581,22581652,23890512,25317367,26176128,26728941,28263915,30041106,31976594,32526115,34050749,33708818,34897954,37380024,38253755,37852874,38481918,38611055,37703610,39444778,41978150,42979298,41888312,44343675
 "54000","West Virginia",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6797645,6679508,7149782,7213464,7000454,6896891,7035144,7282667,7890419,8633925,9327704,8934688,9014783,9875177,10345747,10081454,10710665,11108242,11019796,11394518,11765556,12718747,12499577,12817678
 "54000","West Virginia",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",8672792,8852913,9287379,10261082,11086843,11361032,11359387,11794805,12600606,13330717,14788644,15965132,16841063,16972077,17299032,17638428,18571786,19459282,19906706,20505212,20996327,21631825,26583293,29290419
 "54000","West Virginia",5,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",17901595,18473498,19249275,19983879,20410261,20809727,21889543,22827556,24138271,25175445,26728096,26703857,27251083,28586785,29436518,29480048,30106489,30264851,29719014,30904915,33295587,33412483,32538143,34501734
 "54000","West Virginia",5,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",4681877,4877739,5280789,5401348,5544964,5887856,6151584,6449534,7017326,6889490,7060234,7011952,7034274,7412642,7891259,7999096,7712926,8069200,7657750,8218068,8723441,8994786,8737323,8973815
 "54000","West Virginia",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",2506028,2656449,2797921,3040830,3261362,3493897,3730067,3953580,4606773,4718466,4980912,4888083,4864447,5147732,5554699,5670794,5326556,5654447,5235161,5733967,6116749,6401920,6148477,6315171
 "54000","West Virginia",5,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175849,2221290,2482868,2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2386370,2414753,2422589,2484101,2606692,2592866,2588846,2658644
 "54000","West Virginia",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",2350998,2555808,2876237,3274418,3465146,3323385,3513929,4045646,4111563,3483742,3367504,3263125,3855531,4294308,4210282,4166413,4395622,4067241,3894911,4213925,4564417,4689388,4404512,4623330
 "54000","West Virginia",5,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",-29579,-46690,-13885,-7948,-74314,-57339,-11117,-22008,-59360,-96367,-65050,-68875,-60774,-19990,-47233,-13350,-28783,-40988,-74249,-33580,-92055,-56519,-101478,-79659
