GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",82083870,86893617,93731576,97473476,96932159,99674242,105957934,110545103,115271764,122590117,124118377,118310430,120468777,124621507,127348468,129159610,133062276,137547863,138855917,140452824,143352476,146433634,146206726,154955733
 "09000","Connecticut",1,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",68510384,72496956,78195987,80744831,79812306,81417763,85974140,89732106,94440674,100686169,101543163,96173489,97781547,101498661,104234886,105453736,108999698,112382932,113352883,114779966,116960603,120269546,120034231,127670332
 "09000","Connecticut",1,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",13573486,14396661,15535589,16728645,17119853,18256479,19983794,20812997,20831090,21903948,22575214,22136941,22687230,23122846,23113582,23705874,24062578,25164931,25503034,25672858,26391873,26164088,26172495,27285401
 "09000","Connecticut",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",8901247,9551210,10374237,11422894,11480404,12492833,13939175,14638202,14554962,15361306,15822301,15520778,16021603,16155051,15910493,16384319,16574292,17450476,17692958,17714562,18308305,17931536,17935198,18842726
 "09000","Connecticut",1,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",4672239,4845451,5161352,5305751,5639449,5763646,6044619,6174795,6276128,6542642,6752913,6616163,6665627,6967795,7203089,7321555,7488286,7714455,7810076,7958296,8083568,8232552,8237297,8442675
 "09000","Connecticut",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",48020,50143,53351,55593,55785,58089,61503,63823,65919,69528,70336,69920,72076,73921,74696,75210,76894,79040,79572,80496,81921,83761,89788,92511
 "09000","Connecticut",1,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",121084,112950,132316,140594,176124,157100,152035,121834,135486,159163,152546,145883,138726,122356,176019,180207,192189,159641,179962,150411,137119,113964,118095,116702
 "09000","Connecticut",1,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",81962786,86780667,93599260,97332882,96756035,99517142,105805899,110423269,115136278,122430954,123965831,118164547,120330051,124499151,127172449,128979403,132870087,137388222,138675955,140302413,143215357,146319670,146088631,154839031
 "09000","Connecticut",1,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",70168067,74201155,80134842,82843265,81590712,83845030,89300693,93149434,97585885,103881843,104647432,98756875,100676971,104489916,107440047,108596092,111911154,115494599,116690888,118273346,121169595,124570359,123893908,131986488
 "09000","Connecticut",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",22510,22074,24303,17661,17959,18686,21633,19976,23708,23553,22089,23836,21600,21722,22704,22718,24748,25970,26110,24776,25394,25477,(D),27125
