GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",253616811,268369733,285347999,295076317,299161819,304624247,318583993,332830346,351228121,368757822,375398217,358765123,362556743,377634981,392115388,400386980,413293789,432247060,438058982,453364634,472806305,485463822,483776397,517591821
 "17000","Illinois",3,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",210272378,222634968,236918335,242225035,242962271,245880657,256636045,267015631,282717712,297875054,303356416,286703028,290793786,302711458,314743587,320099420,333327916,350186751,356090933,368130865,382954317,394884348,394755666,425766056
 "17000","Illinois",3,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",43344433,45734765,48429664,52851282,56199548,58743590,61947948,65814715,68510409,70882768,72041801,72062095,71762957,74923523,77371801,80287560,79965873,82060309,81968049,85233769,89851988,90579474,89020731,91825765
 "17000","Illinois",3,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",28911712,30666049,32583068,36651188,39792262,41807960,43762251,46356907,48442738,50200869,51311362,52493753,51710782,53409185,54545700,57405986,56629053,58164473,57794116,60430559,64203141,64386595,62938912,64710133
 "17000","Illinois",3,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",14432721,15068716,15846596,16200094,16407286,16935630,18185697,19457808,20067671,20681899,20730439,19568342,20052175,21514338,22826101,22881574,23336820,23895836,24173933,24803210,25648847,26192879,26081819,27115632
 "17000","Illinois",3,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",41694,43617,45706,47674,49188,50678,53009,55051,57343,59779,61169,61368,62614,64541,66203,67122,68386,70409,70867,72925,75608,77260,82709,86715
 "17000","Illinois",3,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",390117,378523,375757,413070,387481,491586,585859,497845,451650,569949,593484,522471,504383,626535,525883,475424,508731,562862,575365,507587,512637,493361,568042,655637
 "17000","Illinois",3,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",253226694,267991210,284972242,294663247,298774338,304132661,317998134,332332501,350776471,368187873,374804733,358242652,362052360,377008446,391589505,399911556,412785058,431684198,437483617,452857047,472293668,484970461,483208355,516936184
 "17000","Illinois",3,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",215542413,228257143,243156478,248623642,249715918,253193949,264362347,276804236,293488423,309099835,313691504,295182929,296140072,311301847,325852786,331471246,343819802,362230499,368595879,383071161,401084363,412349960,408922450,440691498
 "17000","Illinois",3,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",118512,106612,112900,118516,115921,115823,125031,128290,139334,152023,165635,177000,146544,155590,176078,171620,232975,234066,238575,256161,266725,266021,292723,284164
 "17000","Illinois",3,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),3403,3855,3800,3686,4770,6663,7395,7065,4414,3684,3155,2722,2844,3444,3745,4307,3802,3889,4279,4383,4497
 "17000","Illinois",3,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),2938,3284,3103,3593,3441,3819,3802,3936,4362,4104,4069,4949,1365,1499,1531,1458,1376,1449,1335,1497,2547
 "17000","Illinois",3,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",111170,98808,105323,112175,108782,108920,117752,120079,128852,140826,154634,168224,138756,148366,168407,167411,228032,228790,232810,250983,261387,260407,286843,277120
 "17000","Illinois",3,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",614709,605513,572407,623004,598518,591516,613105,662270,729152,744420,734565,706419,746645,761282,850962,844532,888571,862702,754159,750486,784995,818723,660427,665069
 "17000","Illinois",3,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",30076,25326,31200,39728,35356,29597,32746,35725,43810,43906,54082,50518,52442,52330,66902,80493,83492,75393,57899,56026,57680,85782,69253,74805
 "17000","Illinois",3,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",541872,541471,493009,523360,512785,510979,522219,560697,602000,610655,565150,545649,587221,589493,640992,626569,659759,654578,600504,598062,634373,623086,510664,503318
 "17000","Illinois",3,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",42761,38716,48198,59916,50377,50940,58140,65848,83342,89859,115333,110252,106982,119459,143068,137470,145320,132731,95756,96398,92942,109855,80510,86946
 "17000","Illinois",3,SAINC6N,300,"22","   Utilities ","Thousands of dollars",2515189,2717701,2750769,3119570,3077712,2651887,2718641,2796601,3014849,3080357,3272790,3206152,3116853,3397945,3399790,3469967,3648424,3733595,3993812,3992940,4089520,4347976,4442040,4316273
 "17000","Illinois",3,SAINC6N,400,"23","   Construction ","Thousands of dollars",13017739,14449930,15831109,16283448,16586616,16911110,16999771,17681525,18968094,19286639,19474126,16507802,14791938,14709232,14447283,15002666,16484668,18157742,18800991,19403897,20172150,20985200,20547365,21514123
 "17000","Illinois",3,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",2677765,2928562,3234611,3322259,3466521,3556800,3649278,3884300,4058368,4062960,4069459,3543353,3398617,3160940,2759130,2829372,3152828,3395297,3583699,3776065,4054136,4184075,4208190,4535308
 "17000","Illinois",3,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1587393,1776367,1922456,1986206,2056018,2233225,2126040,2237771,2471786,2636040,2916936,2548168,2118475,2192261,2304847,2424696,2694373,3215120,3035078,2935369,3060163,3249495,3390771,3550717
 "17000","Illinois",3,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",8752581,9745001,10674042,10974983,11064077,11121085,11224453,11559454,12437940,12587639,12487731,10416281,9274846,9356031,9383306,9748598,10637467,11547325,12182214,12692463,13057851,13551630,12948404,13428098
 "17000","Illinois",3,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",44549355,44751626,45789331,44862356,43239247,42714492,43700694,44953312,46334987,48021205,47920315,42502901,42944378,45370370,47693804,47638062,49043771,51038807,50599245,52162306,54554024,54764808,53116645,55966110
 "17000","Illinois",3,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",29009868,28725138,29114805,27997244,26334682,25734442,26735913,27783808,28983747,29947847,29792850,25486040,25377798,27674235,29323730,28856489,29054980,29799458,29567109,30327836,31953246,31875421,29819440,30744498
 "17000","Illinois",3,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",363951,395554,402229,399556,408400,411070,395351,422048,428862,427179,400464,299748,285499,287078,284926,300563,317552,365203,336178,359989,382557,407187,411606,456666
 "17000","Illinois",3,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1008445,1066530,1086860,1075433,974261,990789,1016621,1084287,1128159,1091770,1045249,861016,838840,901452,929358,955513,1018710,1118671,1133465,1213454,1214577,1206993,1239587,1306893
 "17000","Illinois",3,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",2133958,2074837,2044953,1801781,1521304,1493601,1609704,1657920,1745674,1691920,1719901,1287765,1349748,1544117,1626567,1577184,1615802,1593156,1444830,1531220,1724983,1752349,1576845,1775634
 "17000","Illinois",3,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",6084070,6200354,6398427,6172287,5990618,5883252,6122744,6228556,6480985,6717096,6585971,5517867,5587092,6152905,6429102,6206469,6380357,6527383,6417618,6739636,7007240,6980088,6525043,6974532
 "17000","Illinois",3,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",7095653,6979370,6786623,6465934,6025851,5796765,6184076,6895044,7366090,7728015,7882964,6860919,6764767,7692987,8196310,7673708,7783603,7593784,7257280,7343562,7969913,7827051,7084813,7075876
 "17000","Illinois",3,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",4360282,3988204,4024191,3939660,3499398,3344426,3291529,3294724,3298432,3356696,3388479,3131990,3004000,3090929,3162798,3152318,3061542,3145184,3120125,3215823,3290883,3360179,3285444,3448451
 "17000","Illinois",3,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",2171699,2337004,2442369,2372366,2212070,2028197,2031359,2048141,2106798,2143388,2163891,1945269,1915283,2019294,2096508,2219876,2085143,2176405,2201635,2254935,2311344,2229407,2290403,2387012
 "17000","Illinois",3,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",2707493,2489748,2655996,2417218,2448833,2427281,2542311,2543897,2618411,2651992,2375727,1734700,1847194,2182673,2477318,2524658,2623087,2893151,2824197,2872775,3277916,3279638,2886244,2783009
 "17000","Illinois",3,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",369254,347144,324614,350769,333541,344270,392861,391322,403677,472708,476883,408441,397117,434893,486313,469643,498270,530165,497892,502137,545836,559136,605203,617815
 "17000","Illinois",3,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",776965,823891,868651,839510,824651,847772,836765,850518,866590,878387,854828,699655,667840,675997,676934,684547,695737,741725,767991,792939,820939,781729,747658,780097
 "17000","Illinois",3,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",1938098,2022502,2079892,2162730,2095755,2167019,2312592,2367351,2540069,2788696,2898493,2738670,2720418,2691910,2957596,3092010,2975177,3114631,3565898,3501366,3407058,3491664,3166594,3138513
 "17000","Illinois",3,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",15539487,16026488,16674526,16865112,16904565,16980050,16964781,17169504,17351240,18073358,18127465,17016861,17566580,17696135,18370074,18781573,19988791,21239349,21032136,21834470,22600778,22889387,23297205,25221612
 "17000","Illinois",3,SAINC6N,531,"311","     Food manufacturing ","Thousands of dollars",3670449,3777416,3983317,3917621,4097619,4252380,4194173,4277185,4259023,4543850,4601299,4669884,4740292,4777436,5009396,5104844,5490344,5618221,5902863,6196237,6284499,6372810,6723501,7258783
 "17000","Illinois",3,SAINC6N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",383505,448374,492274,551195,531855,444094,511114,486289,485566,521116,493290,369426,379973,354379,375987,380185,395546,420987,470335,506500,485516,493256,471227,513297
 "17000","Illinois",3,SAINC6N,533,"313","     Textile mills ","Thousands of dollars",85444,85790,86696,82973,72808,63802,61207,60615,59895,61959,64400,51859,47197,47376,46997,50472,52046,59835,59435,61341,64566,61799,58474,64883
 "17000","Illinois",3,SAINC6N,534,"314","     Textile product mills ","Thousands of dollars",147005,155172,162121,152890,148859,153457,142968,144658,145165,153160,142998,126192,121738,124653,125171,127626,136009,142766,143182,149636,152945,152031,144341,165639
 "17000","Illinois",3,SAINC6N,535,"315","     Apparel manufacturing ","Thousands of dollars",289153,268324,273769,250321,231533,197455,201141,194361,188051,186215,168259,140084,135646,158156,158763,154696,158081,165467,168247,182164,205219,204339,193111,206567
 "17000","Illinois",3,SAINC6N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",119413,120705,111530,103348,94538,73926,84979,83992,67030,63172,75209,67931,56662,61417,54153,52365,57628,57713,61684,59555,57513,58073,50031,50244
 "17000","Illinois",3,SAINC6N,537,"322","     Paper manufacturing ","Thousands of dollars",1471780,1518706,1556355,1588498,1623393,1606082,1546331,1560020,1597970,1604611,1625411,1451618,1424844,1453101,1511137,1489012,1541160,1586697,1511041,1538223,1583360,1650049,1531755,1592153
 "17000","Illinois",3,SAINC6N,538,"323","     Printing and related support activities ","Thousands of dollars",2553811,2564542,2607055,2514007,2394906,2423936,2399376,2398634,2420656,2448946,2383818,1978196,1871897,1865872,1831758,1812893,1800897,1791708,1853803,1873936,2076987,1921568,1809904,1825918
 "17000","Illinois",3,SAINC6N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",491458,565301,576049,720392,648268,648525,590271,615305,690502,652098,707090,757418,775297,761058,807022,852335,930836,960023,947733,945133,996667,1075518,1085144,1108733
 "17000","Illinois",3,SAINC6N,541,"325","     Chemical manufacturing ","Thousands of dollars",3789810,3900972,4101155,4327613,4401763,4482790,4541107,4681380,4743426,5170830,5206660,4962817,5387175,5453472,5795591,6003953,6617281,7548967,6829970,6999719,7253081,7375936,7656113,8077783
 "17000","Illinois",3,SAINC6N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",2537659,2621186,2724205,2656254,2659023,2633603,2692114,2667065,2693956,2667401,2659031,2441436,2625859,2639215,2654099,2753192,2808963,2886965,3083843,3322026,3440425,3524008,3573604,4357612
 "17000","Illinois",3,SAINC6N,600,"42","   Wholesale trade ","Thousands of dollars",17209333,17841766,19211587,19613275,19385843,19409079,20293674,21374998,22778785,24317388,24582314,22993612,23102193,24817457,26142382,26506343,27274387,28234176,28348417,29572568,30019709,30550252,30292531,32321914
 "17000","Illinois",3,SAINC6N,700,"44-45","   Retail trade ","Thousands of dollars",16154337,17136642,18223930,17960704,18471529,18908860,19302844,19833057,20473062,21417151,20836667,19594131,19489481,20334053,20840365,21302857,21477844,22576629,22855415,23441947,23953174,24706833,25258387,28074120
 "17000","Illinois",3,SAINC6N,701,"441","    Motor vehicle and parts dealers ","Thousands of dollars",2877325,3128530,3233939,3389164,3455555,3504269,3520023,3608557,3621221,3689870,3543822,3117436,3161854,3398897,3533892,3686738,3857094,4154230,4146446,4171884,4239873,4471902,4376934,5145909
 "17000","Illinois",3,SAINC6N,702,"442","    Furniture and home furnishings stores ","Thousands of dollars",713756,769986,834110,817524,850143,895290,895750,937279,937413,939048,861816,721134,683781,685106,690777,716703,738956,790589,836057,852615,845263,867338,816763,975612
 "17000","Illinois",3,SAINC6N,703,"443","    Electronics and appliance stores ","Thousands of dollars",1121421,1316141,1570673,1527764,1518708,1397442,1393919,1424391,1475257,1827018,1518292,1309141,1416120,1529596,1590644,1598221,1509383,1595833,1627578,1768363,1740838,1788549,1897884,2116664
