GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "25000","Massachusetts",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",145636490,158117807,177696345,181081895,178779515,181515070,192524136,198937892,209443104,223053126,230088694,221470127,229498717,240320124,250007369,257361981,269913089,286087006,294013821,309058975,325635602,342068378,344968153,373336205
 "25000","Massachusetts",1,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",121961433,132671526,149369747,151752080,148692375,150527751,158670697,163382972,172745038,184209823,189831902,181837492,187421072,195638259,203708747,209944627,221938380,235500978,242747310,255113581,268106008,282333300,285852128,310871223
 "25000","Massachusetts",1,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",23675057,25446281,28326598,29329815,30087140,30987319,33853439,35554920,36698066,38843303,40256792,39632635,42077645,44681865,46298622,47417354,47974709,50586028,51266511,53945394,57529594,59735078,59116025,62464982
 "25000","Massachusetts",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15269659,16474424,18384955,19115792,19990727,20812999,22459289,23662286,24507784,26193747,27246758,26773562,28906973,30860414,31978103,32837547,32778166,35078152,35258156,37148727,39883116,41162480,40571306,42204314
 "25000","Massachusetts",1,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",8405398,8971857,9941643,10214023,10096413,10174320,11394150,11892634,12190282,12649556,13010034,12859073,13170672,13821451,14320519,14579807,15196543,15507876,16008355,16796667,17646478,18572598,18544719,20260668
 "25000","Massachusetts",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",44042,46972,51481,52407,52795,54555,58056,59766,62358,65579,67544,67264,69527,71988,73086,74064,76232,79241,80014,82990,86194,89310,98164,102391
 "25000","Massachusetts",1,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",102836,93585,107401,111398,136724,123534,120830,98480,111836,133190,126986,121933,116296,100887,164236,167356,177591,147199,166638,139355,128478,108631,113647,115477
 "25000","Massachusetts",1,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",145533654,158024222,177588944,180970497,178642791,181391536,192403306,198839412,209331268,222919936,229961708,221348194,229382421,240219237,249843133,257194625,269735498,285939807,293847183,308919620,325507124,341959747,344854506,373220728
 "25000","Massachusetts",1,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",125719784,136958327,155480279,157758870,154337166,156244911,166039276,171411707,180426714,192647648,198436472,189045423,196185174,206229889,214516183,220262322,231187462,245708074,253478549,267605845,282373666,297363000,299509473,326608502
 "25000","Massachusetts",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",107734,132215,150035,187434,(D),(D),273669,300152,292552,299565,(D),(D),(D),(D),(D),256451,251504,267725,278873,300566,304496,312858,312861,376234
 "25000","Massachusetts",1,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",3395,3397,4049,3401,(D),(D),6946,7685,9799,5274,(D),(D),(D),(D),(D),5596,6836,7538,8444,8440,8749,8431,9908,10818
 "25000","Massachusetts",1,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",61049,77028,90451,127483,138702,142382,175101,198152,184051,179708,163669,181279,206432,234715,237758,200755,189331,201330,209534,230227,229764,234728,226360,291542
