GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "92000","Mideast",2,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",963697879,1021103515,1106733568,1143773294,1157910587,1194123757,1262030468,1322840318,1399263188,1484122720,1521023526,1469300657,1513572794,1564300266,1608189406,1650092661,1718859042,1790088239,1824516901,1903525612,1989340962,2069164713,2066075295,2215380614
 "92000","Mideast",2,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",792051636,839674352,910611416,937037722,940261224,963799885,1016944996,1062935200,1130895178,1203979270,1232204865,1177676153,1212269374,1254178225,1293695062,1319029390,1381502315,1441470133,1473296419,1539607895,1606662773,1673580633,1671246079,1800369961
 "92000","Mideast",2,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",171646243,181429163,196122152,206735572,217649363,230323872,245085472,259905118,268368010,280143450,288818661,291624504,301303420,310122041,314494344,331063271,337356727,348618106,351220482,363917717,382678189,395584080,394829216,415010653
 "92000","Mideast",2,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",113308027,120689443,131039922,138644914,147947972,158636149,169600757,181122159,186027285,194087286,199836475,204696885,211725962,216973291,218450560,232221620,234617419,241704511,242989851,251395630,267475457,276502718,276922663,289549758
 "92000","Mideast",2,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",58338216,60739720,65082230,68090658,69701391,71687723,75484715,78782959,82340725,86056164,88982186,86927619,89577458,93148750,96043784,98841651,102739308,106913595,108230631,112522087,115202732,119081362,117906553,125460895
 "92000","Mideast",2,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",44706,46434,49238,50952,51919,53771,56470,58703,61475,64640,66178,66045,68206,69888,71019,72165,74210,76214,76723,79166,81629,84021,91483,95342
 "92000","Mideast",2,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",1267438,1163773,1350387,1410164,1728998,1579128,1575640,1307045,1475796,1824097,1750509,1631420,1590414,1388682,1933209,1959497,2060200,1751135,1987271,1982261,1802037,1476966,1533459,1559252
 "92000","Mideast",2,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",962430441,1019939742,1105383181,1142363130,1156181589,1192544629,1260454828,1321533273,1397787392,1482298623,1519273017,1467669237,1511982380,1562911584,1606256197,1648133164,1716798842,1788337104,1822529630,1901543351,1987538925,2067687747,2064541836,2213821362
 "92000","Mideast",2,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",777751850,825815105,901213434,928200899,928302668,952704700,1007047495,1057112312,1123637992,1195438424,1219553625,1156301207,1188814122,1239797703,1284845589,1313809738,1377131143,1440392525,1470410877,1539853691,1602598715,1673507478,1659092831,1794462368
 "92000","Mideast",2,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",401644,418371,466176,434752,(D),(D),517264,514743,569185,562383,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1001468,(D)
 "92000","Mideast",2,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",78743,81396,89097,78813,(D),(D),87447,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",40013,42165,47514,31379,31155,(D),35831,(D),(D),(D),26489,(D),(D),(D),25839,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",282888,294810,329565,324560,338003,348357,393986,396330,450274,452151,484788,542108,548277,559642,591265,589285,656478,700756,753268,766335,804724,813343,865766,(D)
 "92000","Mideast",2,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1485558,1430723,1436837,1560913,(D),(D),1617528,1739978,1922023,2007946,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3055889,3074848
 "92000","Mideast",2,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",134536,135677,139463,159847,(D),(D),(D),148451,(D),(D),(D),(D),479336,(D),(D),884595,(D),(D),801695,(D),744050,(D),(D),(D)
 "92000","Mideast",2,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1235855,1174179,1161611,(D),1133128,(D),(D),1348976,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",115167,120867,135763,(D),160048,170302,201265,242551,(D),377299,450982,(D),(D),(D),(D),(D),1771969,(D),882959,1163651,1434899,1428479,969063,914262
 "92000","Mideast",2,SAINC6N,300,"22","   Utilities ","Thousands of dollars",8250881,8383456,8893481,(D),(D),10267514,10301671,10255065,10822585,11151356,11507676,11250502,11923305,12541092,12255883,12418839,12946215,13743877,14382978,14419007,15097169,15158059,(D),15966700
 "92000","Mideast",2,SAINC6N,400,"23","   Construction ","Thousands of dollars",39852699,44305695,49308556,51367382,52126031,53448489,55913636,58559777,62745346,66633342,68489027,61463887,58927486,60497692,62460582,65324876,69788439,74703323,78738530,(D),87073837,91620528,87156949,92535369
 "92000","Mideast",2,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",9392536,10543918,11700756,12131989,12602609,13167901,14089091,15159842,16091566,16714759,16890027,14675767,13889762,13930221,14369185,15039601,16308913,17779365,19207610,20328523,21264381,22493962,21429341,22627287
 "92000","Mideast",2,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",5255200,5602848,6136731,6378255,6475331,6575133,6741997,6955330,7566384,7997113,8478512,8299734,8442569,8971588,9388132,9576116,10320508,10791421,11036272,(D),12730244,13138227,12524779,13035758
 "92000","Mideast",2,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",25204963,28158929,31471069,32857138,33048091,33705455,35082548,36444605,39087396,41921470,43120488,38488386,36595155,37595883,38703265,40709159,43159018,46132537,48494648,50980993,53079212,55988339,53202829,56872324
