GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "26000","Michigan",3,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",191299288,202323933,214729487,213495755,214343063,218739667,224743664,229612329,231441824,234321308,232309513,214991575,218589384,228139785,236040134,241938519,251565836,264831591,273921563,285956750,297386225,304713619,298661542,321348022
 "26000","Michigan",3,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",156280307,165325888,174162418,171959344,172325681,175569802,179139670,182331284,183864144,186808220,185467279,170005595,172681332,181926988,189590636,194929435,204256778,214646851,222692729,232039202,240631432,247021885,242698162,261811627
 "26000","Michigan",3,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",35018981,36998045,40567069,41536411,42017382,43169865,45603994,47281045,47577680,47513088,46842234,44985980,45908052,46212797,46449498,47009084,47309058,50184740,51228834,53917548,56754793,57691734,55963380,59536395
 "26000","Michigan",3,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",22748194,24119657,27054264,28283197,28758519,29680943,31621941,32925502,32979586,32827220,32255877,31487243,32252116,31972984,31526076,31670865,31645287,33928636,34701380,36847388,39009024,39590793,38211875,40900170
 "26000","Michigan",3,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",12270787,12878388,13512805,13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15663771,16256104,16527454,17070160,17745769,18100941,17751505,18636225
 "26000","Michigan",3,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",41518,43060,44907,45735,46750,48442,49984,51248,52384,53705,54719,54507,55528,56664,57553,57890,59128,61191,62199,64297,66088,67418,72459,75090
 "26000","Michigan",3,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",568428,530422,614115,593164,629192,522389,588841,535212,534325,783655,644572,666969,538693,684260,866253,825540,961617,952679,1070727,899671,931169,942700,797366,828672
 "26000","Michigan",3,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",190730860,201793511,214115372,212902591,213713871,218217278,224154823,229077117,230907499,233537653,231664941,214324606,218050691,227455525,235173881,241112979,250604219,263878912,272850836,285057079,296455056,303770919,297864176,320519350
 "26000","Michigan",3,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",163234438,172511432,182923802,180134457,179547849,182770413,187532549,191113994,192309358,194193482,191288703,173290587,175722385,186403034,194805642,200331001,210096052,221580550,230461865,241576126,252162559,258533281,252194432,273704978
 "26000","Michigan",3,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",156506,161400,173703,176495,164895,168524,208274,196802,204760,203429,211547,237090,245103,253292,277969,280873,323570,338683,357048,367494,385098,395837,438717,436010
 "26000","Michigan",3,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",62352,61848,64999,66215,64301,63516,77080,73069,73875,71237,68922,69454,71296,73606,78272,78727,86705,95605,99975,101446,108458,109114,121558,119925
 "26000","Michigan",3,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),6528,6310,4517,5209,4807,5457,5864,5649,6581,6841,7041,7613,7868,8275,7985,8110,8311,8622,9675,9890,11001
 "26000","Michigan",3,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",89391,94224,102895,103752,94284,100491,125985,118926,125428,126328,136976,161055,166966,172645,192084,194278,228590,235093,248963,257737,268018,277048,307269,305084
