GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "27000","Minnesota",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",100163714,106746049,115569356,120075026,122561322,127238019,134314284,138333718,143010134,151553185,156420092,148855406,153056473,160091169,165157210,170649035,178766898,187398517,192831354,201991957,210871253,218247282,218820274,233526777
 "27000","Minnesota",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",83033201,88595038,95704176,98980854,100657642,103495702,109165027,111886497,116915961,123700501,127232269,121064910,124165611,128983413,135334396,139568041,145882870,153851744,158149844,165796157,172882978,179145183,179365478,191734964
 "27000","Minnesota",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",17130513,18151011,19865180,21094172,21903680,23742317,25149257,26447221,26094173,27852684,29187823,27790496,28890862,31107756,29822814,31080994,32884028,33546773,34681510,36195800,37988275,39102099,39454796,41791813
 "27000","Minnesota",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",10909153,11548566,12773720,13779073,14433758,15848308,16803686,17723431,17039228,18497677,19606901,18560047,19448014,21099299,19356652,20148188,21791436,22135265,23033220,24083685,25397740,26127974,26394465,28308457
 "27000","Minnesota",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",6221360,6602445,7091460,7315099,7469922,7894009,8345571,8723790,9054945,9355007,9580922,9230449,9442848,10008457,10466162,10932806,11092592,11411508,11648290,12112115,12590535,12974125,13060331,13483356
 "27000","Minnesota",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",37915,39479,41928,43528,44739,46560,48767,49560,50675,53426,55410,54784,56526,58271,59204,60228,62218,64113,65244,67498,69837,71674,77005,80304
 "27000","Minnesota",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",510607,485948,574116,566547,613082,539571,509916,484777,472580,603167,527243,727537,628573,498389,793968,609082,607987,663169,735421,696318,648928,808122,759183,789403
 "27000","Minnesota",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",99653107,106260101,114995240,119508479,121948240,126698448,133804368,137848941,142537554,150950018,155892849,148127869,152427900,159592780,164363242,170039953,178158911,186735348,192095933,201295639,210222325,217439160,218061091,232737374
 "27000","Minnesota",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",84661249,90515713,98155334,101720965,103112777,107187106,113416804,116686674,120642083,128125702,132006945,123642647,127609778,134987942,139746708,144309628,151477976,159101367,163855475,172359399,180017882,186360435,185928622,200119005
 "27000","Minnesota",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",96428,101545,107628,107347,115686,121529,146363,141626,155853,160849,170878,182230,187310,201183,218632,218171,232472,253410,263629,274390,280105,287939,321640,313384
