GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",96887349,102521911,108914468,111750283,114800162,118207655,123177827,128913282,135292940,141064024,146965914,141992181,142637545,144656571,150263533,154859475,159467098,167155560,170132681,176865333,184876162,191993709,194211569,205450039
 "29000","Missouri",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",80026069,84349291,89504202,91859770,93523371,95759629,99434505,103893111,108836745,113862699,118981424,113694862,113886441,116481438,121318793,123769887,128563501,134635638,137919355,143157157,148866234,154600398,157169478,167564293
 "29000","Missouri",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",16861280,18172620,19410266,19890513,21276791,22448026,23743322,25020171,26456195,27201325,27984490,28297319,28751104,28175133,28944740,31089588,30903597,32519922,32213326,33708176,36009928,37393311,37042091,37885746
 "29000","Missouri",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",11089239,12115045,13015973,13322393,14582556,15520742,16599749,17501447,18515108,18935311,19341672,19943480,20447862,19578640,20075431,22011597,21594708,22691004,22256026,23575886,25587147,26499867,25849606,26471044
 "29000","Missouri",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",5772041,6057575,6394293,6568120,6694235,6927284,7143573,7518724,7941087,8266014,8642818,8353839,8303242,8596493,8869309,9077991,9308889,9828918,9957300,10132290,10422781,10893444,11192485,11414702
 "29000","Missouri",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34829,36308,38152,39470,40850,42201,43808,45401,47025,48754,50851,51088,52073,52698,54116,55135,56251,57899,58164,59930,62218,64020,67951,70439
 "29000","Missouri",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",278590,260165,254926,275624,257464,274099,226178,256502,215557,329060,286785,304847,289072,290920,436437,301858,389141,331994,362458,351119,310610,340442,349138,322439
 "29000","Missouri",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",96608759,102261746,108659542,111474659,114542698,117933556,122951649,128656780,135077383,140734964,146679129,141687334,142348473,144365651,149827096,154557617,159077957,166823566,169770223,176514214,184565552,191653267,193862431,205127600
 "29000","Missouri",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",80640085,85125400,90444102,92601850,94615278,96944561,100995158,105859768,111190859,115636646,120298898,114112993,114358174,116509101,122082493,125987276,130414170,137542593,140372995,146616088,153856922,160420689,161794710,172445372
 "29000","Missouri",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",88751,94629,104963,113301,122980,156694,154772,141955,150524,142975,157375,169591,166000,162574,178601,180612,191266,201134,209865,223013,240243,257727,286474,281517
 "29000","Missouri",4,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",7211,8850,6989,(D),7014,7041,7929,8633,8774,8552,6996,5944,6168,7867,7184,6052,7177,8218,9054,10028,11830,13626,15619,15156
 "29000","Missouri",4,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),304,307,421,373,471,453,379,339,327,390,641,696,929,983,625,653,801,865,967,1225
 "29000","Missouri",4,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",81181,85357,97530,106151,115662,149346,146422,132949,141279,133970,150000,163308,159505,154317,170776,173864,183160,191933,200186,212332,227612,243236,269888,265136
 "29000","Missouri",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",244829,257679,266853,264454,249315,284524,329960,435908,315058,382364,410366,303857,296311,329788,335934,325815,325109,332309,314452,345699,358396,376674,373493,388596
 "29000","Missouri",4,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),743,668,690,860,777,920,1002,1745,1756,2402,2381,1966,2195,2108,1812,1196,1086,1175,961,1650,2413
 "29000","Missouri",4,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",237410,249264,258770,261061,244171,274607,313795,416158,287136,319390,327390,280026,277672,306569,309632,300562,300087,311680,299267,327617,336481,348983,348042,367615
 "29000","Missouri",4,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",(T),7769,(T),2650,4476,9227,15305,18973,27002,61972,81231,22075,16237,20838,24336,23058,22914,18817,13989,16996,20740,26730,23801,18568
 "29000","Missouri",4,SAINC6N,300,"22","   Utilities ","Thousands of dollars",732176,781103,825348,1106425,1226150,993431,1056315,1057184,1184831,1230441,1325095,1363862,1412707,1428779,1359806,1449607,1474803,1489814,1549717,1571501,1609852,1741067,1820752,1784123
 "29000","Missouri",4,SAINC6N,400,"23","   Construction ","Thousands of dollars",5405903,6142774,6626822,6818631,6803393,6894754,7153836,7571001,7964549,8370256,8460950,7402308,6545606,6328884,6636364,6937654,7320529,7876404,8424919,8869246,9057720,9797883,10154305,10945146
 "29000","Missouri",4,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",1317217,1500842,1564360,1543150,1566591,1591932,1698143,1794823,1925920,2052136,2044714,1696375,1504271,1385607,1449731,1498460,1638038,1791476,1921243,2040754,2116873,2256217,2355170,2516553
 "29000","Missouri",4,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",804860,854001,932633,958262,925175,949949,944446,990022,1018691,1063709,1147481,1202469,1035171,1020582,1065007,1127738,1162882,1172674,1225186,1267343,1317126,1485964,1646301,1744728
 "29000","Missouri",4,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",3283826,3787931,4129829,4317219,4311627,4352873,4511247,4786156,5019938,5254411,5268755,4503464,4006164,3922695,4121626,4311456,4519609,4912254,5278490,5561149,5623721,6055702,6152834,6683865
 "29000","Missouri",4,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",16061450,16241874,16815782,16571460,16453446,16587769,17304536,17695672,18224617,18358976,18674331,16366485,15826481,16091032,16851110,17458072,18321071,19221038,19177680,19814854,20895029,21667783,21482725,22223951
 "29000","Missouri",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",10285821,10272404,10654172,10385614,10343658,10555305,11175645,11493879,11808465,11737964,11185547,9870503,9416190,9760619,10042580,10671895,11387457,12032286,11996443,12366755,13197443,13668550,13160879,13712141
 "29000","Missouri",4,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",289764,310713,316831,317091,315567,319675,330889,348893,376491,361455,342746,272861,281849,289511,303831,300145,324334,346791,362840,378091,386157,391406,394192,419676
 "29000","Missouri",4,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",473531,499253,524050,464987,454508,457197,473063,505062,536419,533027,525492,443991,442481,445639,457314,408740,427503,470840,467800,481176,574056,609044,626046,633664
 "29000","Missouri",4,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",559457,587992,592079,508797,483138,468795,498560,528965,556250,543506,524356,427424,399665,477000,509985,498723,502256,527479,462461,491990,519873,556636,539814,605727
