GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",11027839,11500605,12291758,12875825,13578190,14306463,15190112,16305927,17589502,18915784,19580156,19176354,19687823,20638428,21651590,22274313,23191155,24217060,24755134,26003722,27107610,28210989,29340369,32337809
 "30000","Montana",7,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",8912587,9298852,9890097,10389840,10864015,11394423,12089020,12958784,13981074,15056186,15587081,15259607,15507388,16165620,17110461,17618141,18380532,19253605,19823093,20658621,21598341,22516748,23555607,26086727
 "30000","Montana",7,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",2115252,2201753,2401661,2485985,2714175,2912040,3101092,3347143,3608428,3859598,3993075,3916747,4180435,4472808,4541129,4656172,4810623,4963455,4932041,5345101,5509269,5694241,5784762,6251082
 "30000","Montana",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1291798,1359742,1501512,1540861,1700449,1839098,1968084,2116417,2275460,2423082,2529611,2491163,2717337,2923317,2954135,3014915,3098696,3215295,3279578,3511407,3585702,3766771,3724059,4068547
 "30000","Montana",7,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",823454,842011,900149,945124,1013726,1072942,1133008,1230726,1332968,1436516,1463464,1425584,1463098,1549491,1586994,1641257,1711927,1748160,1652463,1833694,1923567,1927470,2060703,2182535
 "30000","Montana",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",27863,28620,30041,31099,32503,33809,35036,36826,38616,40574,41949,42616,44022,45738,47042,47716,49294,50516,51137,53187,54824,56265,60300,63767
 "30000","Montana",7,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",142404,142266,156398,157974,175229,155426,167762,186921,180670,213749,204253,223196,198134,196679,271524,305333,294177,246537,285000,293433,289105,213819,299183,334999
 "30000","Montana",7,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",10885435,11358339,12135360,12717851,13402961,14151037,15022350,16119006,17408832,18702035,19375903,18953158,19489689,20441749,21380066,21968980,22896978,23970523,24470134,25710289,26818505,27997170,29041186,32002810
 "30000","Montana",7,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",8043861,8399060,8948534,9402879,9883487,10336974,11039080,11942596,13037385,14079739,14527300,13926142,14332199,15170783,16028715,16585173,17338503,18245623,18521019,19612593,20669554,21700016,22428084,25178179
 "30000","Montana",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",68575,72121,76687,74375,86738,84087,91521,89388,99728,103068,102621,96976,102420,112582,129889,133105,145593,161842,170247,183917,189686,192906,222127,236642
 "30000","Montana",7,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",41115,40459,44737,39078,48417,43528,49127,47661,48791,47631,41232,(D),29423,28747,32611,31783,33733,35700,34224,33749,36252,32828,32990,33703
 "30000","Montana",7,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),547,461,306,410,133,150,138,93,(D),117,160,150,128,140,135,124,142,146,253,332,309
 "30000","Montana",7,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",26628,30665,30976,34750,37860,40253,41984,41594,50787,55299,61296,67583,72880,83675,97128,101194,111720,126007,135899,150026,153288,159825,188805,202630
 "30000","Montana",7,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",258439,263805,280439,330911,317032,314038,396698,459501,561281,593603,642022,538587,604776,711610,846376,870413,881040,784627,666093,674167,740396,739675,663355,711438
 "30000","Montana",7,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",30169,28485,29310,34662,28061,21261,34681,41082,55183,58848,53275,47132,57710,60305,80504,87658,97599,102788,116667,91214,95075,87310,55599,58017
 "30000","Montana",7,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",188108,201005,213344,239430,235090,233432,268622,298134,338428,366507,386150,350581,380383,426202,463199,483950,470781,456420,419857,438801,465575,480324,485422,533913
 "30000","Montana",7,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",40162,34315,37785,56819,53881,59345,93395,120285,167670,168248,202597,140874,166683,225103,302673,298805,312660,225419,129569,144152,179746,172041,122334,119508
 "30000","Montana",7,SAINC6N,300,"22","   Utilities ","Thousands of dollars",185394,199466,201700,226567,224264,222598,229254,240183,267014,277489,302523,307220,317996,347406,330867,346290,353293,366272,366750,351334,346318,370483,397832,389224
