GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",29216040,31017282,32935256,34308038,35674494,37149656,38935501,40598613,42684102,45029130,46666137,46296695,46607315,47943667,50607358,51721336,54293762,56841520,58219175,60567756,63355591,65714820,67189261,70909873
 "31000","Nebraska",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",24000636,25470909,27013847,27997991,28849063,29908674,31274516,32450903,34293258,36271668,37603434,37040382,37485365,38569308,40467271,41515889,43427003,45775133,46903734,48573935,50434084,52386617,53983161,57378756
 "31000","Nebraska",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",5215404,5546373,5921409,6310047,6825431,7240982,7660985,8147710,8390844,8757462,9062703,9256313,9121950,9374359,10140087,10205447,10866759,11066387,11315441,11993821,12921507,13328203,13206100,13531117
 "31000","Nebraska",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3365679,3595836,3882450,4180844,4610864,4942845,5269702,5629920,5676025,5970109,6193120,6403948,6104299,6292174,6990657,7039300,7538514,7604086,7782228,8302311,9154172,9416016,9104647,9280919
 "31000","Nebraska",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1849725,1950537,2038959,2129203,2214567,2298137,2391283,2517790,2714819,2787353,2869583,2852365,3017651,3082185,3149430,3166147,3328245,3462301,3533213,3691510,3767335,3912187,4101453,4250198
 "31000","Nebraska",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31803,33136,34699,36055,37724,39164,40762,42177,43870,45666,47093,47739,48218,49400,51177,51708,53563,55135,56169,58189,60425,62506,66293,68755
 "31000","Nebraska",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",343379,327186,365132,417749,388737,460790,436696,388941,429747,522076,546743,545329,494330,526692,565285,551584,583566,639785,621567,702129,683284,672714,588988,637579
 "31000","Nebraska",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",28872661,30690096,32570124,33890289,35285757,36688866,38498805,40209672,42254355,44507054,46119394,45751366,46112985,47416975,50042073,51169752,53710196,56201735,57597608,59865627,62672307,65042106,66600273,70272294
 "31000","Nebraska",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",23334974,24987016,26617113,27426366,28337985,29273297,30703466,32106991,33636910,35721744,37068865,36301532,36130786,37250219,39818160,40878432,43057923,45137098,46172275,48079990,50573430,52575655,53817246,57126885
 "31000","Nebraska",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",63030,64417,69296,63181,59371,64237,74981,81565,89947,102603,114495,134571,133307,153535,178291,192158,205753,204416,216642,221988,231090,239685,273270,255274
 "31000","Nebraska",4,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),901,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),440,670,694,673,592,622,506
 "31000","Nebraska",4,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),130,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0
 "31000","Nebraska",4,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",55683,55535,58894,62155,58198,63206,73622,80265,88786,102068,114210,134408,133126,153251,177832,191654,205360,203976,215972,221294,230417,239093,272648,254768
 "31000","Nebraska",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",52904,53896,54463,57184,54272,65048,69997,70226,70471,50514,54827,51671,53671,59938,73363,67658,74559,72632,69420,75002,83146,79140,77656,81525
 "31000","Nebraska",4,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),6566,4249,4750,5104,5759,5255,5355,5983,5280,4092,4007,5433,4259,4116,3331,2698,4993,6118,5675,4897,4918
 "31000","Nebraska",4,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",38357,41713,41991,46142,45985,55394,59141,57999,58117,38394,41404,39745,41735,46827,52800,51423,54641,57134,58267,62105,66530,62607,63087,65369
 "31000","Nebraska",4,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",4384,3413,4397,4476,4038,4904,5752,6468,7099,6765,7440,6646,7844,9104,15130,11976,15802,12167,8455,7904,10498,10858,9672,11238
 "31000","Nebraska",4,SAINC6N,300,"22","   Utilities ","Thousands of dollars",111748,111879,106144,124977,156598,187106,206157,188449,202691,252744,303039,250620,198363,201693,196092,154333,190660,157765,147922,150708,171088,203407,190471,381371
 "31000","Nebraska",4,SAINC6N,400,"23","   Construction ","Thousands of dollars",1544715,1728681,1819741,1797313,1871669,1978968,2075122,2083898,2160585,2438053,2498948,2418857,2171865,2097895,2283628,2426718,2691456,2930071,3059699,3192796,3404324,3663436,3947602,4102581
 "31000","Nebraska",4,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",337686,378417,407114,393364,403130,415862,429816,444755,483512,582356,598843,501736,464701,445812,473872,491480,547002,598087,641315,657508,718970,744905,810077,838876
 "31000","Nebraska",4,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",285493,319092,315903,310332,313496,323857,355253,360696,387519,468448,417345,446520,356453,352087,401759,410617,494393,490159,470414,483229,493968,512397,602791,634691
 "31000","Nebraska",4,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",921536,1031172,1096724,1093617,1155043,1239249,1290053,1278447,1289554,1387249,1482760,1470601,1350711,1299996,1407997,1524621,1650061,1841825,1947970,2052059,2191386,2406134,2534734,2629014
 "31000","Nebraska",4,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",4205409,4311229,4557376,4597550,4617134,4655473,4732406,4893277,5072517,5245534,5423246,5035232,5060706,5204359,5463640,5590720,5937125,5990198,6034600,6406146,6848924,6963264,7215579,7744108
 "31000","Nebraska",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",2266605,2293539,2435723,2336311,2300055,2277743,2372320,2482743,2633470,2723757,2796114,2458287,2425837,2576626,2710277,2783474,2943311,2971704,2904606,3075218,3254838,3285474,3237972,3507740
 "31000","Nebraska",4,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",62221,71161,77113,70141,77259,75015,79855,87588,86606,84797,80931,71196,65569,65648,75846,84857,93854,94591,99011,109104,116666,125019,128981,141714
 "31000","Nebraska",4,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",106119,113745,129306,128815,131228,125236,133991,139444,146139,153973,152268,135480,127308,129831,143305,156962,174630,185344,185082,194181,206927,215327,219313,217881
 "31000","Nebraska",4,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",71229,66812,68920,81476,76103,73717,81790,88354,94636,96509,100027,79618,81681,89865,96394,89445,107072,102736,97099,106135,118282,112829,106797,119246
 "31000","Nebraska",4,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",357841,366814,390081,371057,369041,367922,372513,396937,432248,466267,457588,386798,373437,400215,457429,482687,512802,516750,500976,522906,567060,584038,604292,689926
 "31000","Nebraska",4,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",498679,468144,513889,484628,475931,476416,471615,502905,553564,580594,644882,555423,555158,624730,681747,713467,716447,680857,626836,670198,684189,677013,682271,725255
 "31000","Nebraska",4,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",410172,450838,459156,407020,356511,337175,354703,336105,353654,307875,311966,277620,281241,292575,279036,272280,287922,302653,305184,317573,337742,352691,320793,355685
 "31000","Nebraska",4,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",119508,128590,135698,130173,120296,110808,110497,110928,104617,121258,112549,96111,96950,104566,103657,100485,105101,105474,109530,114966,125173,126030,114807,125800
 "31000","Nebraska",4,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",292612,255966,276743,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),434309,392270,(D)
 "31000","Nebraska",4,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",70496,77692,83846,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),136193,144941,142357,146580,154004,169938,175848,185362
 "31000","Nebraska",4,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",106940,107892,110155,115697,115506,120127,128499,137135,137443,137286,130713,117795,104111,109544,82527,73630,(D),(D),(D),(D),(D),78571,77454,(D)
 "31000","Nebraska",4,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",170788,185885,190816,202890,212127,220134,230528,250638,275589,302701,314629,325222,309524,304824,313880,325863,343476,361764,366419,391961,415380,409709,415146,444480
 "31000","Nebraska",4,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",1938804,2017690,2121653,2261239,2317079,2377730,2360086,2410534,2439047,2521777,2627132,2576945,2634869,2627733,2753363,2807246,2993814,3018494,3129994,3330928,3594086,3677790,3977607,4236368
 "31000","Nebraska",4,SAINC6N,531,"311","     Food manufacturing ","Thousands of dollars",1171268,1222153,1283144,1359443,1399532,1461355,1429081,1444573,1459474,1518691,1558468,1581770,1624456,1591888,1643836,1707058,1843534,1853229,1956410,2154012,2321489,2434613,2726223,2890480
 "31000","Nebraska",4,SAINC6N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",27149,28045,27631,47580,46497,45531,40733,41058,38557,39737,39427,40909,41119,38757,40338,34330,37323,38713,41573,48674,50944,28370,29592,33969
 "31000","Nebraska",4,SAINC6N,533,"313","     Textile mills ","Thousands of dollars",(T),(T),(T),9808,10018,8939,7578,6252,7446,6948,7293,7220,7755,8049,7129,7381,8107,5998,6259,6029,8102,8386,8825,6376
 "31000","Nebraska",4,SAINC6N,534,"314","     Textile product mills ","Thousands of dollars",12695,13122,13955,11427,12707,12715,13657,13778,14249,15018,14095,14962,15604,13700,17036,16395,13329,13672,21468,20460,20899,12927,12906,13261
 "31000","Nebraska",4,SAINC6N,535,"315","     Apparel manufacturing ","Thousands of dollars",16280,13806,13026,13102,10887,10703,8434,8339,7776,5014,5091,4638,4535,5106,5446,5415,5932,5698,5343,5319,5098,4211,(D),4028
 "31000","Nebraska",4,SAINC6N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",(T),(T),(T),4424,4110,3808,4726,4958,5199,4279,4639,4016,5316,18102,18323,19712,19737,19689,21008,23708,26245,26776,27852,27881
 "31000","Nebraska",4,SAINC6N,537,"322","     Paper manufacturing ","Thousands of dollars",78697,80609,90590,95437,84758,86350,89465,88876,90813,93548,99156,91698,99168,101139,99444,102772,108615,109288,96269,104358,101753,104345,87276,105292
 "31000","Nebraska",4,SAINC6N,538,"323","     Printing and related support activities ","Thousands of dollars",198555,205592,220925,230607,229639,228920,226017,233408,233458,224160,215421,197103,185243,176008,176083,167097,165677,165306,172236,168685,178130,172201,164541,165751
 "31000","Nebraska",4,SAINC6N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",487,499,534,233,317,546,413,362,596,1511,1751,695,691,1226,1195,1234,1410,1472,1468,1294,2732,2461,(D),1968
 "31000","Nebraska",4,SAINC6N,541,"325","     Chemical manufacturing ","Thousands of dollars",158990,166066,175477,214625,244326,252357,263073,297944,311708,340870,400112,395176,401709,414266,455652,456767,488746,508778,505511,472440,533805,558579,601869,655357
 "31000","Nebraska",4,SAINC6N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",261694,274193,282767,274553,274288,266506,276909,270986,269771,272001,281679,238758,249273,259492,288881,289085,301404,296651,302449,325949,344889,324921,312594,332005
 "31000","Nebraska",4,SAINC6N,600,"42","   Wholesale trade ","Thousands of dollars",1648743,1699169,1808483,1920006,1959325,1953438,2055546,2126522,2200313,2310807,2482932,2441558,2440492,2543821,2722891,2800236,3010498,3034040,3035550,3082949,3177712,3250821,3352415,3473240
 "31000","Nebraska",4,SAINC6N,700,"44-45","   Retail trade ","Thousands of dollars",2304160,2449915,2595947,2553473,2613379,2704166,2784626,2841221,2896933,2996822,3067414,2986818,3016106,3047700,3191236,3275373,3385854,3521929,3654845,3741560,3843051,3969318,4057121,4349774
 "31000","Nebraska",4,SAINC6N,701,"441","    Motor vehicle and parts dealers ","Thousands of dollars",418585,457350,468565,494942,514611,526991,532558,532194,536757,561639,556224,519708,557081,599220,641715,671726,711057,743230,775120,796209,816482,866580,883048,986208
 "31000","Nebraska",4,SAINC6N,702,"442","    Furniture and home furnishings stores ","Thousands of dollars",93098,102989,113612,111633,115599,121335,129357,133251,133233,130387,132160,121533,120730,123266,134253,144213,155468,165117,172270,179344,190963,207854,211616,233158
