GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",24313644,25142832,26901453,28483441,29993899,31595656,33619648,35847330,38223836,40322186,42130986,41321063,42003903,42995234,44131038,44484843,45730951,46975806,47426293,48595918,50923901,53423701,53439245,56522224
 "35000","New Mexico",6,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",19828841,20521192,21943058,23288778,24318323,25451142,27005895,28708801,30783334,32521540,34012587,33240669,33508566,34175198,34992571,35407200,36622620,37471803,37663889,38668181,40656435,42938592,43006400,45613464
 "35000","New Mexico",6,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",4484803,4621640,4958395,5194663,5675576,6144514,6613753,7138529,7440502,7800646,8118399,8080394,8495337,8820036,9138467,9077643,9108331,9504003,9762404,9927737,10267466,10485109,10432845,10908760
 "35000","New Mexico",6,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3001541,3092279,3340952,3462971,3851832,4231787,4622742,5036810,5154511,5404540,5574984,5559128,5914545,6128416,6386010,6266630,6215117,6372787,6666233,6899021,7170880,7267115,7161918,7481691
 "35000","New Mexico",6,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1483262,1529361,1617443,1731692,1823744,1912727,1991011,2101719,2285991,2396106,2543415,2521266,2580792,2691620,2752457,2811013,2893214,3131216,3096171,3028716,3096586,3217994,3270927,3427069
 "35000","New Mexico",6,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32048,32860,34438,35958,37432,38889,40557,42461,44087,45999,47915,48876,50212,51419,52584,52552,53635,54606,55073,56335,58146,59981,64090,66749
 "35000","New Mexico",6,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",179071,177749,194573,197995,220775,197890,214431,241523,233870,276700,260775,286546,252798,249624,278160,314929,301876,256113,297204,312131,310492,231800,322894,354158
 "35000","New Mexico",6,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",24134573,24965083,26706880,28285446,29773124,31397766,33405217,35605807,37989966,40045486,41870211,41034517,41751105,42745610,43852878,44169914,45429075,46719693,47129089,48283787,50613409,53191901,53116351,56168066
 "35000","New Mexico",6,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",16629725,17190346,18478588,19469101,20162308,21163983,22435146,24026740,26352399,28321106,29601425,28194582,28575089,29441010,30469410,30668937,31844614,32912024,32944845,34014776,36008173,38020663,37396571,40007449
 "35000","New Mexico",6,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",58597,59706,61805,60026,61446,62658,72700,70751,75730,71712,73070,77063,77468,79986,85166,87908,100212,110442,121569,125200,133145,137400,145753,137979
 "35000","New Mexico",6,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",5131,5559,5855,(D),(D),(D),1988,2074,2282,1848,1807,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1557,1744,1833
 "35000","New Mexico",6,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),496,446,821
 "35000","New Mexico",6,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",53234,53947,55694,57135,59208,60732,70712,68677,73448,69864,71263,75431,76150,78461,83052,86426,98565,108550,119717,123402,131036,135347,143563,135325
 "35000","New Mexico",6,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",737304,679124,765630,884332,787885,839463,943576,1103810,1364982,1439008,1699440,1384340,1631546,1803015,2114279,2261611,2508100,2293756,1781646,1987416,2406130,2591324,1970594,1980086
 "35000","New Mexico",6,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",175725,174503,194220,221387,215195,230702,253980,285307,354831,364639,454441,420234,608706,523551,577099,604283,659325,669535,609519,580959,583157,637821,615904,626162
 "35000","New Mexico",6,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",304656,277762,267140,288499,258403,247057,270061,296491,318463,324712,402063,349726,348046,408821,464470,478527,460785,443667,389462,360247,378169,394948,341644,340271
 "35000","New Mexico",6,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",256923,226859,304270,374446,314287,361704,419535,522012,691688,749657,842936,614380,674794,870643,1072710,1178801,1387990,1180554,782665,1046210,1444804,1558555,1013046,1013653
 "35000","New Mexico",6,SAINC6N,300,"22","   Utilities ","Thousands of dollars",236844,248348,257738,313320,303340,302487,315582,328339,351521,393876,432297,449921,442440,457425,447089,465592,478016,482158,517723,494633,505043,517745,547468,564619
 "35000","New Mexico",6,SAINC6N,400,"23","   Construction ","Thousands of dollars",1424093,1472678,1645941,1779126,1724955,1842457,2014486,2279866,2568749,2706434,2892331,2450617,2264387,2196881,2179418,2216354,2312114,2415654,2435072,2661599,2901314,3253050,3237107,3285319
 "35000","New Mexico",6,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",399821,421930,475397,530095,514728,539286,585104,678926,733713,758693,830898,658827,587081,561883,516854,495045,512690,574148,585857,672801,664755,787675,781168,701593
 "35000","New Mexico",6,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",332342,341222,366854,374240,350549,347650,372490,416066,487149,522378,541815,477544,463347,451728,478821,544987,551637,572089,567962,611834,754585,862548,765808,829117
 "35000","New Mexico",6,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",691930,709526,803690,874791,859678,955521,1056892,1184874,1347887,1425363,1519618,1314246,1213959,1183270,1183743,1176322,1247787,1269417,1281253,1376964,1481974,1602827,1690131,1754609
 "35000","New Mexico",6,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",1705408,1744620,1921557,1941975,1862456,1874597,1870707,1952265,2104110,2228650,2145774,1905335,1938063,2030838,2118957,2055508,2043989,2064073,1942217,1847746,1892944,2059832,2066253,2110703
 "35000","New Mexico",6,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",1362739,1386224,1539680,1521002,1449462,1438487,1419083,1480963,1597563,1680679,1597977,1355618,1393117,1466010,1501738,1419063,1380489,1357342,1271307,1158806,1183852,1264663,1251610,1284176
 "35000","New Mexico",6,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",42261,49362,45999,39999,40444,43554,49664,56219,59963,52502,47952,35358,33021,32573,32923,30906,32041,37288,39350,41917,44910,49297,47632,53493
 "35000","New Mexico",6,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",95745,93684,101021,100358,101201,101973,102334,116232,130110,136756,128917,107390,103488,96911,94611,92026,97551,103918,100011,107760,113364,108131,108975,115876
 "35000","New Mexico",6,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",63427,58518,44520,32936,28594,20877,24933,24034,25405,27165,27924,21735,21859,21558,22796,21395,18656,25054,22655,22458,24726,24623,23228,23041
 "35000","New Mexico",6,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",93319,95123,101486,110592,106139,99643,109765,117478,125678,136975,144688,122182,127691,130919,145397,147105,145017,148458,142360,134498,145019,154725,153545,152139
 "35000","New Mexico",6,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",56981,59352,65441,69129,64188,61760,60655,67872,75374,83162,83853,78369,77916,71487,79785,76583,77163,77001,63610,86928,97770,94760,71869,79647
 "35000","New Mexico",6,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",730014,737652,874074,876920,833460,851651,804936,801638,831752,846290,757851,711966,748719,825047,838542,769757,721705,663104,619776,500152,497830,577571,594654,593964
 "35000","New Mexico",6,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",22827,28751,37149,27781,17635,18012,17961,18319,21299,20356,23142,23950,33619,33730,30870,33166,33865,33476,29804,31894,40518,41292,34939,35742
 "35000","New Mexico",6,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",36894,36651,41585,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",86416,86055,88226,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",26506,26836,28340,30607,32859,32345,33960,33926,41202,53058,52670,39917,34589,32940,28192,27199,27560,28551,28406,24792,25143,28331,29106,36222
