GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",215788108,227715411,242185623,251930680,257426279,265530003,278992193,290528103,305857854,320442612,328401746,321459482,329382675,342093806,351420060,361261902,372391227,387756971,392907546,407740216,424698254,441182458,438652470,466938946
 "42000","Pennsylvania",2,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",175755250,184861731,195893879,201372357,204938525,210524511,220396880,228655218,240662261,253535070,260394631,254388682,259595661,269701053,279980544,285209188,296353875,308370084,312717893,325346421,339270626,354128613,353548775,378917740
 "42000","Pennsylvania",2,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",40032858,42853680,46291744,50558323,52487754,55005492,58595313,61872885,65195593,66907542,68007115,67070800,69787014,72392753,71439516,76052714,76037352,79386887,80189653,82393795,85427628,87053845,85103695,88021206
 "42000","Pennsylvania",2,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",25887430,28220501,30910917,34734278,36359130,38458347,41342031,43632747,46186552,47371297,47967516,47364867,49491172,51138234,49591864,53532485,52838325,55279490,55745459,56832626,59370594,60148358,58941572,61055823
 "42000","Pennsylvania",2,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",14145428,14633179,15380827,15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23199027,24107397,24444194,25561169,26057034,26905487,26162123,26965383
 "42000","Pennsylvania",2,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38037,39453,41216,42869,44082,45805,47878,49393,51442,53566,54882,55527,56847,58454,59482,60881,62207,64226,64557,66335,68315,70258,75214,77884
 "42000","Pennsylvania",2,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",471603,428917,490569,505272,615001,564737,569502,474446,535740,667276,633642,590353,578892,501077,675441,676158,685646,604561,690781,687552,623287,508272,526436,526179
 "42000","Pennsylvania",2,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",215316505,227286494,241695054,251425408,256811278,264965266,278422691,290053657,305322114,319775336,327768104,320869129,328803783,341592729,350744619,360585744,371705581,387152410,392216765,407052664,424074967,440674186,438126034,466412767
 "42000","Pennsylvania",2,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",182204366,192624147,205021905,211489646,214454099,220392470,231170976,241588035,254593210,266950493,273404878,265360694,271468836,284866648,295361582,302958236,313573630,327739806,331996977,346129836,361420781,377447608,373489517,400887176
 "42000","Pennsylvania",2,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",145009,156360,178655,177380,177829,179930,205425,206621,233119,228942,234870,254111,254832,260014,281410,293289,309868,318539,332410,337070,357758,356423,384774,372809
 "42000","Pennsylvania",2,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",27075,30018,32582,(D),(D),(D),(D),29665,(D),(D),27543,26201,29468,31267,38368,41449,40498,45583,44599,45518,47139,47259,51094,51573
 "42000","Pennsylvania",2,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),10231,(D),(D),(D),(D),5151,(D),(D),3409,2161,1919,2262,2494,2181,2366,2509,2211,2276,2124,1934,1879,2243
 "42000","Pennsylvania",2,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",111298,119303,135842,139503,144397,148197,167730,171805,197898,193256,203918,225749,223445,226485,240548,249659,267004,270447,285600,289276,308495,307230,331801,318993
 "42000","Pennsylvania",2,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1033287,990006,987659,1091107,1022815,1019571,1125434,1219284,1357615,1420176,1584630,1619353,2125987,2794583,3279075,3310611,3638381,3257942,2373845,2840311,2991396,3038680,2406823,2384500
 "42000","Pennsylvania",2,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",115090,113620,113497,121779,112838,109435,119294,125260,164419,184121,237977,247396,420277,554077,729344,821298,900514,906011,759311,858421,716243,771776,693695,691607
 "42000","Pennsylvania",2,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",826031,779183,767800,846463,783274,775423,847459,907981,958923,936590,1014563,955739,1002530,1081732,1136311,1086914,1062995,964711,818008,904596,923332,921888,822155,853832
 "42000","Pennsylvania",2,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",92166,97203,106362,122865,126703,134713,158681,186043,234273,299465,332090,416218,703180,1158774,1413420,1402399,1674872,1387220,796526,1077294,1351821,1345016,890973,839061
 "42000","Pennsylvania",2,SAINC6N,300,"22","   Utilities ","Thousands of dollars",2369828,2468620,2631660,3080387,3102121,2830239,2665271,2574761,2601438,2750471,2870379,2755499,2850973,3146597,3009646,3127350,3197202,3618142,3741148,3669394,3845421,3776411,3916758,3908882
 "42000","Pennsylvania",2,SAINC6N,400,"23","   Construction ","Thousands of dollars",9877832,10977384,12039731,12535972,12730874,13068884,13565278,14453062,15465852,16177672,16289337,14676801,14361319,15097143,15691856,15970058,16939963,17660763,18188614,19892389,21012297,22111520,20874397,22672795
 "42000","Pennsylvania",2,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",2406565,2702489,2903903,3011421,3124938,3218678,3478231,3792773,3887462,3842983,3852362,3346114,3190886,3229574,3372814,3503015,3695671,4015759,4218271,4509857,4751229,5053679,4848901,5192658
 "42000","Pennsylvania",2,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1409538,1533120,1673385,1827227,1793457,1877178,1958343,2164842,2449083,2570108,2522637,2512931,2640380,3112673,3315419,3131464,3417171,3243574,3190959,3990029,4467944,4439531,3968428,4240884
 "42000","Pennsylvania",2,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",6061729,6741775,7462443,7697324,7812479,7973028,8128704,8495447,9129307,9764581,9914338,8817756,8530053,8754896,9003623,9335579,9827121,10401430,10779384,11392503,11793124,12618310,12057068,13239253
 "42000","Pennsylvania",2,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",40343519,41228860,43286634,42683683,40877463,39611603,39849948,40667144,41835555,42056856,42171117,38134139,38647580,40060627,40794880,40948660,42321319,43335584,42691483,43970153,45574424,46855517,45371581,47411985
 "42000","Pennsylvania",2,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",24853741,25410849,26454029,25621508,24409572,23671498,24282416,25211141,25943351,26054020,26262794,23067133,23224524,24591460,25171452,25302613,25936342,26653300,25796012,26784542,27988592,28475987,26848220,28182225
 "42000","Pennsylvania",2,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",866256,942776,994239,1027016,1089502,1135570,1221257,1305003,1285063,1222945,1122628,857015,851797,849452,842930,959418,1044442,1116912,1120989,1163128,1207721,1255776,1257323,1396432
 "42000","Pennsylvania",2,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1695221,1720737,1834231,1828868,1774209,1808012,1734561,1839268,1647032,1648995,1594073,1366289,1326083,1327798,1288098,1282245,1339343,1388557,1419394,1467190,1493067,1557408,1476646,1544395
 "42000","Pennsylvania",2,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",3133498,3116254,3287792,3090036,2811889,2688804,2780019,2756209,2947638,3103156,3239560,2603764,2762345,3108164,3200524,3207225,3216377,3090195,2894584,3066893,3305772,3242546,2855036,3047682
 "42000","Pennsylvania",2,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",4490182,4569365,4833429,4663835,4519113,4445972,4523467,4820694,4965875,5151853,5262864,4633434,4652402,4929735,5109425,5117519,5234012,5396310,5285106,5525347,5809298,5853641,5524610,5816432
 "42000","Pennsylvania",2,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",3964118,3907524,3941695,3736651,3431185,3228537,3317513,3546338,3664598,3771027,3828035,3294794,3264222,3566664,3713820,3685293,3756379,3821088,3539698,3715684,3964442,4100726,3818143,3973359
