GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "97000","Rocky Mountain",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",154435895,166871735,184616547,192069760,194019215,199463024,211144814,225165910,243683655,260493269,269221504,260682525,264215512,274270513,287900641,300426942,317890692,333857280,345204407,366118851,390078299,414497902,429658131,469010966
 "97000","Rocky Mountain",7,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",127635125,138045340,152762071,158114221,158901124,162347866,171569552,182597019,198141258,212700629,219792938,211347315,214096664,222925954,234836416,243475890,258647207,272652750,282189708,299395760,318589700,340145997,353837231,388681685
 "97000","Rocky Mountain",7,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",26800770,28826395,31854476,33955539,35118091,37115158,39575262,42568891,45542397,47792640,49428566,49335210,50118848,51344559,53064225,56951052,59243485,61204530,63014699,66723091,71488599,74351905,75820900,80329281
 "97000","Rocky Mountain",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",17309436,18750991,20843360,22420963,22977286,24520331,25978241,27966081,29696178,31128247,32274365,32873776,33304573,33399364,34300290,37716464,38847736,40003481,41313657,43975280,47800909,49449896,49895484,52661421
 "97000","Rocky Mountain",7,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",9491334,10075404,11011116,11534576,12140805,12594827,13597021,14602810,15846219,16664393,17154201,16461434,16814275,17945195,18763935,19234588,20395749,21201049,21701042,22747811,23687690,24902009,25925416,27667860
 "97000","Rocky Mountain",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34748,36493,39099,40351,41092,42400,44077,45769,47935,49917,51321,52111,53252,54443,55884,56856,58495,59785,60483,62647,65077,67453,72141,75730
 "97000","Rocky Mountain",7,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",1013905,1033286,1150407,1185839,1328025,1194284,1293253,1452326,1416086,1681323,1602912,1749805,1551429,1534508,1821375,2050252,2028359,1657108,1925384,2095804,2065739,1543053,2146802,2397761
 "97000","Rocky Mountain",7,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",153421990,165838449,183466140,190883921,192691190,198268740,209851561,223713584,242267569,258811946,267618592,258932720,262664083,272736005,286079266,298376690,315862333,332200172,343279023,364023047,388012560,412954849,427511329,466613205
 "97000","Rocky Mountain",7,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",122914254,133461995,148845302,153705016,152790217,156148611,165561126,177111415,193566668,207699121,213494805,202548483,204509861,213926254,226756888,237440643,252737496,266645571,274982232,293398891,314177831,336276829,347457778,383189356
 "97000","Rocky Mountain",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",423836,433937,442469,428845,451775,459715,516826,511516,564885,576980,579280,595066,617451,649721,700415,739238,800187,860976,888913,(D),991433,1031468,(D),1123562
