GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "45000","South Carolina",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",59857019,63618567,67503319,69042675,70762709,73898414,77646533,81744502,86988127,91834324,94383966,90449120,91552904,95568363,98406039,102052584,107255407,112891835,117192238,123268102,129173635,135924388,137025315,147809439
 "45000","South Carolina",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",49200667,52302192,55252238,56519421,57693395,59693464,62832932,65939349,70159090,73797913,75235600,72109546,73323840,75894639,79010444,81454801,85484329,90543670,94327035,99070591,102924632,108569766,110291662,119731275
 "45000","South Carolina",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",10656352,11316375,12251081,12523254,13069314,14204950,14813601,15805153,16829037,18036411,19148366,18339574,18229064,19673724,19395595,20597783,21771078,22348165,22865203,24197511,26249003,27354622,26733653,28078164
 "45000","South Carolina",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",6873928,7339301,8028288,8209751,8633154,9557429,9970537,10781199,11351550,12377537,13327098,12715511,12528823,13550887,13138425,14191811,15084321,15325350,15719890,16714312,18501961,19181082,18673027,19484966
 "45000","South Carolina",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",3782424,3977074,4222793,4313503,4436160,4647521,4843064,5023954,5477487,5658874,5821268,5624063,5700241,6122837,6257170,6405972,6686757,7022815,7145313,7483199,7747042,8173540,8060626,8593198
 "45000","South Carolina",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31698,32909,34459,35854,37086,38707,40241,41848,43591,45293,46877,47535,48383,49955,50537,51409,52765,54002,54920,56717,57952,59947,63448,66501
 "45000","South Carolina",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",137083,122736,132231,170436,162588,135040,175926,153764,159398,183462,171361,169922,168612,145945,217333,178748,167600,202823,164906,145757,143911,109796,109273,135201
 "45000","South Carolina",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",59719936,63495831,67371088,68872239,70600121,73763374,77470607,81590738,86828729,91650862,94212605,90279198,91384292,95422418,98188706,101873836,107087807,112689012,117027332,123122345,129029724,135814592,136916042,147674238
 "45000","South Carolina",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",47357872,50117012,52938298,54075692,55078989,57409886,60266342,63326549,67395453,70994637,72155726,67607747,68623960,72253945,74594453,77549461,82091566,86837602,90679188,96083604,101038194,106661345,106864919,116507558
 "45000","South Carolina",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",203974,205031,222705,231706,225228,232812,258560,247821,271637,270188,262055,261696,270554,278331,285253,290244,321937,336286,342201,359228,380901,380353,410228,405075
