GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",348050335,371202133,405530318,424073471,426499949,438092567,460511020,491616581,535976614,577146452,604305944,590906759,609819175,643136335,686630155,717225129,765703996,800577415,812554017,849920564,902069179,952602285,957473809,1034399677
 "48000","Texas",6,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",291035692,310514965,339022925,352372323,351936090,358092262,377505841,403719889,441805989,479339340,503933460,487488989,501475412,532550324,568953207,590997212,633138813,661819462,671133850,701771599,743499736,787639807,793112287,861407563
 "48000","Texas",6,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",57014643,60687168,66507393,71701148,74563859,80000305,83005179,87896692,94170625,97807112,100372484,103417770,108343763,110586011,117676948,126227917,132565183,138757953,141420167,148148965,158569443,164962478,164361522,172992114
 "48000","Texas",6,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",37404282,39936174,44142901,48222808,50915911,54555436,56341013,59714716,64446089,66202118,67683797,70937770,73987164,74004789,78749390,85782686,89833385,94019462,95751046,100056873,108779382,112973086,111904835,117039895
 "48000","Texas",6,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",19610361,20750994,22364492,23478340,23647948,25444869,26664166,28181976,29724536,31604994,32688687,32480000,34356599,36581222,38927558,40445231,42731798,44738491,45669121,48092092,49790061,51989392,52456687,55952219
 "48000","Texas",6,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",37134,38775,41167,42707,43238,44647,46427,48402,51007,53275,54606,54855,56567,58329,60450,61489,63709,65059,65266,67112,69522,71735,75190,78521
 "48000","Texas",6,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",785468,884212,851885,956721,686638,881415,977154,1153993,971667,1308002,1414161,1355111,1277575,1496422,1591322,1435042,1695027,1856396,1588348,1611455,1821839,1366777,1801675,1561162
 "48000","Texas",6,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",347264867,370317921,404678433,423116750,425813311,437211152,459533866,490462588,535004947,575838450,602891783,589551648,608541600,641639913,685038833,715790087,764008969,798721019,810965669,848309109,900247340,951235508,955672134,1032838515
 "48000","Texas",6,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",288106021,307514985,337177901,350767358,347584216,354129759,373304195,400354647,439039149,474070476,494662958,474818845,488088958,520603735,562415746,588971139,632582843,661146539,668688129,701999342,748990629,796077364,794324110,865811999
 "48000","Texas",6,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",765823,813699,863643,649446,686942,689402,779232,811552,858058,845747,874990,937688,974260,985826,1063928,1049065,1151336,1221522,1283750,1341888,1404327,1454154,1568077,1503794
 "48000","Texas",6,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",116009,115648,116732,106136,107519,95514,104900,109622,109672,108349,110735,102544,99123,96484,102968,94895,101921,101451,98947,96200,101575,101567,113690,112753
 "48000","Texas",6,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",10978,12386,14588,48176,46392,42820,51553,48278,54359,51597,48001,52922,51451,53712,60828,60057,69675,68291,64429,64679,66416,68320,76550,74722
 "48000","Texas",6,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",638836,685665,732323,495134,533031,551068,622779,653652,694027,685801,716254,782222,823686,835630,900132,894113,979740,1051780,1120374,1181009,1236336,1284267,1377837,1316319
 "48000","Texas",6,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",11570893,11820073,12685763,13861033,13031924,13605666,15369154,18349786,22006417,25080989,29628612,26302678,27554153,32547969,37550428,39970802,44601818,40250284,33148974,32864408,36416511,38164785,30980063,28108047
 "48000","Texas",6,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",7084207,7291356,8069761,8549126,8168653,8325850,9369805,10606887,12363949,13616021,16509146,15801961,16316213,18070056,20539706,21492302,23360926,22714736,20221854,17242691,17505860,18694655,17278747,14872138
 "48000","Texas",6,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",480173,493241,502324,530772,508428,555791,585507,547367,603217,630589,694876,637298,646046,647034,755300,770118,899073,924886,939034,1005091,1168080,1234968,1112411,1158482
 "48000","Texas",6,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",4006513,4035476,4113678,4781135,4354843,4724025,5413842,7195532,9039251,10834379,12424590,9863419,10591894,13830879,16255422,17708382,20341819,16610662,11988086,14616626,17742571,18235162,12588905,12077427
 "48000","Texas",6,SAINC6N,300,"22","   Utilities ","Thousands of dollars",3133587,3563053,4278561,5135181,5049575,4451848,4634109,4624810,5029653,5692406,5648552,5714343,5887318,6013762,6221982,6412826,6606485,6857279,7225165,7458019,7770234,8314140,8442256,8838274
 "48000","Texas",6,SAINC6N,400,"23","   Construction ","Thousands of dollars",20318024,22460906,25096809,25691597,25534383,25651079,25918622,28252980,32604546,36406510,39519713,35524181,33936294,34698873,38227835,41286596,46227096,49985543,51825033,54119604,58041186,63144426,61080674,62768693
 "48000","Texas",6,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",6377033,6786173,7478535,7891910,8048686,7985314,7905111,8609468,9989014,10711788,11394856,10254956,9681107,9849788,10338070,11196927,12773754,14345914,14801768,15125227,15454993,16240148,15469432,16381442
 "48000","Texas",6,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",3639206,4089592,4545813,4714509,4623963,4712362,4931048,5588702,6673648,7896063,8902911,7666202,7381480,7886695,9347825,9924945,10941880,11473190,11879429,12493603,14127853,16155757,15422669,14934936
 "48000","Texas",6,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",10301785,11585141,13072461,13085178,12861734,12953403,13082463,14054810,15941884,17798659,19221946,17603023,16873707,16962390,18541940,20164724,22511462,24166439,25143836,26500774,28458340,30748521,30188573,31452315
