GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",7337099,7776834,8347661,9000201,9452362,9958190,10631162,11529477,13424252,14895798,16195541,15263712,15529685,16172035,16978082,17540466,18373644,18306320,17269453,17664654,18512270,19209198,18553450,19645877
 "56000","Wyoming",7,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",6040447,6387324,6835198,7330442,7689551,8033904,8577838,9339746,10725959,11895985,12950649,12196367,12369655,12938727,13542550,13733258,14409506,14280525,13424368,13706876,14360904,15094422,14590504,15426455
 "56000","Wyoming",7,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",1296652,1389510,1512463,1669759,1762811,1924286,2053324,2189731,2698293,2999813,3244892,3067345,3160030,3233308,3435532,3807208,3964138,4025795,3845085,3957778,4151366,4114776,3962946,4219422
 "56000","Wyoming",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",803065,868109,958825,1085497,1173055,1297646,1381096,1461232,1671453,1845619,2021655,1891751,1967547,1977155,2096825,2462775,2535782,2646518,2530666,2631272,2816345,2722783,2602911,2769751
 "56000","Wyoming",7,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",493587,521401,553638,584262,589756,626640,672228,728499,1026840,1154194,1223237,1175594,1192483,1256153,1338707,1344433,1428356,1379277,1314419,1326506,1335021,1391993,1360035,1449671
 "56000","Wyoming",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",30522,31726,33144,34980,36325,38000,39792,42015,46774,50032,52918,52005,53548,55042,56918,58564,60455,60510,59273,61087,63447,64569,66185,69096
 "56000","Wyoming",7,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",74110,75122,84386,87580,99837,89078,96393,107986,104313,125788,120172,130838,115388,114334,149612,168676,162833,136563,158118,167851,165486,123741,172570,191309
 "56000","Wyoming",7,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",7262989,7701712,8263275,8912621,9352525,9869112,10534769,11421491,13319939,14770010,16075369,15132874,15414297,16057701,16828470,17371790,18210811,18169757,17111335,17496803,18346784,19085457,18380880,19454568
 "56000","Wyoming",7,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",5239549,5567110,6002944,6452816,6690299,6976566,7485933,8209966,9890706,10963843,11950611,10818841,10962013,11545907,12168047,12380312,13054055,12875490,11790639,12153131,12906560,13629576,12839405,13749266
 "56000","Wyoming",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",18240,19337,21040,27876,27659,25649,27487,23081,24629,24743,24955,27818,28806,31750,34522,35616,39057,40684,42116,(D),45871,47586,(D),47747
 "56000","Wyoming",7,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),5394,4211,3481,3602,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",12687,13869,15665,22482,23448,22168,23885,19548,20566,20326,21106,24302,25314,28022,30920,32163,34495,36262,37494,38238,41072,43252,46273,43424
 "56000","Wyoming",7,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",894189,887862,1029251,1160974,1134709,1217859,1414262,1634628,2164082,2325233,2639837,2221546,2296198,2568898,2727343,2688913,2821316,2506446,1925421,2134700,2315640,2332578,1802134,1705370
 "56000","Wyoming",7,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",164105,168313,246619,250683,232795,246500,275968,319199,408624,442867,534416,455349,497276,508218,568598,596417,623801,613021,487815,456672,452291,455001,408584,360523
 "56000","Wyoming",7,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",496399,492055,482475,500055,526402,546764,589539,612562,747307,808042,893634,867979,903595,948266,971891,952255,950638,1000985,900611,912874,943222,908151,854682,848405
 "56000","Wyoming",7,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",233685,227494,300157,410236,375512,424595,548755,702867,1008151,1074324,1211787,898218,895327,1112414,1186854,1140241,1246877,892440,536995,765154,920127,969426,538868,496442
 "56000","Wyoming",7,SAINC6N,300,"22","   Utilities ","Thousands of dollars",143993,147628,144706,(D),(D),188025,198411,210215,240417,257777,278098,269238,280292,292179,278841,293750,302336,317838,330839,322858,343701,345674,(D),349769
 "56000","Wyoming",7,SAINC6N,400,"23","   Construction ","Thousands of dollars",560840,652748,705873,772707,(D),810934,808440,918801,1203542,1497007,1705130,1375587,1355051,1267161,1349447,1394084,1555677,1506530,1341941,1262726,1362437,1652720,1512114,1546312
 "56000","Wyoming",7,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",119857,151156,164863,175962,(D),155833,159476,176755,213156,228663,249071,234620,196069,191948,203030,219062,228633,245246,235907,234564,231982,258063,266448,294529
 "56000","Wyoming",7,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",178459,212353,223019,247024,249814,281129,254176,308353,452641,632357,715198,501260,528826,468026,501794,470038,563644,481235,403283,352877,454135,632368,510234,479462
