GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01000","Alabama",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",5137217,4964073,5468965,6428205,6431165,6281886,6615419,6783780,6885672,7714823,7686519,8204905,8336869,7798533,7774614,8125313,8146244,8254710,8193132,8362668,8570605,9079045
 "01000","Alabama",5,SAINC70,2,"..."," Output ","Thousands of dollars",21371,25340,31648,32308,33274,34630,45180,47301,38970,32867,33694,35568,35082,34667,33062,38231,41087,44336,47124,52625,62039,65119
 "01000","Alabama",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",3239405,3186162,3472401,3978367,4038554,3972754,4185715,4348368,4487514,4939665,4990911,5260643,5260204,5071519,5084765,5337111,5371518,5335054,5259840,5340607,5453371,5726119
 "01000","Alabama",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",1362964,1433591,1507485,1560837,1679217,1698252,1801191,1960257,2128326,2197374,2328997,2351949,2218621,2379172,2427978,2587140,2637879,2459734,2373672,2371171,2398176,2438312
 "01000","Alabama",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",345740,404495,408962,470623,451571,530032,690147,919911,1109161,1152084,1127097,1033853,942927,1036093,1128679,1233727,1253592,1355765,1342789,1332485,1436371,1511924
 "01000","Alabama",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",649390,634508,682709,661334,802488,748696,670596,554639,493035,510955,672945,714634,580239,626911,573153,620190,646085,369043,303516,300873,216667,171133
 "01000","Alabama",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",389205,419928,447462,461188,458432,454154,485628,533008,565100,567202,562649,639030,730537,750835,759208,771454,779289,779262,774491,790438,807177,820374
 "01000","Alabama",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",21371,25340,31648,32308,33274,34630,45180,47301,38970,32867,33694,35568,35082,34667,33062,38231,41087,44336,47124,52625,62039,65119
 "01000","Alabama",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1876441,1752571,1964916,2417530,2359337,2274502,2384524,2388111,2359188,2742291,2661914,2908694,3041583,2692347,2656787,2749971,2733639,2875320,2886168,2969436,3055195,3287807
 "01000","Alabama",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",1876441,1752571,1964916,2417530,2359337,2274502,2384524,2388111,2359188,2742291,2661914,2908694,3041583,2692347,2656787,2749971,2733639,2875320,2886168,2969436,3055195,3287807
 "01000","Alabama",5,SAINC70,11,"...","  Interest ","Thousands of dollars",1643869,1560546,1819568,2271696,2172032,1998156,2019856,2011920,2018252,2438933,2328609,2525578,2643868,2276523,2222543,2309319,2262336,2340959,2391827,2528801,2528039,2683830
 "01000","Alabama",5,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",1264279,1023421,1090915,1259615,1239318,998445,937666,962340,812041,635161,644890,705513,708601,684372,729671,734839,633564,704714,768487,691194,779322,788033
 "01000","Alabama",5,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",379590,537125,728653,1012081,932714,999711,1082190,1049580,1206211,1803772,1683719,1820065,1935267,1592151,1492872,1574480,1628772,1636245,1623340,1837607,1748717,1895797
 "01000","Alabama",5,SAINC70,14,"...","  Dividends ","Thousands of dollars",232572,192025,145348,145834,187305,276346,364668,376191,340936,303358,333305,383116,397715,415824,434244,440652,471303,534361,494341,440635,527156,603977
 "01000","Alabama",5,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",5137217,4964073,5468965,6428205,6431165,6281886,6615419,6783780,6885672,7714823,7686519,8204905,8336869,7798533,7774614,8125313,8146244,8254710,8193132,8362668,8570605,9079045
 "01000","Alabama",5,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",21371,25340,31648,32308,33274,34630,45180,47301,38970,32867,33694,35568,35082,34667,33062,38231,41087,44336,47124,52625,62039,65119
 "01000","Alabama",5,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",1876441,1752571,1964916,2417530,2359337,2274502,2384524,2388111,2359188,2742291,2661914,2908694,3041583,2692347,2656787,2749971,2733639,2875320,2886168,2969436,3055195,3287807
 "01000","Alabama",5,SAINC70,18,"...","  Interest ","Thousands of dollars",1643869,1560546,1819568,2271696,2172032,1998156,2019856,2011920,2018252,2438933,2328609,2525578,2643868,2276523,2222543,2309319,2262336,2340959,2391827,2528801,2528039,2683830
 "01000","Alabama",5,SAINC70,19,"...","  Dividends ","Thousands of dollars",232572,192025,145348,145834,187305,276346,364668,376191,340936,303358,333305,383116,397715,415824,434244,440652,471303,534361,494341,440635,527156,603977
 "01000","Alabama",5,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",1250993,1331387,1406900,1483462,1587465,1689635,1960435,2255189,2399913,2500450,2670954,2851162,3020016,3151898,3337403,3528540,3639281,3698194,3750173,3836583,3945640,4048905
