GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",6115123,6358668,6677469,8531699,8986480,8965276,10244843,11512324,10027658,10700203,11052813,10890015,11480995,12435280,12642376,12505832,12836259,14247828,14414454,15066644,15434498,15947330
 "37000","North Carolina",5,SAINC70,2,"..."," Output ","Thousands of dollars",400415,476489,303508,282846,374896,576693,839610,1004489,634786,301200,278206,300630,325354,370680,439324,487420,493347,501028,495648,426901,408950,469400
 "37000","North Carolina",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",4320420,4494728,4824034,5831057,6159437,6094103,6659613,7302944,6903217,7488925,7728474,7488750,7764022,8567431,8665861,8609192,8702875,9419224,9658121,10126286,10386862,10644408
 "37000","North Carolina",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",2926132,3107277,3274107,3413261,3707290,3799623,3913993,4098053,4413562,4578847,4682341,4388115,4372403,5070262,5128670,5199972,5062838,5091648,5397436,5612829,5748176,5810886
 "37000","North Carolina",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",980701,780995,553514,572014,603659,883661,1138893,1312491,1270956,1094706,1173217,1463738,1698886,1869928,2048895,2173062,2278428,2597322,2809732,2883972,3224113,3651711
 "37000","North Carolina",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",1548543,1955324,2118894,2165511,2522249,2539149,2612219,2717247,2626345,2595554,2584793,2050194,1827773,2383199,2284099,2221055,1943035,1640426,1712420,1759261,1523055,1211754
 "37000","North Carolina",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",797303,847447,905207,958582,956278,953506,1002491,1072804,1151047,1189787,1202537,1174813,1171098,1187815,1235000,1293275,1334722,1354928,1370932,1396497,1409958,1416821
 "37000","North Carolina",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",400415,476489,303508,282846,374896,576693,839610,1004489,634786,301200,278206,300630,325354,370680,439324,487420,493347,501028,495648,426901,408950,469400
 "37000","North Carolina",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1394288,1387451,1549927,2417796,2452147,2294480,2745620,3204891,2489655,2910078,3046133,3100635,3391619,3497169,3537191,3409220,3640037,4327576,4260685,4513457,4638686,4833522
 "37000","North Carolina",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",1394288,1387451,1549927,2417796,2452147,2294480,2745620,3204891,2489655,2910078,3046133,3100635,3391619,3497169,3537191,3409220,3640037,4327576,4260685,4513457,4638686,4833522
