GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",15536295,15794297,17960435,20692788,21245548,21875123,23215001,24329017,23989408,25762478,24721862,22643393,22692413,21673765,21382357,22707733,23237034,24322910,24142264,25197291,25601647,26113553
 "34000","New Jersey",2,SAINC70,2,"..."," Output ","Thousands of dollars",32670,39112,50504,51176,53894,51652,52836,60830,54805,45932,50149,51346,49794,47554,48587,53499,52324,50482,55842,61862,68023,76047
 "34000","New Jersey",2,SAINC70,3,"..."," Contributions ","Thousands of dollars",9394537,9711734,10996286,12430695,12941501,13398855,14221908,14929928,14902481,15916838,15606006,14286977,14069478,13805606,13488765,14112133,14256068,14768155,14752047,15409631,15715531,15944189
 "34000","New Jersey",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",3285449,3668283,4082641,4219778,4691348,4974239,5281651,5591669,5870359,6117130,6540299,5981907,5496337,5985001,5643760,5570032,5327426,5263882,5417672,5683833,5897438,5850872
 "34000","New Jersey",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",259813,287130,248040,468865,475218,249066,1084733,2109328,1945505,1710954,1347743,1466959,2239145,2331150,2335409,2772543,3232671,4071363,4701154,5077968,5721954,7311674
 "34000","New Jersey",2,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",2146077,2506615,2972712,2823978,3079570,3418661,2838078,2020911,2315722,2733503,3531707,2795795,1378272,1736052,1368821,786811,17837,-905491,-1399470,-1540491,-1968053,-3589192
 "34000","New Jersey",2,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",912229,913650,912393,978111,1190454,1358164,1411676,1522260,1663937,1718605,1710998,1770499,1928714,1965353,1988117,2064177,2129242,2148492,2171830,2208218,2211560,2204437
 "34000","New Jersey",2,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",32670,39112,50504,51176,53894,51652,52836,60830,54805,45932,50149,51346,49794,47554,48587,53499,52324,50482,55842,61862,68023,76047
 "34000","New Jersey",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",6109088,6043451,6913645,8210917,8250153,8424616,8940257,9338259,9032122,9799708,9065707,8305070,8573141,7820605,7845005,8542101,8928642,9504273,9334375,9725798,9818093,10093317
 "34000","New Jersey",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",6109088,6043451,6913645,8210917,8250153,8424616,8940257,9338259,9032122,9799708,9065707,8305070,8573141,7820605,7845005,8542101,8928642,9504273,9334375,9725798,9818093,10093317
 "34000","New Jersey",2,SAINC70,11,"...","  Interest ","Thousands of dollars",5620704,5573251,6456523,7741257,7675115,7745786,8278999,8707300,8467566,9401590,8750745,7969873,8187939,7597984,7832010,8529380,8916575,9095940,8522682,8913702,8947966,9025011
 "34000","New Jersey",2,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",2633985,2110985,2167007,2474761,2496630,2387378,2394521,2783845,2605271,2051068,2081545,1984591,1937634,1748379,1960585,2202784,2048141,1944845,1464499,1334689,1339077,1457909
 "34000","New Jersey",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",2986719,3462266,4289516,5266496,5178485,5358408,5884478,5923455,5862295,7350522,6669200,5985282,6250305,5849605,5871425,6326596,6868434,7151095,7058183,7579013,7608889,7567102
 "34000","New Jersey",2,SAINC70,14,"...","  Dividends ","Thousands of dollars",488384,470200,457122,469660,575038,678830,661258,630959,564556,398118,314962,335197,385202,222621,12995,12721,12067,408333,811693,812096,870127,1068306
 "34000","New Jersey",2,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",15536295,15794297,17960435,20692788,21245548,21875123,23215001,24329017,23989408,25762478,24721862,22643393,22692413,21673765,21382357,22707733,23237034,24322910,24142264,25197291,25601647,26113553
 "34000","New Jersey",2,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",32670,39112,50504,51176,53894,51652,52836,60830,54805,45932,50149,51346,49794,47554,48587,53499,52324,50482,55842,61862,68023,76047
 "34000","New Jersey",2,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",6109088,6043451,6913645,8210917,8250153,8424616,8940257,9338259,9032122,9799708,9065707,8305070,8573141,7820605,7845005,8542101,8928642,9504273,9334375,9725798,9818093,10093317
 "34000","New Jersey",2,SAINC70,18,"...","  Interest ","Thousands of dollars",5620704,5573251,6456523,7741257,7675115,7745786,8278999,8707300,8467566,9401590,8750745,7969873,8187939,7597984,7832010,8529380,8916575,9095940,8522682,8913702,8947966,9025011
 "34000","New Jersey",2,SAINC70,19,"...","  Dividends ","Thousands of dollars",488384,470200,457122,469660,575038,678830,661258,630959,564556,398118,314962,335197,385202,222621,12995,12721,12067,408333,811693,812096,870127,1068306
 "34000","New Jersey",2,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",3410682,3821874,4413563,4961096,5421246,5827957,6000141,6138505,6634053,7212128,7900405,8407176,8748371,9214795,9714103,10232306,10602595,11050031,11377743,11685576,11846606,11983535
 "34000","New Jersey",2,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",5983855,5889860,6582723,7469599,7520255,7570898,8221767,8791423,8268428,8704710,7705601,5879801,5321107,4590811,3774662,3879827,3653473,3718124,3374304,3724055,3868925,3960654
 "34000","New Jersey",2,SAINC70,22,"...","Cash flow ","Thousands of dollars",851059,-79021,-679505,-620875,-737800,-1206171,-500789,847057,90411,-1379315,-2495306,-2901276,-2307470,-2994846,-3465584,-3233580,-3232798,-2527480,-2284409,-2314467,-1771911,-17256
 "34000","New Jersey",2,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",1172042,1200780,1160433,1446976,1665672,1607230,2496409,3631588,3609442,3429559,3058741,3237458,4167859,4296503,4323526,4836720,5361913,6219855,6872984,7286186,7933514,9516111
 "34000","New Jersey",2,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",3122369,2581185,2624129,2944421,3071668,3066208,3055779,3414804,3169827,2449186,2396507,2319788,2322836,1971000,1973580,2215505,2060208,2353178,2276192,2146785,2209204,2526215
 "34000","New Jersey",2,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",3410682,3821874,4413563,4961096,5421246,5827957,6000141,6138505,6634053,7212128,7900405,8407176,8748371,9214795,9714103,10232306,10602595,11050031,11377743,11685576,11846606,11983535
 "34000","New Jersey",2,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",32670,39112,50504,51176,53894,51652,52836,60830,54805,45932,50149,51346,49794,47554,48587,53499,52324,50482,55842,61862,68023,76047
 "34000","New Jersey",2,SAINC70,27,"...","Employers' normal cost ","Thousands of dollars",2373220,2754633,3170248,3241667,3500894,3616075,3869975,4069409,4206422,4398525,4829301,4211408,3567623,4019648,3655643,3505855,3198184,3115390,3245842,3475615,3685878,3646435
 "34000","New Jersey",2,SAINC70,28,"...","Interest accrued on benefit entitlements ","Thousands of dollars",6630257,7094591,7787978,8240243,8193390,8503764,9108492,9663332,10197215,10803837,10168773,9613480,9609289,8727536,8980961,9484880,9832284,10020292,10147885,10430291,10772983,10897343
 "34000","New Jersey",2,SAINC70,29,"...","Benefit entitlements ","Thousands of dollars",118320896,129964906,137705486,141945320,155035305,165963444,175966674,185780364,196973488,193873954,193467176,193792256,197876282,226538988,239430651,248418558,253371785,256647914,263728415,272269676,275469981,279184866
 "34000","New Jersey",2,SAINC70,30,"...","Pension plan assets ","Thousands of dollars",60616702,58472705,49930874,55176532,57609360,58972404,68267549,79192794,63327724,70663079,73761502,68785747,73547751,79753362,81265872,76707880,74594847,80193680,74253025,82047237,86292112,93662034
 "34000","New Jersey",2,SAINC70,31,"...","Plans' claims on employers ","Thousands of dollars",57704194,71492201,87774612,86768788,97425945,106991040,107699125,106587570,133645764,123210875,119705674,125006509,124328531,146785626,158164779,171710678,178776938,176454234,189475390,190222439,189177869,185522832
 "34000","New Jersey",2,SAINC70,32,"...","Funded ratio 5/","Ratio",51.2,45.0,36.3,38.9,37.2,35.5,38.8,42.6,32.2,36.4,38.1,35.5,37.2,35.2,33.9,30.9,29.4,31.2,28.2,30.1,31.3,33.5
"Note: See the included footnote file."
"SAINC70: Transactions of State and Local Government Defined Benefit Pension Plans "
"Last updated: September 30, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
