GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",599499,620452,731579,865949,950465,959804,904277,884821,951624,1213585,1213328,1164171,1228212,1230081,1244141,1395007,1537592,1579658,1495487,1601865,1488152,1587592
 "46000","South Dakota",4,SAINC70,2,"..."," Output ","Thousands of dollars",13119,15314,18893,16749,15310,17155,24540,35537,38239,36282,37558,35924,34378,32278,26246,27659,34373,42155,52050,56329,63864,74222
 "46000","South Dakota",4,SAINC70,3,"..."," Contributions ","Thousands of dollars",368128,381808,451384,538713,593799,593495,562887,555183,596129,736649,753519,730904,750326,764503,789699,878126,953232,967582,918193,974629,908416,958151
 "46000","South Dakota",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",149876,158478,190082,228226,252443,244341,246037,261082,278873,295995,331268,333561,306818,331203,361503,388904,403245,397661,392949,403722,392544,402932
 "46000","South Dakota",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",65182,65115,73190,91405,81789,87259,96085,109898,125164,131980,131710,130435,131082,140149,140480,144968,158789,179847,188819,188090,200468,223229
 "46000","South Dakota",4,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",34232,40872,58042,56083,86424,87260,87782,94515,94905,100153,133950,136442,106602,116225,133131,149763,150030,127940,124019,137800,120349,117536
 "46000","South Dakota",4,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",63581,67805,77743,97487,99540,86977,86710,92206,97043,100144,103166,102608,103512,107107,114138,121832,128799,132029,132161,134161,135591,136389
 "46000","South Dakota",4,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",13119,15314,18893,16749,15310,17155,24540,35537,38239,36282,37558,35924,34378,32278,26246,27659,34373,42155,52050,56329,63864,74222
 "46000","South Dakota",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",218252,223330,261302,310487,341356,349154,316850,294101,317256,440654,422251,397343,443508,433300,428196,489222,549987,569921,525244,570907,515872,555219
 "46000","South Dakota",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",218252,223330,261302,310487,341356,349154,316850,294101,317256,440654,422251,397343,443508,433300,428196,489222,549987,569921,525244,570907,515872,555219
 "46000","South Dakota",4,SAINC70,11,"...","  Interest ","Thousands of dollars",163636,173040,215589,263450,276370,246826,212881,196481,225432,364808,346176,304268,335440,311159,289407,368899,440441,438556,398146,440048,365750,390286
 "46000","South Dakota",4,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",139234,109266,115078,131970,177779,157655,132903,117401,123975,117707,117089,112225,103989,88085,83226,123468,161939,184237,202410,185784,167034,182631
 "46000","South Dakota",4,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",24402,63774,100511,131480,98591,89171,79978,79080,101457,247101,229087,192043,231451,223074,206181,245431,278502,254319,195736,254264,198716,207655
 "46000","South Dakota",4,SAINC70,14,"...","  Dividends ","Thousands of dollars",54616,50290,45713,47037,64986,102328,103969,97620,91824,75846,76075,93075,108068,122141,138789,120323,109546,131365,127098,130859,150122,164933
 "46000","South Dakota",4,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",599499,620452,731579,865949,950465,959804,904277,884821,951624,1213585,1213328,1164171,1228212,1230081,1244141,1395007,1537592,1579658,1495487,1601865,1488152,1587592
 "46000","South Dakota",4,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",13119,15314,18893,16749,15310,17155,24540,35537,38239,36282,37558,35924,34378,32278,26246,27659,34373,42155,52050,56329,63864,74222
 "46000","South Dakota",4,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",218252,223330,261302,310487,341356,349154,316850,294101,317256,440654,422251,397343,443508,433300,428196,489222,549987,569921,525244,570907,515872,555219
 "46000","South Dakota",4,SAINC70,18,"...","  Interest ","Thousands of dollars",163636,173040,215589,263450,276370,246826,212881,196481,225432,364808,346176,304268,335440,311159,289407,368899,440441,438556,398146,440048,365750,390286
 "46000","South Dakota",4,SAINC70,19,"...","  Dividends ","Thousands of dollars",54616,50290,45713,47037,64986,102328,103969,97620,91824,75846,76075,93075,108068,122141,138789,120323,109546,131365,127098,130859,150122,164933
 "46000","South Dakota",4,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",175722,189614,202526,219027,238296,257467,277881,288198,317140,360119,383765,398399,422591,451916,488199,536684,558341,584292,611874,640528,661753,682184
 "46000","South Dakota",4,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",192406,192194,248858,319686,355503,336028,285006,266985,278989,376530,369754,332505,327735,312587,301500,341442,394891,383290,306319,334101,246663,275967
 "46000","South Dakota",4,SAINC70,22,"...","Cash flow ","Thousands of dollars",133772,87548,90305,132123,170488,159597,117246,93390,82627,29276,6717,4020,-10318,-26712,-37812,-53752,-33641,1031,-13436,-57963,-72402,-49224
 "46000","South Dakota",4,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",128763,132920,150933,188892,181329,174236,182795,202104,222207,232124,234876,233043,234594,247256,254618,266800,287588,311876,320980,322251,336059,359618
 "46000","South Dakota",4,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",193850,159556,160791,179007,242765,259983,236872,215021,215799,193553,193164,205300,212057,210226,222015,243791,271485,315602,329508,316643,317156,347564
 "46000","South Dakota",4,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",175722,189614,202526,219027,238296,257467,277881,288198,317140,360119,383765,398399,422591,451916,488199,536684,558341,584292,611874,640528,661753,682184
 "46000","South Dakota",4,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",13119,15314,18893,16749,15310,17155,24540,35537,38239,36282,37558,35924,34378,32278,26246,27659,34373,42155,52050,56329,63864,74222
 "46000","South Dakota",4,SAINC70,27,"...","Employers' normal cost ","Thousands of dollars",86295,90673,112339,130739,152903,157364,159327,168876,181830,195851,228102,230953,203306,224096,247365,267072,274446,265632,260788,269561,256953,266543
 "46000","South Dakota",4,SAINC70,28,"...","Interest accrued on benefit entitlements ","Thousands of dollars",391621,417894,412037,414283,418544,441726,467005,515131,559919,583874,573813,585056,614462,573582,619027,687549,716127,705792,701985,727232,722901,761408
 "46000","South Dakota",4,SAINC70,29,"...","Benefit entitlements ","Thousands of dollars",6980366,6873530,6900337,7234850,8037879,8506700,9379392,10199206,10647529,10938340,11733131,12346442,12976310,15538365,17261906,17979947,17737185,17658008,18298017,18205791,19173453,19628249
 "46000","South Dakota",4,SAINC70,30,"...","Pension plan assets ","Thousands of dollars",5917460,5198339,4709006,5810366,6416593,7052550,7941575,8354535,6154791,6920446,7892279,7717408,8822494,10383840,11126143,11017392,11379237,12764616,11941423,13237895,13982081,15240881
 "46000","South Dakota",4,SAINC70,31,"...","Plans' claims on employers ","Thousands of dollars",1062906,1675191,2191331,1424484,1621286,1454150,1437817,1844671,4492738,4017894,3840852,4629034,4153816,5154525,6135763,6962555,6357948,4893392,6356594,4967896,5191372,4387368
 "46000","South Dakota",4,SAINC70,32,"...","Funded ratio 5/","Ratio",84.8,75.6,68.2,80.3,79.8,82.9,84.7,81.9,57.8,63.3,67.3,62.5,68.0,66.8,64.5,61.3,64.2,72.3,65.3,72.7,72.9,77.6
"Note: See the included footnote file."
"SAINC70: Transactions of State and Local Government Defined Benefit Pension Plans "
"Last updated: September 30, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
