GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "95000","Southeast",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",67099375,67485288,72279478,86740643,87466337,87134488,92210049,96060357,91436975,106814620,110599827,110155351,115555694,118606972,116876770,118552656,123255818,130766620,129903805,135119555,134008268,136631004
 "95000","Southeast",5,SAINC70,2,"..."," Output ","Thousands of dollars",1208791,1485494,1424908,1409615,1740109,2007243,2498419,2845377,2062193,1481446,1671970,1794834,1990917,2238814,2389575,2533483,2737433,3021699,3178154,3145825,3398241,3887296
 "95000","Southeast",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",43682901,44381270,47292408,54985918,56263699,55930153,58519753,61013148,59928244,68210753,70873204,70095338,72304258,76050785,74990027,75810786,78100392,81633948,81317506,84149176,83549265,84820614
 "95000","Southeast",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",21475218,22762746,23730246,24640808,26801170,26733061,27327876,28811316,30481706,31088332,32818551,31830159,31043739,35733412,35492859,35602399,35682399,35522975,35909361,36324622,36488503,36897520
 "95000","Southeast",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",9926824,9253378,8854708,10916270,10897804,12459500,14304444,15826505,16505614,16533580,17055925,17367290,17764999,19592972,20959552,22172877,23456500,26619469,27988310,28145533,30036841,32077713
 "95000","Southeast",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",8521959,10485514,11595334,10240509,12715219,11372791,10393603,10334873,10137479,10042227,11317874,9440996,7615145,10333901,8751865,7430247,5935499,2657575,1820573,1921454,344506,-857940
 "95000","Southeast",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",4235226,4509348,4705112,4893644,4928256,4908013,5128248,5495315,5900806,5993971,6116722,6816707,7654512,8045353,8171017,8532758,9027833,9267630,9278632,9403460,9505397,9565043
 "95000","Southeast",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",1208791,1485494,1424908,1409615,1740109,2007243,2498419,2845377,2062193,1481446,1671970,1794834,1990917,2238814,2389575,2533483,2737433,3021699,3178154,3145825,3398241,3887296
 "95000","Southeast",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",22207683,21618524,23562162,30345110,29462529,29197092,31191877,32201832,29446538,37122421,38054653,38265179,41260519,40317373,39497168,40208387,42417993,46110973,45408145,47824554,47060762,47923094
 "95000","Southeast",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",22207683,21618524,23562162,30345110,29462529,29197092,31191877,32201832,29446538,37122421,38054653,38265179,41260519,40317373,39497168,40208387,42417993,46110973,45408145,47824554,47060762,47923094
 "95000","Southeast",5,SAINC70,11,"...","  Interest ","Thousands of dollars",17811326,17652970,20344036,27227525,25401014,24298848,25806884,26256713,23902447,32462630,33120836,32581853,35072288,33450675,32385147,33599083,35506947,37860569,37597795,40688098,38944716,39044275
 "95000","Southeast",5,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",13187558,10822378,11246891,12723743,13003890,11983800,12269495,13203805,10044482,7496223,8226394,8085129,7890945,7939064,8195704,8062549,7684877,9110918,10379590,10164321,10297765,11546359
 "95000","Southeast",5,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",4623768,6830592,9097145,14503782,12397124,12315048,13537389,13052908,13857965,24966407,24894442,24496724,27181343,25511611,24189443,25536534,27822070,28749651,27218205,30523777,28646951,27497916
 "95000","Southeast",5,SAINC70,14,"...","  Dividends ","Thousands of dollars",4396357,3965554,3218126,3117585,4061515,4898244,5384993,5945119,5544091,4659791,4933817,5683326,6188231,6866698,7112021,6609304,6911046,8250404,7810350,7136456,8116046,8878819
 "95000","Southeast",5,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",67099375,67485288,72279478,86740643,87466337,87134488,92210049,96060357,91436975,106814620,110599827,110155351,115555694,118606972,116876770,118552656,123255818,130766620,129903805,135119555,134008268,136631004
 "95000","Southeast",5,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",1208791,1485494,1424908,1409615,1740109,2007243,2498419,2845377,2062193,1481446,1671970,1794834,1990917,2238814,2389575,2533483,2737433,3021699,3178154,3145825,3398241,3887296
 "95000","Southeast",5,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",22207683,21618524,23562162,30345110,29462529,29197092,31191877,32201832,29446538,37122421,38054653,38265179,41260519,40317373,39497168,40208387,42417993,46110973,45408145,47824554,47060762,47923094
 "95000","Southeast",5,SAINC70,18,"...","  Interest ","Thousands of dollars",17811326,17652970,20344036,27227525,25401014,24298848,25806884,26256713,23902447,32462630,33120836,32581853,35072288,33450675,32385147,33599083,35506947,37860569,37597795,40688098,38944716,39044275
 "95000","Southeast",5,SAINC70,19,"...","  Dividends ","Thousands of dollars",4396357,3965554,3218126,3117585,4061515,4898244,5384993,5945119,5544091,4659791,4933817,5683326,6188231,6866698,7112021,6609304,6911046,8250404,7810350,7136456,8116046,8878819
 "95000","Southeast",5,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",16825352,18939129,21247911,23516581,25052263,26554127,28882727,31805963,34096816,36180076,39145703,41403485,43950242,46592305,49064509,52100871,54690776,57555040,59752060,61540167,62763764,63876921
 "95000","Southeast",5,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",26857549,25442141,26044497,31469337,31211436,29376026,29637026,29207185,25831428,32030677,31727501,28691853,28354016,29458480,25925518,23709915,23409616,24078908,21565446,22609009,20785501,20943693
 "95000","Southeast",5,SAINC70,22,"...","Cash flow ","Thousands of dollars",13711822,8126035,5352018,6725046,6099093,5688187,5706034,5819404,1835984,-2977957,-4484815,-5245867,-6442472,-6387032,-7015790,-9256866,-10347953,-7328318,-7473332,-9836222,-8205956,-5696283
 "95000","Southeast",5,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",14162050,13762726,13559820,15809914,15826060,17367513,19432692,21321820,22406420,22527551,23172647,24183997,25419511,27638325,29130569,30705635,32484333,35887099,37266942,37548993,39542238,41642756
 "95000","Southeast",5,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",17583915,14787932,14465017,15841328,17065405,16882044,17654488,19148924,15588573,12156014,13160211,13768455,14079176,14805762,15307725,14671853,14595923,17361322,18189940,17300777,18413811,20425178
 "95000","Southeast",5,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",16825352,18939129,21247911,23516581,25052263,26554127,28882727,31805963,34096816,36180076,39145703,41403485,43950242,46592305,49064509,52100871,54690776,57555040,59752060,61540167,62763764,63876921
 "95000","Southeast",5,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",1208791,1485494,1424908,1409615,1740109,2007243,2498419,2845377,2062193,1481446,1671970,1794834,1990917,2238814,2389575,2533483,2737433,3021699,3178154,3145825,3398241,3887296
 "95000","Southeast",5,SAINC70,27,"...","Employers' normal cost ","Thousands of dollars",17239992,18253398,19025134,19747164,21872914,21825048,22199628,23316001,24580900,25094361,26701829,25013452,23389227,27688059,27321842,27069641,26654566,26255345,26630729,26921162,26983106,27332477
 "95000","Southeast",5,SAINC70,28,"...","Interest accrued on benefit entitlements ","Thousands of dollars",30907982,33348888,35412408,37429531,38009907,40234088,42753604,45354349,48251405,51105764,51079775,52744787,54144719,49438943,50854699,52977395,54611091,56503618,58377152,59991410,61802220,63537202
 "95000","Southeast",5,SAINC70,29,"...","Benefit entitlements ","Thousands of dollars",553940419,588993799,623284486,656561547,731441844,778105550,826101751,879080289,931706989,974329278,1059622567,1089270546,1118659490,1278085302,1332605427,1374686771,1423497267,1471233088,1512267610,1558062525,1601788402,1646326173
 "95000","Southeast",5,SAINC70,30,"...","Pension plan assets ","Thousands of dollars",440097732,437374145,381555727,464824733,507531056,531970071,588776188,627116410,477772602,526830949,569687933,545641967,603561120,673349205,694192552,679135759,704757672,790779336,749172835,841887901,914339293,1025541120
 "95000","Southeast",5,SAINC70,31,"...","Plans' claims on employers ","Thousands of dollars",113842687,151619654,241728759,191736814,223910788,246135479,237325563,251963879,453934387,447498329,489934634,543628579,515098370,604736097,638412875,695551012,718739595,680453752,763094775,716174624,687449109,620785053
 "95000","Southeast",5,SAINC70,32,"...","Funded ratio 5/","Ratio",79.4,74.3,61.2,70.8,69.4,68.4,71.3,71.3,51.3,54.1,53.8,50.1,54.0,52.7,52.1,49.4,49.5,53.7,49.5,54.0,57.1,62.3
"Note: See the included footnote file."
"SAINC70: Transactions of State and Local Government Defined Benefit Pension Plans "
"Last updated: September 30, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
