GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",348474000,359818000,406043000,485795000,488615000,493870000,519795000,527689000,516725000,609864000,620230000,612962000,646006000,667343000,663945000,680073000,716884000,765865000,760472000,793275000,795587000,812372000
 "00000","United States", ,SAINC70,2,"..."," Output ","Thousands of dollars",5956000,7485000,7735000,7791000,9040000,10114000,12571000,14033000,10896000,8729000,9771000,10453000,11145000,12243000,13053000,13606000,15023000,17157000,18621000,19486000,21737000,24805000
 "00000","United States", ,SAINC70,3,"..."," Contributions ","Thousands of dollars",229005000,238331000,265283000,307783000,314304000,317688000,332249000,339800000,340287000,390457000,401438000,395082000,409741000,433841000,432399000,442124000,461505000,484855000,481939000,499392000,500837000,509106000
 "00000","United States", ,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",115492000,124329000,132258000,137562000,149033000,151620000,157274000,165944000,174745000,179779000,192417000,187655000,184621000,212582000,213906000,217781000,221149000,221002000,222027000,224995000,227824000,230645000
 "00000","United States", ,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",39683000,39221000,42082000,56462000,55823000,61880000,69569000,77680000,82877000,85205000,89914000,96652000,102487000,112428000,124185000,134076000,141391000,163263000,171960000,173217000,186260000,200210000
 "00000","United States", ,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",56049000,65541000,69395000,58815000,71373000,68025000,66835000,66701000,64834000,64316000,72571000,60216000,49910000,67636000,56407000,47991000,41980000,20080000,12767000,14090000,5306000,-3365000
 "00000","United States", ,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",25716000,27052000,28516000,30076000,30877000,31829000,33441000,35596000,37930000,38987000,39703000,41240000,43369000,44761000,46367000,49320000,52801000,54816000,55921000,57174000,57995000,58605000
 "00000","United States", ,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",5956000,7485000,7735000,7791000,9040000,10114000,12571000,14033000,10896000,8729000,9771000,10453000,11145000,12243000,13053000,13606000,15023000,17157000,18621000,19486000,21737000,24805000
 "00000","United States", ,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",113513000,114002000,133025000,170221000,165271000,166068000,174975000,173856000,165542000,210678000,209021000,207427000,225120000,221259000,218493000,224343000,240356000,263853000,259912000,274397000,273013000,278461000
 "00000","United States", ,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",113513000,114002000,133025000,170221000,165271000,166068000,174975000,173856000,165542000,210678000,209021000,207427000,225120000,221259000,218493000,224343000,240356000,263853000,259912000,274397000,273013000,278461000
 "00000","United States", ,SAINC70,11,"...","  Interest ","Thousands of dollars",92010000,94427000,116398000,153721000,144361000,140922000,146832000,143528000,137806000,187208000,185365000,181420000,196406000,189817000,185761000,192971000,207164000,223651000,219950000,234615000,226820000,226368000
 "00000","United States", ,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",63573000,51380000,53530000,61440000,61683000,58440000,60457000,61647000,49908000,38841000,39744000,39053000,39172000,41933000,43893000,43180000,43279000,53881000,58306000,54089000,56910000,64928000
