GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",2173425,2259935,2517373,3129379,3244833,3126180,3129170,3082072,2923701,3633219,3811949,3708343,3899359,4121413,4056433,4024718,4095733,4433771,4586777,5008487,4752235,5153387
 "49000","Utah",7,SAINC70,2,"..."," Output ","Thousands of dollars",27192,34524,39774,46136,55296,57211,72079,86086,64756,45893,49109,50920,45880,48368,49813,50686,54585,58371,67058,74645,87430,97984
 "49000","Utah",7,SAINC70,3,"..."," Contributions ","Thousands of dollars",1444653,1503850,1636651,1949281,2044140,1992000,2010480,2018426,1981462,2372078,2517165,2428465,2488726,2691323,2645891,2614277,2667990,2836345,2880787,3090947,2973534,3194631
 "49000","Utah",7,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",743073,782289,795703,815319,898743,915031,963869,1040866,1103979,1156830,1271490,1199507,1123973,1309601,1285162,1254522,1294832,1297290,1241855,1248052,1282263,1333859
 "49000","Utah",7,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",385330,380118,352806,403629,399026,450365,496373,553826,606369,633672,653255,686356,730767,806342,899915,989756,1022331,1103356,1112312,1091989,1166957,1230085
 "49000","Utah",7,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",350832,403303,450344,425680,521960,484027,496803,530194,523254,532853,619138,515195,399598,510942,394751,273648,284864,211457,159077,199647,169194,165707
 "49000","Utah",7,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",34103,33392,32327,32146,33053,37850,42772,42932,39112,36198,48206,48876,39488,40685,40309,41804,42222,40848,37524,31061,33542,36051
 "49000","Utah",7,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",27192,34524,39774,46136,55296,57211,72079,86086,64756,45893,49109,50920,45880,48368,49813,50686,54585,58371,67058,74645,87430,97984
 "49000","Utah",7,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",701580,721561,840948,1133962,1145397,1076969,1046611,977560,877483,1215248,1245675,1228958,1364753,1381722,1360729,1359755,1373158,1539055,1638932,1842895,1691271,1860772
 "49000","Utah",7,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",701580,721561,840948,1133962,1145397,1076969,1046611,977560,877483,1215248,1245675,1228958,1364753,1381722,1360729,1359755,1373158,1539055,1638932,1842895,1691271,1860772
 "49000","Utah",7,SAINC70,11,"...","  Interest ","Thousands of dollars",564222,593826,752147,1061959,1042332,944990,881396,763587,690869,1086981,1108632,1075768,1203245,1195465,1137933,1147923,1155216,1243340,1381346,1623869,1390372,1464889
 "49000","Utah",7,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",412556,326751,379654,478756,503871,475304,443136,459027,431124,380025,359687,321312,343280,373627,369753,373364,344024,403929,621093,715841,593337,645939
 "49000","Utah",7,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",151666,267075,372493,583203,538461,469686,438260,304560,259745,706956,748945,754456,859965,821838,768180,774559,811192,839411,760253,908028,797035,818950
 "49000","Utah",7,SAINC70,14,"...","  Dividends ","Thousands of dollars",137358,127735,88801,72003,103065,131979,165215,213973,186614,128267,137043,153190,161508,186257,222796,211832,217942,295715,257586,219026,300899,395883
 "49000","Utah",7,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",2173425,2259935,2517373,3129379,3244833,3126180,3129170,3082072,2923701,3633219,3811949,3708343,3899359,4121413,4056433,4024718,4095733,4433771,4586777,5008487,4752235,5153387
 "49000","Utah",7,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",27192,34524,39774,46136,55296,57211,72079,86086,64756,45893,49109,50920,45880,48368,49813,50686,54585,58371,67058,74645,87430,97984
 "49000","Utah",7,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",701580,721561,840948,1133962,1145397,1076969,1046611,977560,877483,1215248,1245675,1228958,1364753,1381722,1360729,1359755,1373158,1539055,1638932,1842895,1691271,1860772
 "49000","Utah",7,SAINC70,18,"...","  Interest ","Thousands of dollars",564222,593826,752147,1061959,1042332,944990,881396,763587,690869,1086981,1108632,1075768,1203245,1195465,1137933,1147923,1155216,1243340,1381346,1623869,1390372,1464889
 "49000","Utah",7,SAINC70,19,"...","  Dividends ","Thousands of dollars",137358,127735,88801,72003,103065,131979,165215,213973,186614,128267,137043,153190,161508,186257,222796,211832,217942,295715,257586,219026,300899,395883
