GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",64289238,69372454,76583262,79484246,81178177,85001248,92157429,101120355,111470425,117290411,117223908,109645484,109158485,113496912,118948346,122598769,127741197,134092953,139316542,147722992,157191238,167941959,176577911,193197269
 "04000","Arizona",6,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",292826,285860,325355,329847,376491,324690,343081,386620,365410,417036,383146,433236,380472,381998,443000,494196,477014,401816,460631,456253,461870,335809,484179,516957
 "04000","Arizona",6,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",63996412,69086594,76257907,79154399,80801686,84676558,91814348,100733735,111105015,116873375,116840762,109212248,108778013,113114914,118505346,122104573,127264183,133691137,138855911,147266739,156729368,167606150,176093732,192680312
 "04000","Arizona",6,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",52969019,57434062,63836832,65760895,66335602,69295200,75571637,83418715,92623611,97168643,96165474,88529957,88424595,92664783,97864979,101284430,106124903,112045034,116926202,124532681,133136890,142953100,150146446,166235406
 "04000","Arizona",6,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",195594,201522,200240,224896,227805,229377,246353,255185,277480,287615,266749,257012,276746,287680,286478,288190,314603,340171,363932,368840,379648,386525,392276,392097
 "04000","Arizona",6,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",7515,(T),(T),(D),(D),(D),3391,(D),(D),(D),(D),3548,(D),3742,(D),4210,(D),(D),(D),(D),5951,5576,5846,6054
 "04000","Arizona",6,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),0,(D),(D),(D),(D),127,(D),201,(D),163,(D),(D),(D),(D),206,270,276,279
 "04000","Arizona",6,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",187913,195491,193457,221437,223943,225830,242962,251450,273737,283921,262939,253337,272413,283737,282404,283817,307947,330647,355341,361278,373491,380679,386154,385764
 "04000","Arizona",6,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",573083,543443,464154,452999,411236,402764,446971,489633,589971,728076,916372,722828,735599,859013,964528,996554,974293,956043,872715,943900,1121779,1136397,1073027,1169330
 "04000","Arizona",6,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),177,152,(D),(D),189,167,418,892,(D),1749,6315,8451,6911,6524,5331,5205,4547,4386,4787,5056,5125
 "04000","Arizona",6,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",557381,527252,445639,445173,401224,394247,438270,478162,571588,705828,874647,675555,689581,811503,910488,949779,922433,907710,835790,900305,1036037,1067359,1001561,1104228
 "04000","Arizona",6,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",13537,14416,16070,7649,9860,(D),(D),11282,18216,21830,40833,(D),44269,41195,45589,39864,45336,43002,31720,39048,81356,64251,66410,59977
 "04000","Arizona",6,SAINC7N,300,"22","   Utilities ","Thousands of dollars",578145,629196,668321,723583,760145,771258,779167,873819,952692,1061028,1114478,1131965,1113566,1141983,1174620,1163758,1223863,1221153,1293265,1333934,1361621,1383882,1392920,1388853
 "04000","Arizona",6,SAINC7N,400,"23","   Construction ","Thousands of dollars",4643889,5236695,5797959,6193210,6239315,6515837,7318702,8772313,10287984,9977354,8642189,5959638,5171866,5239962,5722652,6144975,6350990,6588743,7160865,8146024,9238512,10483641,11401394,12222453
 "04000","Arizona",6,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",1026661,1158093,1288894,1412719,1400487,1509801,1722893,2117376,2547720,2388750,2059023,1410985,1220931,1227572,1304400,1382797,1420771,1503445,1683344,1968982,2292566,2549877,2766167,3023657
 "04000","Arizona",6,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",750522,860058,986359,1074909,1232763,1141626,1174046,1420199,1586666,1562120,1467298,997139,869165,863266,896540,991957,1007774,961767,955867,1033349,1167219,1408887,1621945,1630516
 "04000","Arizona",6,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",2866706,3218544,3522706,3705582,3606065,3864410,4421763,5234738,6153598,6026484,5115868,3551514,3081770,3149124,3521712,3770221,3922445,4123531,4521654,5143693,5778727,6524877,7013282,7568280
 "04000","Arizona",6,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",8983345,9136812,10288226,9838142,9161013,9103195,9531706,9886481,10715997,10785564,10679118,9639086,9816727,10397564,10859891,10918748,11263921,11582115,11758124,12245829,13169178,14289096,14860643,16069070
 "04000","Arizona",6,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",7724795,7815972,8882879,8561184,7959008,7839265,8243924,8574196,9334325,9412036,9328176,8389954,8564238,9086312,9477297,9488104,9750754,9945293,10011666,10376920,11129683,12037980,12568667,13538775
 "04000","Arizona",6,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",196310,224708,219956,218127,204864,219771,265349,318928,328930,261749,198183,123872,116007,107167,116219,130517,149892,166348,183563,188168,206722,220576,232611,273755
 "04000","Arizona",6,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",287548,324451,351748,329744,322436,331062,366565,441477,489952,487747,410673,289735,256924,243215,256870,285474,352450,328152,362617,393054,430283,446150,483810,542374
 "04000","Arizona",6,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",233344,226847,235223,220874,185170,180032,182785,198956,222704,222123,238452,197876,209329,209465,249444,251342,278806,268545,231854,235901,245081,263365,255643,280723
 "04000","Arizona",6,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",678626,692819,740215,726400,667982,669032,734596,780284,859667,954974,951176,771817,764075,804893,862149,907209,972013,1017558,1049263,1120123,1225883,1313856,1456238,1981187
 "04000","Arizona",6,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",366882,363654,392684,371343,355590,356775,376521,357613,384478,409835,418595,352056,352713,352989,377262,373926,412864,448356,446038,493296,568897,608451,663408,730082
 "04000","Arizona",6,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",3638660,3530253,4263538,3943646,3547472,3366639,3508208,3478754,3874484,3696411,3665558,3336864,3645473,3992491,4029701,3904712,3932532,3962678,3884402,3773380,3970331,4219885,4241396,4361236
 "04000","Arizona",6,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",93690,97010,122272,111774,93796,89858,88062,95455,115928,148526,142872,142853,132304,138220,135159,131252,135432,150549,157015,233606,238051,239764,227996,248077
 "04000","Arizona",6,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",255859,224997,218807,217261,(D),(D),(D),(D),(D),(D),(D),(D),(D),136745,(D),167575,180831,191645,161981,176330,184468,220289,351880,439829
 "04000","Arizona",6,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",1467185,1614143,1785193,1867540,(D),(D),(D),(D),(D),(D),(D),(D),(D),2460565,(D),2596456,2541974,2564126,2665440,2820718,3066213,3411608,3483931,3408384
 "04000","Arizona",6,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",208022,228339,237103,236560,233990,247076,280624,296471,322641,316723,270810,186253,165157,165839,179085,189062,203192,224896,229914,243872,254543,264275,277802,301707
 "04000","Arizona",6,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",298669,288751,316140,317915,324017,346141,337480,375507,403194,419429,427554,392491,391297,474723,515792,550579,590768,622440,639579,698472,739211,829761,893952,971421
 "04000","Arizona",6,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",1258550,1320840,1405347,1276958,1202005,1263930,1287782,1312285,1381672,1373528,1350942,1249132,1252489,1311252,1382594,1430644,1513167,1636822,1746458,1868909,2039495,2251116,2291976,2530295
 "04000","Arizona",6,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",232184,248038,276155,245930,265465,305394,313575,322172,326876,290848,310448,322632,322980,342139,349537,373531,407616,440845,495910,548631,596365,620781,660253,728425
 "04000","Arizona",6,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",91087,111427,127652,121786,116389,127919,129061,131710,145588,155689,158900,150468,154334,155302,155622,159579,164214,172212,181560,197031,221336,236103,268650,311961
 "04000","Arizona",6,SAINC7N,533,"313","     Textile mills ","Thousands of dollars",21548,22141,24775,27455,25353,25938,28778,10866,11577,20476,21089,21451,20883,20591,21773,22886,23187,39179,25615,23487,15933,14839,14484,13134
 "04000","Arizona",6,SAINC7N,534,"314","     Textile product mills ","Thousands of dollars",29833,30665,33279,29282,25971,32550,37664,44801,51945,67491,45941,35273,18840,22039,22573,23014,24274,22290,24929,27445,26851,29732,34253,39139
 "04000","Arizona",6,SAINC7N,535,"315","     Apparel manufacturing ","Thousands of dollars",28408,25314,28600,14990,14614,12118,10730,8480,8269,8113,8492,5055,4363,3339,2653,4212,5611,13291,15205,12058,14120,16438,20050,18753
 "04000","Arizona",6,SAINC7N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",11579,11511,11653,9293,17222,17692,11051,9700,8745,10109,11032,11558,14022,13377,13104,13836,8276,8588,12796,11297,10673,10207,6175,6961
 "04000","Arizona",6,SAINC7N,537,"322","     Paper manufacturing ","Thousands of dollars",115748,119693,134490,107696,108891,117736,137839,140768,131669,131081,126876,110883,113232,120756,118511,97870,102364,106852,112504,117130,113039,129970,141368,151449
 "04000","Arizona",6,SAINC7N,538,"323","     Printing and related support activities ","Thousands of dollars",275733,287678,297833,280684,255115,233066,244649,253802,273188,270719,262183,224655,215770,218116,241702,269174,279739,295429,289868,291285,311337,314343,293885,305947
 "04000","Arizona",6,SAINC7N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",7344,7684,10366,7062,6578,6641,11054,11282,11403,11533,12559,10619,11697,14619,12237,11396,11979,12607,15079,12785,13092,13229,16626,26269
 "04000","Arizona",6,SAINC7N,541,"325","     Chemical manufacturing ","Thousands of dollars",214754,209873,217653,195335,154772,161023,173837,195288,223980,241869,215267,200517,207252,229465,259214,265951,297155,326472,357865,386602,450104,577052,521177,582765
 "04000","Arizona",6,SAINC7N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",230332,246816,242891,237445,211635,223853,189544,183416,188432,165600,178155,156021,169116,171509,185668,189195,188752,199057,215127,241158,266645,288422,315055,345492
 "04000","Arizona",6,SAINC7N,600,"42","   Wholesale trade ","Thousands of dollars",3746265,4136400,4616770,4801941,4729266,4796755,5300647,5731694,6300581,6969028,6866927,6379932,6339012,6581445,7064249,6832863,6910244,7150850,7329528,7668181,8028139,8332744,8782821,9710923
 "04000","Arizona",6,SAINC7N,700,"44-45","   Retail trade ","Thousands of dollars",5554149,6034393,6620301,6823827,6983279,7369553,7965500,8802502,9570115,9869874,9400695,8616660,8661552,9184027,9264135,9155932,9811425,10365807,10698572,11170396,11531718,11961283,13056647,14728555
 "04000","Arizona",6,SAINC7N,701,"441","    Motor vehicle and parts dealers ","Thousands of dollars",1335292,1452382,1614498,1685030,1717051,1784234,1890948,2041322,2175077,2172339,1828023,1458010,1487404,1603326,1742687,1871395,1998922,2173810,2237980,2344344,2478244,2694483,3018694,3723406
 "04000","Arizona",6,SAINC7N,702,"442","    Furniture and home furnishings stores ","Thousands of dollars",278145,301632,338977,327485,333948,354925,406782,471899,519856,490565,398233,300043,278342,279892,296251,313503,337382,354153,363473,383759,407900,391182,407517,494314
 "04000","Arizona",6,SAINC7N,703,"443","    Electronics and appliance stores ","Thousands of dollars",272448,317050,348105,335048,303092,333533,354164,385367,458704,479902,520474,521938,597396,947202,673684,459248,475998,497943,555294,590112,552316,518613,548818,545255
 "04000","Arizona",6,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers ","Thousands of dollars",386617,433572,482592,518156,534027,579558,641757,752589,885305,854906,768075,655721,629493,643340,639590,651904,704350,735128,777698,826488,889826,942818,1169361,1287082
 "04000","Arizona",6,SAINC7N,705,"445","    Food and beverage stores ","Thousands of dollars",1024507,1075803,1114992,1159453,1203982,1244342,1320646,1379137,1463637,1516334,1546109,1508546,1503601,1462608,1466226,1464290,1543298,1627257,1637068,1733701,1754071,1763266,1987254,1965719
 "04000","Arizona",6,SAINC7N,706,"446","    Health and personal care stores ","Thousands of dollars",311980,334627,383316,402983,428039,475983,520354,572874,639701,650662,696918,699182,712440,704100,723773,752383,803610,788439,815493,836318,845587,884223,961645,1043330
 "04000","Arizona",6,SAINC7N,707,"447","    Gasoline stations ","Thousands of dollars",275150,297020,316685,332235,321123,321748,322712,352634,370928,411232,384047,362209,331052,330302,347264,361541,382018,409561,427074,459834,481696,531335,543319,592959
 "04000","Arizona",6,SAINC7N,708,"448","    Clothing and clothing accessories stores ","Thousands of dollars",260069,269426,291931,299460,318387,332241,361485,382954,415557,442562,417313,392033,396451,387034,403968,419278,425690,444040,438396,452855,457400,460409,388891,460200
 "04000","Arizona",6,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Thousands of dollars",166021,173635,181072,185551,186773,189087,199896,240586,232151,245644,242440,224834,222513,218751,223302,234156,242063,248384,251846,261037,263320,261407,262541,298444
 "04000","Arizona",6,SAINC7N,711,"452","    General merchandise stores ","Thousands of dollars",645337,704035,815817,883897,939149,1007393,1100058,1212841,1311379,1405482,1455332,1401349,1399811,1440065,1471543,1495601,1538600,1580337,1618911,1687934,1753045,1784580,1917926,2110706
 "04000","Arizona",6,SAINC7N,712,"453","    Miscellaneous store retailers ","Thousands of dollars",380318,424153,436700,450003,464726,491433,528862,537593,573648,595593,525630,485807,473708,490674,504410,515752,539518,568145,578464,590695,627780,679966,682403,818641
 "04000","Arizona",6,SAINC7N,713,"454","    Nonstore retailers ","Thousands of dollars",218265,251058,295616,244526,232982,255076,317836,472706,524172,604653,618101,606988,629341,676733,771437,616881,819976,938610,996875,1003319,1020533,1049001,1168278,1388499
 "04000","Arizona",6,SAINC7N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",2076876,2293328,2427156,2497261,2522453,2621775,2877617,3046485,3334804,3516766,3441601,3236065,3234497,3474982,3641701,3693515,3843387,4218398,4404994,4728266,5378161,5770349,6319387,7093250
 "04000","Arizona",6,SAINC7N,801,"481","    Air transportation ","Thousands of dollars",650380,726292,716950,719883,708368,734827,829428,844693,966633,1005329,939127,907329,945996,1005904,983825,946901,946341,1049381,1102307,1127162,1157923,1155406,1095200,1081792
 "04000","Arizona",6,SAINC7N,802,"482","    Rail transportation ","Thousands of dollars",161154,165878,173123,170716,163788,172044,192503,(D),209487,(D),(D),(D),(D),196067,224239,(D),(D),(D),228481,223523,(D),(D),(D),(D)
 "04000","Arizona",6,SAINC7N,803,"483","    Water transportation ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,(D)
 "04000","Arizona",6,SAINC7N,804,"484","    Truck transportation ","Thousands of dollars",527739,571459,620662,654963,680028,692401,751663,826984,890522,940677,867251,742078,741553,796560,888260,894727,930085,1014724,1082652,1139467,1220350,1263303,1367841,1488413
 "04000","Arizona",6,SAINC7N,805,"485","    Transit and ground passenger transportation ","Thousands of dollars",119183,136561,136183,151754,159805,157492,165795,189892,218892,228438,261561,282845,275963,286772,285443,282690,303085,333705,371370,461772,490971,473999,412504,453093
 "04000","Arizona",6,SAINC7N,806,"486","    Pipeline transportation ","Thousands of dollars",14620,17170,18233,21161,20196,19282,20586,19853,19834,21196,23037,22565,23702,24405,29115,26081,27182,34629,35102,40421,37712,54033,54867,52126
 "04000","Arizona",6,SAINC7N,807,"487","    Scenic and sightseeing transportation ","Thousands of dollars",(T),9289,11927,14020,11730,12993,13172,15386,16934,15542,17742,17043,15234,18371,19013,20700,21880,24379,20968,21263,21947,23706,17539,21107
