GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",517592617,565624705,638455163,648050300,645995464,666057746,705728192,742516053,791450278,834657416,843120597,798912393,813694377,847508892,903208798,933895158,992020059,1067705801,1117110908,1191010513,1260517141,1335253390,1376976684,1533988242
 "06000","California",8,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",3819683,4296718,4396392,4382525,4091908,4044991,4414470,4811887,4672786,4313071,4645124,5036104,5119135,4246626,4946531,5499560,5132671,5132683,5006304,6694723,5273066,6750352,6989177,6135001
 "06000","California",8,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",513772934,561327987,634058771,643667775,641903556,662012755,701313722,737704166,786777492,830344345,838475473,793876289,808575242,843262266,898262267,928395598,986887388,1062573118,1112104604,1184315790,1255244075,1328503038,1369987507,1527853241
 "06000","California",8,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",426872185,469832827,534486181,535829138,527291393,542797204,578588690,610801359,652898008,686864018,687857284,642990248,658354815,692911657,746910658,775311954,827220476,894281112,935994117,1000382246,1064541895,1129734068,1164228222,1313961767
 "06000","California",8,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2477216,2622184,2748670,2904633,2955224,3108173,3227855,3472737,3683154,4030110,4235957,3968698,4368212,4579713,5002626,5461449,5755100,6328680,7008327,7273064,7656857,8174570,8444415,8861413
 "06000","California",8,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",120137,124835,114486,111228,108879,105910,109924,108780,112096,117781,129335,90921,103140,112796,113525,114820,119273,128390,120722,133957,143468,136086,152370,168848
 "06000","California",8,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",60316,61991,58444,37716,37131,37201,35140,33694,33711,31785,32043,31240,34078,36961,44255,41653,43702,31561,38320,34826,36042,28271,29775,35875
 "06000","California",8,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",2296763,2435358,2575740,2755689,2809214,2965062,3082791,3330263,3537347,3880544,4074579,3846537,4230994,4429956,4844846,5304976,5592125,6168729,6849285,7104281,7477347,8010213,8262270,8656690
 "06000","California",8,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1499990,1410460,1478103,1686887,1542641,1579580,1878836,1972187,2337523,2677318,3098830,2738681,3196161,3405528,3794314,3788335,3969943,3615648,2987608,2435321,2536256,2554092,2092519,1970855
 "06000","California",8,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",634648,583188,620344,754502,761242,818592,1093773,1085397,1293219,1511099,1815680,1674670,2034675,2052466,2318769,2328364,2413500,2385226,1972376,1128226,1136676,1076617,811514,710336
 "06000","California",8,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",372057,402928,392351,396231,365707,369786,382566,406009,420925,413156,397554,353855,355956,377800,383611,400015,426488,444407,431733,474736,516136,525129,531158,585476
 "06000","California",8,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",493285,424344,465408,536154,415692,391202,402497,480781,623379,753063,885596,710156,805530,975262,1091934,1059956,1129955,786015,583499,832359,883444,952346,749847,675043
 "06000","California",8,SAINC7N,300,"22","   Utilities ","Thousands of dollars",3489257,3528327,3739584,3819430,3894594,4185091,4714134,4898906,5308539,5531981,5698538,6058941,5899928,6298503,6587577,6914877,6842486,7352028,7458657,7834456,7691585,8074945,8773523,8994074
 "06000","California",8,SAINC7N,400,"23","   Construction ","Thousands of dollars",23278334,26736680,30815156,33981745,34238158,35287326,39184382,43238549,47045878,47976570,44647698,35829121,32161783,32957440,35712080,38602943,41566391,47319885,51882036,56928089,62575023,67488383,68088628,72463783
 "06000","California",8,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",5698342,6591739,7569354,8385522,8594229,9069481,10219482,11604268,12739493,12779273,11559765,9140320,8196258,8276450,8856636,9410563,10203884,11517534,12751654,14150598,15476491,16648027,16851911,17624446
 "06000","California",8,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",3754373,4161096,4601345,5207491,5329479,5293114,5581402,6170103,6654591,6693614,6376066,5316431,4936969,5381042,6056969,6197891,6351580,6890905,7229161,7929414,8921092,9731287,9966253,10646182
 "06000","California",8,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",13825619,15983845,18644457,20388732,20314450,20924731,23383498,25464178,27651794,28503683,26711867,21372370,19028556,19299948,20798475,22994489,25010927,28911446,31901221,34848077,38177440,41109069,41270464,44193155
 "06000","California",8,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",81191915,88948340,102632946,92595762,84673314,84182148,87668648,91547002,96259799,98469022,95715179,89600289,92101130,95347534,98932193,99593271,105664415,110843512,115964604,123379474,128901502,132491445,141625957,155273117
 "06000","California",8,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",59595888,65941451,78183027,68953408,61622360,60411630,62775069,65458985,69913342,70988875,68267676,62055545,65919990,69047100,70776173,70466330,75489858,79115398,83857479,90529487,96466610,98877534,107380621,119545242
 "06000","California",8,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",1255903,1341705,1394932,1358627,1360544,1371653,1435995,1467306,1411245,1316431,1155964,887690,815859,792378,813765,874804,954062,1013554,1105549,1163420,1270581,1336255,1436819,1627259
 "06000","California",8,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1643665,1764614,1912892,1951017,1943171,1968834,2113205,2219641,2299202,2244634,1963108,1588949,1496200,1495445,1570045,1623729,1755266,1897469,1965305,2051587,2159118,2187170,2188726,2296213
 "06000","California",8,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",1180006,1200173,1287105,1194339,1133489,1102023,1160192,1194147,1269211,1252520,1318612,1024890,1042546,1186894,1173207,1147689,1159159,1155813,1111442,1157536,1203167,1228832,1135569,1281344
 "06000","California",8,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",6043402,6077937,6567917,6382559,5790393,5627729,5989265,6215965,6587344,6957478,7238355,6005897,6094908,6442506,6777630,6899974,7363453,7640091,7647490,7928411,8313377,8486221,8283153,8301944
 "06000","California",8,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",5444897,5821705,7303796,6306525,5535920,5523041,5297338,5409810,5741875,5849139,5551454,4822777,5072751,5651964,5721916,5919465,6201188,6438900,6692646,7316025,7681197,7828882,8043102,8735515
 "06000","California",8,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",28273111,33679019,42848339,35228385,29704220,28795255,29938823,32072767,34602185,35106424,32406173,30421923,34230381,35967190,36754961,35517025,38597632,40174794,44604372,48424998,51887819,52713605,60695861,69429061
 "06000","California",8,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1532303,1757724,2001983,1937493,1750624,1622925,1674457,1606671,1663144,1735092,1783512,1679244,1744397,1862887,1898593,1942411,2038088,2165943,2295738,2454289,2742113,2829307,2548821,2750216
