GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "98000","Far West",8,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",716888052,780820956,868257072,881885289,883412453,911790967,966719065,1020885959,1091342438,1154489370,1170723795,1112945210,1129362246,1175926976,1247706547,1290955068,1369764762,1467381777,1537599259,1636309811,1736879127,1839875069,1890260949,2099005769
 "98000","Far West",8,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",5478332,6145465,6278051,6248358,5851829,5868910,6274351,6969058,6719185,6472406,7020743,7522918,7366513,6422959,7587627,8275733,7843204,7696150,7857775,9387197,7907862,9347473,10231475,9207147
 "98000","Far West",8,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",711409720,774675491,861979021,875636931,877560624,905922057,960444714,1013916901,1084623253,1148016964,1163703052,1105422292,1121995733,1169504017,1240118920,1282679335,1361921558,1459685627,1529741484,1626922614,1728971265,1830527596,1880029474,2089798622
 "98000","Far West",8,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",586320946,643212484,720097144,723116104,715199142,736722584,785425169,832002564,892738497,943153831,947800561,886678099,903006355,949862263,1019023952,1059215531,1129818961,1216072449,1275350192,1361379178,1454038848,1543727474,1583227293,1781285260
 "98000","Far West",8,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3715491,3967958,4111202,(D),4371569,4556939,4684803,4990789,5268367,5661150,5918829,5502563,5959807,6278977,6861275,7404258,7782166,8467678,9178397,9510811,10054068,10556477,(D),(D)
 "98000","Far West",8,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",729419,776086,754552,720584,(D),(D),747299,(D),(D),(D),(D),(D),603370,638661,(D),(D),(D),788499,(D),699552,(D),(D),(D),797914
 "98000","Far West",8,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",245020,285231,262904,203168,216955,(D),(D),(D),251681,253960,276825,(D),(D),(D),(D),(D),(D),239549,(D),(D),255147,(D),(D),(D)
 "98000","Far West",8,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",2741052,2906641,3093746,(D),(D),3597126,(D),4012812,(D),(D),(D),4689647,(D),(D),5872428,6399190,6771106,7439630,8160416,(D),(D),9595617,(D),10461200
 "98000","Far West",8,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3325736,3086942,3238732,(D),3312228,3260354,3708147,3975838,4704217,5389633,6088715,5662496,6256997,6754624,7434678,7581970,7907207,7604909,6488261,5837608,6116867,6320086,5741428,5588124
 "98000","Far West",8,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",992080,916985,972460,1144002,1158018,1158174,(D),(D),1724800,2024862,(D),(D),2677934,2738740,3091548,3160146,3352557,3347572,(D),(D),(D),1948603,1636131,(D)
 "98000","Far West",8,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1340609,1330035,1268995,(D),1213319,(D),(D),(D),(D),(D),1694109,1585057,1670617,1848788,1969511,2090189,2092006,2184561,2185612,(D),(D),2486797,(D),(D)
 "98000","Far West",8,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",993047,839922,997277,1128797,940891,(D),933626,1069608,(D),(D),(D),(D),1908446,2167096,2373619,2331635,2462644,2072776,(D),1627073,1713856,1884686,(D),1439701
 "98000","Far West",8,SAINC7N,300,"22","   Utilities ","Thousands of dollars",4542585,4634005,4885628,5008325,5143459,5464743,6084988,6223222,6712576,6975857,7226159,7664068,7478642,7949288,8296712,8692466,8636919,9245504,9326466,9795328,9787824,10263645,11070355,11339403
 "98000","Far West",8,SAINC7N,400,"23","   Construction ","Thousands of dollars",36765008,41244266,46262096,49514736,49999420,51684544,57382012,64179231,70891086,73907699,70139361,56050805,49360199,49662888,52984397,57237172,62158537,70147645,77000461,84450772,93103770,100750954,101836649,108897721
