GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "94000","Plains",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",278627435,295033309,313938351,323892371,330099349,339143510,356055149,369378966,388767141,410497094,426337023,411044365,417914663,433409036,455820036,468556717,490466651,512238595,522021500,541352877,563263632,584163011,591612608,628968838
 "94000","Plains",4,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",1888846,1769849,1934352,2085742,2015550,2104305,2179048,2010389,1959637,2740992,2548111,2577814,2426302,2441072,3291776,2720421,3081019,2761790,2899077,3101318,2903465,3250052,3017235,3072711
 "94000","Plains",4,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",276738589,293263460,312003999,321806629,328083799,337039205,353876101,367368577,386807504,407756102,423788912,408466551,415488361,430967964,452528260,465836296,487385632,509476805,519122423,538251559,560360167,580912959,588595373,625896127
 "94000","Plains",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",232103384,246623783,262545148,270149187,273751279,280515371,295166644,306666549,323313479,341234657,353631416,335803872,342316102,357616440,378592943,390722809,410521835,430486062,438313344,455462707,475030027,493185558,498757813,533808383
 "94000","Plains",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",353055,376948,405953,411425,426366,(D),514317,538209,556245,594483,666388,701860,766966,803047,890229,954737,976598,1026876,1088135,1126996,1170785,1245684,1315342,1318795
 "94000","Plains",4,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",40573,45476,44525,34808,35551,36146,38995,40052,38925,38660,38471,37388,39907,43604,42622,41532,44695,(D),52113,55386,(D),(D),(D),(D)
 "94000","Plains",4,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",12478,14030,15956,2074,2329,(D),2755,2915,3363,4002,4203,3322,3679,3639,4378,4493,5227,(D),5879,6173,(D),(D),(D),(D)
 "94000","Plains",4,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",300004,317442,345472,374543,388486,448131,472567,495242,513957,551821,623714,661150,723380,755804,843229,908712,926676,970683,1030143,1065437,1109433,1183571,1249836,1252178
 "94000","Plains",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1124625,1086054,1127679,1121733,1044134,(D),1225941,1436334,1496909,1653764,1962369,1618986,2073527,2920286,3881215,4104845,4732332,3794448,2742429,3175423,3689260,3823700,2984302,3074537
 "94000","Plains",4,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",140419,120727,137576,133498,(D),(D),128381,140296,(D),(D),(D),(D),(D),(D),(D),(D),(D),548779,504559,473097,(D),543740,(D),462182
 "94000","Plains",4,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",844375,835850,839876,804212,(D),791025,848811,977272,888568,919305,998668,838749,946691,1076758,1147374,(D),(D),1214740,1137257,1236729,1318199,1342437,1279574,1468585
 "94000","Plains",4,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",139831,129477,150227,184023,165055,189986,248749,318766,(D),(D),(D),(D),(D),(D),(D),(D),(D),2030929,1100613,1465597,(D),1937523,(D),1143770
 "94000","Plains",4,SAINC7N,300,"22","   Utilities ","Thousands of dollars",2521909,2619411,2710095,2973451,3146896,2903136,3105350,3111901,3228312,3473451,3707853,3732268,3783868,3982085,3982076,4075994,4223116,4208485,4228178,4348117,4479779,4591360,4702346,4863576
 "94000","Plains",4,SAINC7N,400,"23","   Construction ","Thousands of dollars",14618611,16482179,17607167,18458982,18692111,19068732,19998892,20756592,21980540,22901405,23194870,20515920,19015366,19510920,21204152,22730957,25034807,27125738,28388474,28595660,29697998,31995229,32805697,35205535
 "94000","Plains",4,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",3479938,3909781,4157704,4308048,(D),4463591,4720590,4949046,5255052,5564938,5547113,4580636,4208851,4262762,4518824,4866182,5465352,5925898,6206071,6285143,6618658,7014255,7137871,7630869
 "94000","Plains",4,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",2461403,2729513,2794252,2895812,(D),2980357,3112618,3237197,3400347,3582013,3785347,3791726,3524888,3650691,4118133,4370257,4857236,5117986,5213077,4790341,5016968,5581975,5954899,6441601
 "94000","Plains",4,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",8677270,9842885,10655211,11255122,11380166,11624784,12165684,12570349,13325141,13754454,13862410,12143558,11281627,11597467,12567195,13494518,14712219,16081854,16969326,17520176,18062372,19398999,19712927,21133065
 "94000","Plains",4,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",49115719,50754010,52717999,51939329,50998596,51155682,53720256,55086675,57426843,58870096,59652097,53271064,53724761,56208979,58380395,59801661,62290311,64639822,64816367,67394716,70638491,72469799,72599992,76559073
 "94000","Plains",4,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",31859590,32809540,34304551,33443998,32423217,32544470,34759480,35919068,37793357,38615336,38372701,33461574,33666864,35778911,37194026,38369187,40094154,41369522,40796024,42070630,44393892,45581461,44376956,46822884
 "94000","Plains",4,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",1309148,1419961,1514145,1508279,1537142,1604258,1713654,1816779,1823049,1746796,1571880,1295248,1266758,(D),(D),(D),(D),(D),(D),(D),1785588,(D),1867374,2097056
 "94000","Plains",4,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1333753,1414032,1499995,1474335,1480530,1468535,1557896,1605777,1664897,1664339,1622654,1430262,1411299,1451893,1539607,1550663,1635173,1816229,1881939,1937071,2049658,2119086,2139257,2249286
 "94000","Plains",4,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",1261239,1316401,1325859,(D),(D),(D),(D),1354279,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "94000","Plains",4,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",4738988,4800176,5012172,4805885,4623346,4609459,4912690,5129376,5422376,5751458,5884632,5093080,5159357,5496475,5918344,6162360,6267206,6352390,6343962,6543325,6982452,7225180,7116281,7738705
 "94000","Plains",4,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",6141052,6077649,6408333,6113460,5712455,5725940,6127197,6432624,6787087,7127853,7426326,6389811,6640019,7376602,7890333,7999554,8310198,8388741,8083427,8481093,9011181,9133468,8936903,9710989
 "94000","Plains",4,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",5135053,5317850,5641312,5346052,5143224,5231995,5509667,5691787,5992714,6118197,6182749,5695660,5798841,6079644,6231368,6384503,6691417,6969827,6857639,7047117,7305391,7400739,7732882,7916147
 "94000","Plains",4,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1644381,1765256,1893639,1841520,1692102,1669017,1702497,1709139,1780419,1791592,1751738,1503918,1478893,1602022,1625484,1640163,1680270,1695824,1709756,1774094,1897284,1946560,1925030,1979496
 "94000","Plains",4,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",3278375,3594120,3816129,(D),(D),(D),(D),3777100,(D),(D),(D),2567105,(D),2727559,2697603,(D),3163641,3546411,3518503,3344499,3508193,3645251,(D),3248868
 "94000","Plains",4,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",3873302,3864848,3750861,4013936,3944421,(D),(D),4356085,4930949,4950648,4988582,(D),(D),4566886,4668846,5116112,5245039,5185767,4981311,5117159,5448100,5700922,4929271,4982350
 "94000","Plains",4,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",1317065,1414963,1529896,1515436,1515003,1548977,1645266,1707721,1748591,1734271,1616788,1266022,1238202,1182638,1243563,1280565,(D),(D),(D),(D),(D),1606858,1591400,(D)
 "94000","Plains",4,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",1827234,1824284,1912210,1988288,1990384,2141798,2420019,2338401,2424733,2573773,2625256,2571703,2633686,2639055,2604682,2659502,2792058,2940232,(D),3113261,3268051,3313082,3338879,3541772
