GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "95000","Southeast",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",899685010,956475031,1023853239,1058919709,1081918286,1123533912,1193380347,1265128414,1346709200,1413476976,1435829593,1381109468,1403919807,1449294741,1505460684,1541632110,1611910891,1695236028,1753996647,1833468813,1920832189,2011363489,2049892827,2243344535
 "95000","Southeast",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",2867956,2794398,2796424,3403772,3527921,3228761,3633066,3337157,3556848,3868359,3834823,3533548,3440806,3120946,3946632,3901046,3861804,3638109,3896219,3837354,3754300,3616560,3902824,4254823
 "95000","Southeast",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",896817054,953680633,1021056815,1055515937,1078390365,1120305151,1189747281,1261791257,1343152352,1409608617,1431994770,1377575920,1400479001,1446173795,1501514052,1537731064,1608049087,1691597919,1750100428,1829631459,1917077889,2007746929,2045990003,2239089712
 "95000","Southeast",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",733538175,782897060,839203975,864656354,875119230,905516547,963324005,1023778562,1093829761,1145384572,1153137522,1092696601,1111616389,1156765578,1212428659,1248415569,1314249679,1390414785,1442525147,1512405691,1592775476,1673120393,1700852269,1882085899
 "95000","Southeast",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2758549,2805319,2861671,(D),2887244,2972046,3093187,3212127,3369280,3429858,3441950,3323496,3540253,3535876,3681227,3879167,4071595,4331090,4538756,4624350,4829582,5029785,5172309,5193282
 "95000","Southeast",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",1165560,1134334,1118165,1112658,1085357,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1275600,(D),(D),1344326,1350541,1393189,1420873,1457036
 "95000","Southeast",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",69235,77122,88585,66585,(D),51147,52284,49859,(D),(D),56029,51216,58808,57927,60529,61166,63071,(D),(D),94439,134024,133309,137741,136699
 "95000","Southeast",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",1523754,1593863,1654921,(D),(D),(D),(D),(D),2113460,2160653,(D),(D),(D),(D),(D),(D),2732924,2904383,3081765,3185585,3345017,3503287,3613695,3599547
 "95000","Southeast",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6901435,6316022,6284733,7005755,6677388,6614723,6925461,7697417,8876770,9585855,10981737,10233297,10600490,11708313,11834148,11433949,11504759,10120221,7956009,8059597,8658675,8910050,7473383,7539617
 "95000","Southeast",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",1166848,1105541,993387,1082307,1015313,969159,972808,(D),1114745,1246416,1561494,1489829,1488847,1638795,1854769,(D),(D),1917150,1707743,1327297,1376512,1426145,(D),(D)
 "95000","Southeast",5,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",3794756,3603974,3506018,3654452,3551076,3432301,3677092,(D),4421343,4509557,4897184,4679678,4863324,5437711,5166600,4731771,4481000,4092120,3349102,3753714,3989070,4058562,3471747,3678140
 "95000","Southeast",5,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",1939831,1606507,1785328,2268996,2110999,2213263,2275561,2582909,3340682,3829882,4523059,4063790,4248319,4631807,4812779,(D),(D),4110951,2899164,2978586,3293093,3425343,(D),(D)
 "95000","Southeast",5,SAINC7N,300,"22","   Utilities ","Thousands of dollars",7649132,7763520,8230899,(D),8443127,8609355,9017306,9225790,9476830,9774597,10318028,10500935,10298766,10780960,11005577,11275569,11646216,12208100,12663667,12989555,13452885,13686748,14233529,14326818
 "95000","Southeast",5,SAINC7N,400,"23","   Construction ","Thousands of dollars",49522232,53642198,57872588,61078654,61403606,63390054,69203148,77443954,87644093,89431670,84953888,70826565,65906810,65056383,67222151,69962069,75810770,82625148,89455216,97454315,106208061,112602498,114518717,122765776
 "95000","Southeast",5,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",12853786,13918445,14916963,15709594,16123472,16938173,18649725,21407863,24175415,23894699,21995344,17698426,15830608,15288182,16348159,17154889,18396146,20292958,21972112,24230875,26426761,27904080,28480554,30880545
 "95000","Southeast",5,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",9258039,9932373,10706487,11314108,11117833,11128672,12007149,12939209,14394193,15084199,14949981,13263679,12988274,13021755,13389092,13409994,14575512,15778231,16830468,18904257,20710345,21125045,21143711,22302378
 "95000","Southeast",5,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",27410407,29791380,32249138,34054952,34162301,35323209,38546274,43096882,49074485,50452772,48008563,39864460,37087928,36746446,37484900,39397186,42839112,46553959,50652636,54319183,59070955,63573373,64894452,69582853
 "95000","Southeast",5,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",144870437,149187612,153989639,150327171,145762422,144687210,149236244,152382935,157551702,159008480,155892686,139459061,140999877,146311609,151999681,156083961,163717259,170717685,174299925,180791036,188606361,194565173,191766987,203931300
 "95000","Southeast",5,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",79640075,83484927,87137020,85180862,81868636,81296042,85510484,88869516,94027552,94779120,92425585,80568168,81234771,85599081,90405357,93362004,98674033,102952955,104817166,108885101,114459352,119091378,115765096,123958943
 "95000","Southeast",5,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",5938011,6188468,6173328,5882327,5920429,5812932,6361210,6838634,7003714,6483552,5633643,4443729,4412027,4479190,4555835,4898072,5324843,5682277,5982595,6454216,6890618,7183641,7426768,8325908
 "95000","Southeast",5,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",4642248,4892906,5193360,5279952,5130975,5172733,5445034,5762362,6396149,6438241,5804689,4731551,4591173,4657023,4790601,4983018,5236064,5688898,5947013,6207370,6527516,6801970,6698513,7194214
 "95000","Southeast",5,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",5088946,5299983,5386502,4989823,4612844,4498682,4772242,4979020,5308940,5368475,5429841,4370190,4610644,5106610,5558294,5591247,5898008,5912997,5820640,6091669,6602953,6924589,6546482,7156178
 "95000","Southeast",5,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",10291509,10672784,11112416,11092292,10823121,10872434,11357596,11872356,12840038,13276508,13291349,11421612,11531669,12059924,12978807,13405832,14241660,14717488,14997982,15190849,16075166,16635604,16343630,17624363
 "95000","Southeast",5,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",9792670,9965907,10324351,9962475,9482268,9354311,9727597,10249800,10845791,11184811,11598695,10251914,10401091,11292711,11713840,11740113,12437670,12862639,12558030,13168596,13783584,14345157,13793930,14869543
 "95000","Southeast",5,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",11123797,11865547,13218163,12837177,11063459,10533566,10750495,10917477,11726977,12133557,11753771,11049413,10902741,11179837,11278889,11448672,11195801,11502601,11570577,11980187,12570849,13311474,13508420,13961215
 "95000","Southeast",5,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",6023260,6293278,6508045,6302535,5798966,5531769,5764729,5894984,6146896,6182882,6384122,5729563,5675116,6070201,6546388,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "95000","Southeast",5,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",10148612,10960816,11444430,10984336,11374202,11966109,12913701,13360476,13972344,13148237,11872778,9422566,9937102,10894650,12461848,13388500,14878836,16083248,17166704,17812624,18773676,19398931,17311879,18591123
 "95000","Southeast",5,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing ","Thousands of dollars",6687123,6898323,6997700,7556689,7390836,7364287,7984490,8469889,9048654,9848503,10514612,10216516,10255199,10850348,11226158,(D),12466080,12729159,12645801,12973155,13874131,(D),(D),(D)
 "95000","Southeast",5,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",5844984,6177106,6347416,5907766,5839884,5747254,5867026,5847446,5848649,5588998,4991297,3999067,3852238,3833388,3903921,4002928,4206785,4524532,4732346,4958083,5065462,5088562,4998109,5518975
 "95000","Southeast",5,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",4058915,4269809,4431309,4385490,4431652,4441965,4566364,4677072,4889400,5125356,5150788,4932047,5065771,5175199,5390776,5573439,(D),(D),(D),(D),(D),7157310,7101560,7671896
 "95000","Southeast",5,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",65230362,65702685,66852619,65146309,63893786,63391168,63725760,63513419,63524150,64229360,63467101,58890893,59765106,60712528,61594324,62721957,65043226,67764730,69482759,71905935,74147009,75473795,76001891,79972357
 "95000","Southeast",5,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",10509901,11046657,11523359,11640906,11868828,12251255,12430596,12582206,12799922,13440226,13722966,13578211,14099922,14300369,14769865,14854549,15378315,16116273,16901973,17879477,18536376,17975637,19098252,20126971
 "95000","Southeast",5,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",3123758,3165469,3353369,3425580,3432430,3293207,3307841,3290146,3215566,3149959,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "95000","Southeast",5,SAINC7N,533,"313","     Textile mills ","Thousands of dollars",8488980,8210719,8092662,7022679,6552634,5904726,5647741,5092500,4691596,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3512106
 "95000","Southeast",5,SAINC7N,534,"314","     Textile product mills ","Thousands of dollars",2903043,2924408,2914066,(D),(D),(D),(D),(D),2753868,2763994,2523379,2125950,2122773,2118744,2087504,2102551,2195825,2268314,2360154,(D),(D),(D),(D),2475869
 "95000","Southeast",5,SAINC7N,535,"315","     Apparel manufacturing ","Thousands of dollars",4709308,4030783,3727753,3253640,2775167,2504522,2358964,2156021,2028587,1770037,1605334,1337840,1209212,1127921,979037,926011,924892,922735,879388,886761,892329,954309,866724,892928
 "95000","Southeast",5,SAINC7N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",281768,269481,258135,(D),(D),(D),(D),(D),184466,(D),166713,142111,126458,123492,126236,213256,132619,145329,145945,(D),(D),(D),(D),(D)
 "95000","Southeast",5,SAINC7N,537,"322","     Paper manufacturing ","Thousands of dollars",8269286,8356700,8472396,8462453,8278088,8274053,8266525,8381331,8471113,8421754,8362004,7931574,8020544,8031417,8122804,8348542,8490096,8712125,8630443,8724211,8603457,8976255,8889466,9088114
 "95000","Southeast",5,SAINC7N,538,"323","     Printing and related support activities ","Thousands of dollars",5271509,5382607,5479393,5315849,5152429,5042660,5104777,5092119,5200055,5303942,5048028,4320701,4050292,3977687,3872827,3872173,3956672,4052396,4070909,4011417,4024482,4068020,3785826,3924084
 "95000","Southeast",5,SAINC7N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",1314566,1328395,1297903,1411115,1498641,1548579,1614747,1737451,1845329,1956558,2036975,2032648,2047286,2107490,2189472,2276977,2446904,2567965,2643391,2739756,2917688,2981695,2916447,2874287
 "95000","Southeast",5,SAINC7N,541,"325","     Chemical manufacturing ","Thousands of dollars",12926490,13146828,13460890,13537590,13221771,13483892,13745697,13789200,13784073,14506046,14729496,14033149,14497392,15090507,15305950,15611053,16310551,17033389,17132598,17724948,18516819,19536537,19779645,20616564
 "95000","Southeast",5,SAINC7N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",7431753,7840638,8272693,8038586,8159535,8163241,8226536,8375153,8549575,8578527,8369840,7424092,7600837,7881834,8074068,8397891,8832288,9371578,9820830,10232695,10780579,11026710,10895862,11945556
 "95000","Southeast",5,SAINC7N,600,"42","   Wholesale trade ","Thousands of dollars",51049658,55066037,59785321,60866723,61187829,63094880,68081192,72709261,78502172,83122639,83352729,77159912,77789489,81266447,84918996,87162702,91058440,95320535,97025009,100770339,102886092,107854766,109486218,120721590
 "95000","Southeast",5,SAINC7N,700,"44-45","   Retail trade ","Thousands of dollars",71985772,76931186,81761274,83985158,85075057,87461512,91397697,96062590,101079582,103596668,101783116,96862839,98361463,100932307,104356336,107169480,111638822,118183056,121775667,125007338,128951935,132032456,137951565,155703497
 "95000","Southeast",5,SAINC7N,701,"441","    Motor vehicle and parts dealers ","Thousands of dollars",15010861,16273344,17117240,17731782,18337691,18724949,19432415,20493432,21374586,21608355,19817198,17375338,18407289,19635515,20861313,21946299,23306344,25246036,26359288,26995821,27964628,29191534,30138622,37817771
 "95000","Southeast",5,SAINC7N,702,"442","    Furniture and home furnishings stores ","Thousands of dollars",3287925,3456771,3679351,3664863,3752029,3882917,4134215,4412931,4747387,4665484,4140947,3472779,3372590,3401477,3520961,3684462,3893578,4208546,4368437,4596260,4790676,5043524,5076156,5830930
 "95000","Southeast",5,SAINC7N,703,"443","    Electronics and appliance stores ","Thousands of dollars",3528557,3881482,4231730,4179473,3939914,3839676,3956190,4165810,4358852,4480723,4719259,4369287,4533265,4840435,4914357,4935530,5127542,6121555,6281159,6231384,6298802,6224264,6253661,6658909
 "95000","Southeast",5,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers ","Thousands of dollars",6503820,7044589,7596223,7813698,7850528,8266628,9114050,10048228,11103463,10867170,10188536,9392120,9174023,9202641,9338831,9758425,10183590,10634928,11153764,11488278,11999002,12364132,14061928,15150953
 "95000","Southeast",5,SAINC7N,705,"445","    Food and beverage stores ","Thousands of dollars",11258234,11656954,12205575,12517779,12393396,12445302,12634223,12780062,13152999,13551797,14111425,14210912,14227583,14188774,14631592,14955531,15494720,16371953,16855954,17305026,17830294,18671230,21063985,21689793
 "95000","Southeast",5,SAINC7N,706,"446","    Health and personal care stores ","Thousands of dollars",4619946,4991655,5373809,5646294,5968327,6324390,6868693,7390132,7867605,8475192,8891941,9182698,9384412,9597036,9885341,10003299,10217680,10555301,10715928,10891669,11111553,11104908,11413442,12237897
 "95000","Southeast",5,SAINC7N,707,"447","    Gasoline stations ","Thousands of dollars",4090625,4346349,4451126,4463634,4408012,4434562,4521053,4632740,4824784,4899617,4821881,4757421,4769955,4756870,4901386,4971797,5120781,5329800,5501088,5714834,5901516,6236643,6598361,7160417
 "95000","Southeast",5,SAINC7N,708,"448","    Clothing and clothing accessories stores ","Thousands of dollars",4538897,4806209,5147496,5262816,5376374,5472928,5828173,5911050,6234895,6549924,6394718,5911844,6034590,5987551,6328540,6414077,6586449,6846741,6789637,6932043,7040953,7137231,6171629,7222098
 "95000","Southeast",5,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Thousands of dollars",1981022,2050804,2166204,2218443,2246751,2294657,2356408,2416005,2563116,2669807,2656666,2580500,2597796,2572764,2667969,2805823,2965412,3139320,3143677,3175870,3161435,3128868,3078098,3549234
 "95000","Southeast",5,SAINC7N,711,"452","    General merchandise stores ","Thousands of dollars",10278644,10997547,11951732,12643180,13205788,14124091,14829331,15931137,16734602,17609560,17943010,18031694,18188849,18919997,19084224,19218022,19812934,20392022,21100715,21616239,22219371,22240507,23109026,25239856
 "95000","Southeast",5,SAINC7N,712,"453","    Miscellaneous store retailers ","Thousands of dollars",4546010,4848190,5030285,4935990,4783387,4773801,4772791,4878824,4937442,4927239,4806780,4478732,4531321,4563104,4753601,4863774,4998497,5247783,5257645,5351189,5523927,5759987,5620669,6548333
 "95000","Southeast",5,SAINC7N,713,"454","    Nonstore retailers ","Thousands of dollars",2341231,2577292,2810503,2907206,2812860,2877611,2950155,3002239,3179851,3291800,3290755,3099514,3139790,3266143,3468221,3612441,3931295,4089071,4248375,4708725,5109778,4929628,5365988,6597306
 "95000","Southeast",5,SAINC7N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",36879330,39342682,41439094,42286612,42014354,42799951,45187502,47051919,49199329,52276205,52678203,48898384,49935522,52845036,55654628,57961361,62028752,66047283,68215035,71519101,76599528,80975645,83782209,93791480
 "95000","Southeast",5,SAINC7N,801,"481","    Air transportation ","Thousands of dollars",5927137,6379584,7040274,7724570,7339520,6909833,6882868,6308686,5792938,6915288,6835952,6440310,6690929,7311972,7454866,8080459,8666549,9107596,10333353,10919502,11636247,10702142,10082767,10378408
