GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",112115317,120992031,132384492,138736575,140653883,147673610,158766228,169084477,178943852,188715664,193712827,191514951,196438818,202093437,208182170,210447707,215898310,225622206,231103566,240843044,250370417,261831790,268638964,286966948
 "51000","Virginia",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",174478,180731,164449,196755,238665,263459,257754,208919,235331,275341,252909,236179,233550,203078,292918,294739,316379,257206,292222,291093,278260,224360,234417,217629
 "51000","Virginia",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",111940839,120811300,132220043,138539820,140415218,147410151,158508474,168875558,178708521,188440323,193459918,191278772,196205268,201890359,207889252,210152968,215581931,225365000,230811344,240551951,250092157,261607430,268404547,286749319
 "51000","Virginia",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",86320735,94008893,103431719,108296279,107994515,113344472,122093607,130541563,138176217,145465605,148475867,145071037,148778352,154146891,159629190,161985160,166167462,174599585,178769116,187039010,196405662,206386996,211581751,227409413
 "51000","Virginia",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",139040,142427,138060,122447,117609,124145,131053,134673,140698,148184,150255,144435,155486,158190,167617,178565,192054,225133,242490,253305,268878,260458,262271,268858
 "51000","Virginia",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",86075,85237,76264,64776,59726,60938,64896,66104,68588,71108,69134,63108,68688,67876,73974,79167,89903,97875,100045,104278,103383,105827,106085,111484
 "51000","Virginia",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",5711,5507,5528,3298,3852,4248,5025,5462,5420,6360,6869,6552,6691,6577,7393,7142,7654,7487,8661,9501,19637,19513,18552,19313
 "51000","Virginia",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",47254,51683,56268,54373,54031,58959,61132,63107,66690,70716,74252,74775,80107,83737,86250,92256,94497,119771,133784,139526,145858,135118,137634,138061
 "51000","Virginia",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",391830,374246,389047,413437,392482,382389,418590,464119,518306,509961,560718,522401,579402,639188,619134,558373,530218,472713,392858,420204,447748,455177,385942,405760
 "51000","Virginia",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",22225,25736,21617,19040,17170,10545,11141,19473,19861,22638,33145,39714,43066,45445,43239,41372,42376,37442,29515,23882,23370,17016,15894,18812
