state_name,hate_crime_case_normalized,number_of_victims_normalized,number_of_offenders_normalized,median_income,mean_income
Alaska,14.994486118513692,23.17329672861207,21.81016162692901,82008.0,101088.75
Alabama,0.2037504342431129,0.2037504342431129,0.2037504342431129,55530.0,73491.0
Arkansas,4.634250087305961,5.627303677442954,6.289339404200948,51455.0,69306.0
Arizona,28.662164009839486,34.97058288281851,24.95939641048223,62558.25,83674.5
California,25.73685372921939,31.974554238961232,24.51974143463562,78266.0,109514.75
Colorado,40.635680975867615,51.22874311060233,43.93515934570302,77133.5,100548.5
Connecticut,22.43396142816842,25.79905564239368,15.703772999717891,86089.5,118859.0
District of Columbia,313.4473133188281,354.3931335271436,371.3362315443776,112940.0,154602.0
Delaware,22.525566517997927,27.645013453906547,15.35834080772586,72302.25,93253.5
Florida,5.164698993898024,6.327919488019201,8.09601463908339,59781.25,83747.25
Georgia,14.584089981012456,17.21863526790503,13.078635531359556,63318.25,85995.0
Hawaii,27.549863486894388,36.02674455978497,33.907524291562325,82022.75,103458.25
Iowa,3.16496159635599,4.114450075262787,2.215473117449193,65102.0,81673.5
Idaho,11.738007668831676,22.35810984539367,13.973818653371044,57851.75,74948.75
Illinois,5.368272577513712,7.894518496343694,9.78920293546618,72079.0,97153.25
Indiana,13.519516387585222,16.342272556421698,14.708045300779526,61047.25,78321.5
Kansas,25.749879404731452,35.01983599043478,22.65989387616368,64209.75,83151.75
Kentucky,32.64506651432303,41.36532400787506,30.18550670844937,55145.0,73132.5
Louisiana,5.796124539395937,7.728166052527915,7.084152214817256,56221.5,75961.5
Massachusetts,55.40340568505658,64.6856516637048,43.80059821174631,88625.5,117424.25
Maryland,3.1379263987802384,3.1379263987802384,2.972772377791805,90649.25,115586.75
Maine,14.118311449950587,18.576725592040244,13.375242426268978,62150.0,79416.0
Michigan,40.66182630689964,47.87279057807396,37.85756242366519,62594.5,82380.0
Minnesota,24.82246177473864,33.68762669428816,23.93594528278369,76256.5,97449.5
Missouri,14.8197004303413,18.728192851530213,16.611092790052886,60453.5,79578.25
Mississippi,7.051175078326804,7.051175078326804,8.05848580380206,50274.0,66382.0
Montana,31.77204863366174,37.3788807454844,28.0341605591133,59600.75,77592.0
Nebraska,22.767598189148032,27.424606909655584,20.180371122199396,66213.75,83515.0
North Carolina,21.90187502904379,26.663152209270702,18.568981002884957,59818.75,80604.75
North Dakota,24.878097323116727,28.806217953082527,23.568723779794794,71652.5,90422.75
New Hampshire,11.757936423368015,13.227678476289018,8.818452317526011,80365.75,101413.5
New Jersey,112.0201438311654,113.257314094361,43.75083930755355,87963.5,117830.0
New Mexico,24.766221160449867,32.38659690212675,28.57640903128831,54432.5,73048.5
Nevada,16.500737194699962,20.05971972689015,14.235930128760751,64039.25,84744.25
New York,31.64958402633163,32.42027194905074,34.013026989336915,74709.0,107806.5
Ohio,29.923463475035756,33.94175714168341,26.33264785803146,62474.25,81408.75
Oklahoma,7.8269467131368495,8.83687532128354,7.321982409063503,57014.75,75586.5
Oregon,42.21895222996711,52.65509772501515,29.64814061093196,66820.25,87481.75
Pennsylvania,3.5159318199877285,4.297250002207224,2.812745455990183,67009.75,88931.0
Rhode Island,16.065653711449517,19.84580752590823,8.505346082532098,73831.0,94663.0
South Carolina,11.051433370908208,14.347474902582585,10.46977898296567,58034.25,77197.25
South Dakota,21.41745206717865,25.926389344479425,19.16298342852827,63550.75,79709.0
Tennessee,16.83668053862737,21.96088765907918,21.66807582362479,57704.25,77980.0
Texas,14.109873620380371,18.04269903046194,15.696803171816796,65922.5,89790.0
Utah,10.301609267452566,15.920668867881238,7.179909489436636,71016.5,89830.75
Virginia,19.633870389809463,22.55557729305492,15.07600762074655,78905.25,105283.25
Vermont,54.48316310015608,60.89294699429208,19.229351682408023,67834.0,85654.0
Washington,62.91022986005822,78.93329466783923,56.08072682723353,77649.75,102119.5
Wisconsin,8.24093612913959,9.442739314639113,8.412622298496663,66891.5,84410.0
West Virginia,30.07915831830768,33.421287020341865,23.951922364578337,50761.75,66277.0
Wyoming,8.618965862000014,10.342759034400016,12.06655220680002,67367.0,84081.25
