Description,Year,Population
Alabama,2019,4907965
Alaska,2019,733603
Arizona,2019,7291843
Arkansas,2019,3020985
California,2019,39437610
Colorado,2019,5758486
Connecticut,2019,3566022
Delaware,2019,976668
District of Columbia,2019,708253
Florida,2019,21492056
Georgia,2019,10628020
Hawaii,2019,1415615
Idaho,2019,1789060
Illinois,2019,12667017
Indiana,2019,6731010
Iowa,2019,3159596
Kansas,2019,2912635
Kentucky,2019,4472345
Louisiana,2019,4658285
Maine,2019,1345770
Maryland,2019,6054954
Massachusetts,2019,6894883
Michigan,2019,9984795
Minnesota,2019,5640053
Mississippi,2019,2978227
Missouri,2019,6140475
Montana,2019,1070123
Nebraska,2019,1932571
Nevada,2019,3090771
New Hampshire,2019,1360783
New Jersey,2019,8891258
New Mexico,2019,2099634
New York,2019,19463131
North Carolina,2019,10501384
North Dakota,2019,763724
Ohio,2019,11696507
Oklahoma,2019,3960676
Oregon,2019,4216116
Pennsylvania,2019,12798883
Rhode Island,2019,1058158
South Carolina,2019,5157702
South Dakota,2019,887127
Tennessee,2019,6830325
Texas,2019,28986794
Utah,2019,3203383
Vermont,2019,624046
Virginia,2019,8556642
Washington,2019,7614024
West Virginia,2019,1795263
Wisconsin,2019,5824581
Wyoming,2019,580116
